bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,,0.812714,,,,,,,,,,,,,,8ddddf05-16c4-4035-a6d4-7e58893b36d1,5,,,"[61.0, 41.0]",69234,0,,,,,-1.6020361,,Right Foot,,,"[60.9, 37.8]",,Ground Pass,,3.2015622,,,,Pablo Daniel Osvaldo,,,,,,Kick Off,1,From Kick Off,Iván Daniel Alonso Vallejo,26243.0,Right Center Forward,2,Espanyol,214,['83c4e5e0-81aa-4d73-9d7b-0ffaf206384b'],0,,,,,,,,,,,,,,,Espanyol,214,00:00:00.246,Pass,,61.0,41.0,60.9,37.8,5,4,5,3,0.014846,0.014846,0.0,0.0,,,,,2024-09-07 18:28:33.314212,2011-05-08,2010/2011,Spain - La Liga,Barcelona vs Espanyol
,,,,,,,,,,,,,,,,,1.401435,,,,,,,,,,,,,,f73e61af-c7e1-4160-926f-4aa1d6260fcd,8,,,"[62.1, 37.8]",69234,0,,,,,3.0010166,,Left Foot,,,"[40.9, 40.8]",,Ground Pass,,21.411213,,,,Javier Márquez Moreno,,,,,,,1,From Kick Off,Pablo Daniel Osvaldo,26609.0,Left Center Forward,2,Espanyol,214,['b147ae2c-c9cf-4bd9-8773-ddd688469cdf'],1,,,,,,,,,,,,,,,Espanyol,214,00:00:01.545,Pass,,62.1,37.8,40.9,40.8,6,3,3,4,0.016895,0.011324,-0.0055709999999999996,0.0,,,,,2024-09-07 18:28:33.314212,2011-05-08,2010/2011,Spain - La Liga,Barcelona vs Espanyol
,,,,,,,,,,,,,,,,,1.625963,,,,,,,,,,,,,,5d83fce3-609c-4ba1-a455-e5fa8290bcc0,11,,,"[44.4, 57.0]",69234,0,,,,,1.8379935,,Left Foot,,,"[39.5, 74.9]",,Ground Pass,,18.558556,,,,Ernesto Galán Iñigo,,,,,,,1,From Kick Off,Javier Márquez Moreno,24783.0,Left Center Midfield,2,Espanyol,214,['ba434a46-92e7-4240-88f9-e1c843195343'],4,,,,,,,,,,,,,,,Espanyol,214,00:00:04.095,Pass,,44.4,57.0,39.5,74.9,4,5,3,7,0.012692,0.009777,-0.002915000000000001,0.0,,,,,2024-09-07 18:28:33.314212,2011-05-08,2010/2011,Spain - La Liga,Barcelona vs Espanyol
,,,,,,,,,,,,,,,,,1.322759,,,,,,,,,,,,,,be2af138-65b5-4ee9-be97-f407c02efc77,15,,,"[39.8, 74.3]",69234,0,,,,,-2.4227626,,Right Foot,,,"[27.0, 63.1]",,Ground Pass,,17.008234,,,,Jordi Amat Maas,,,,,,,1,From Kick Off,Ernesto Galán Iñigo,24147.0,Right Back,2,Espanyol,214,"['b94ffdc0-93bc-42f1-bd42-61f41250ec69', 'ea415517-661c-4758-b8c5-b3b5cee99000']",5,,,,,,,,,,,,,,,Espanyol,214,00:00:05.801,Pass,True,39.8,74.3,27.0,63.1,3,7,2,6,0.009777,0.009424,-0.00035299999999999915,0.0,,,,,2024-09-07 18:28:33.314212,2011-05-08,2010/2011,Spain - La Liga,Barcelona vs Espanyol
,,,,,,,,,,,,,,,,,2.7605,,,,,,,,,,,,,,71d5f4c7-783a-4bd2-bda4-267a84940d0a,19,,,"[28.9, 65.7]",69234,0,,,,,-0.018865686,,Right Foot,,,"[81.9, 64.7]",,High Pass,,53.009434,,Incomplete,,Iván Daniel Alonso Vallejo,,,,,,,1,From Kick Off,Jordi Amat Maas,6652.0,Right Center Back,2,Espanyol,214,"['43cf31b9-52db-4545-b36f-0d753896b3a8', '6f096b90-5a50-468a-b9ae-442eaf424258']",8,,,,,,,,,,,,,,,Espanyol,214,00:00:08.974,Pass,,28.9,65.7,81.9,64.7,2,6,8,6,0.009424,0.024015,0.014591000000000002,0.014591000000000002,,,,,2024-09-07 18:28:33.314212,2011-05-08,2010/2011,Spain - La Liga,Barcelona vs Espanyol
,,,,,,,,,,,,,,,,,1.484306,,,,,,,,,,,,,,24f62a84-0d5d-4e15-a894-e535108a5553,23,,,"[76.9, 64.5]",69234,0,,,,,-1.3547114,,Left Foot,,,"[78.7, 56.3]",,Ground Pass,,8.395237,,,,Joan Verdú Fernández,,,,,,Recovery,1,From Kick Off,Iván Daniel Alonso Vallejo,26243.0,Right Center Forward,2,Espanyol,214,['65fbbb3c-eb12-44bc-ad3c-b4f0fcbe0c0c'],13,,,,,,,,,,,,,,,Espanyol,214,00:00:13.321,Pass,,76.9,64.5,78.7,56.3,7,6,7,5,0.018703,0.019351,0.0006479999999999993,0.0006479999999999993,,,,,2024-09-07 18:28:33.314212,2011-05-08,2010/2011,Spain - La Liga,Barcelona vs Espanyol
,,,,,,,,,,,,,,,,,1.035684,,,,,,,,,,,,,,cf6d8936-fd6b-4d4f-8493-12429c9e6f84,27,,,"[86.8, 34.8]",69234,0,,,,,-1.4472059,,Left Foot,,,"[88.8, 18.7]",,Ground Pass,,16.223747,,,,José María Callejón Bueno,,,,,,,1,From Kick Off,Joan Verdú Fernández,26211.0,Right Midfield,2,Espanyol,214,['71b6c116-dd01-44b6-8cea-03c620e37417'],16,,,,,,,,,,,,,,,Espanyol,214,00:00:16.823,Pass,,86.8,34.8,88.8,18.7,8,3,8,1,0.023851,0.024015,0.00016400000000000095,0.00016400000000000095,,,,,2024-09-07 18:28:33.314212,2011-05-08,2010/2011,Spain - La Liga,Barcelona vs Espanyol
,,,,,,,,,,,,,,,,,0.961902,,,,,,,,,,,,,,1a1a29d9-3b66-476b-a4c7-c985e48e6f84,30,,,"[94.0, 20.5]",69234,0,,,,,1.0349851,,Right Foot,,,"[99.7, 30.1]",,Low Pass,,11.164677,,,,Joan Verdú Fernández,,,,,,,1,From Kick Off,José María Callejón Bueno,7029.0,Left Midfield,2,Espanyol,214,['5c7b7a34-b584-480c-b48d-6beadac2b3de'],19,,,,,,,,,,,,,,,Espanyol,214,00:00:19.587,Pass,,94.0,20.5,99.7,30.1,9,1,9,2,0.029533,0.028552,-0.0009809999999999992,0.0,,,,,2024-09-07 18:28:33.314212,2011-05-08,2010/2011,Spain - La Liga,Barcelona vs Espanyol
,,,,,,,,,,,,,,,,,1.0023,,,,,,,,,,,,,,cffce58f-5ee3-441f-af85-d56070ad5702,35,,,"[97.4, 29.9]",69234,1,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,José María Callejón Bueno,7029.0,Left Midfield,3,Espanyol,214,['c6a13756-6c4f-4f19-b86f-c4483635c659'],11,,Right Foot,"[120.0, 37.0, 4.4]",,"[{'location': [94.1, 47.0], 'player': {'id': 6791, 'name': 'Javier López Rodríguez'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [108.5, 49.4], 'player': {'id': 26609, 'name': 'Pablo Daniel Osvaldo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [94.9, 30.3], 'player': {'id': 24783, 'name': 'Javier Márquez Moreno'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [86.3, 28.7], 'player': {'id': 26170, 'name': 'Francisco Javier Chica Torres'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [106.7, 48.6], 'player': {'id': 6652, 'name': 'Jordi Amat Maas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [108.4, 40.8], 'player': {'id': 26211, 'name': 'Joan Verdú Fernández'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [108.1, 35.7], 'player': {'id': 26243, 'name': 'Iván Daniel Alonso Vallejo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [108.7, 46.2], 'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [106.5, 37.6], 'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.7, 43.3], 'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.9, 40.1], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [119.1, 41.8], 'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.5, 30.1], 'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [106.5, 34.4], 'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [106.5, 33.6], 'player': {'id': 6890, 'name': 'Andreu Fontàs Prat'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.7, 31.4], 'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [106.6, 32.1], 'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.6, 32.8], 'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}]",,,Off T,0.063263945,Normal,Free Kick,,,,Espanyol,214,00:01:11.614,Shot,,97.4,29.9,,,9,2,0,0,0.028552,0.006383,-0.022169,0.0,,0.063263945,0.063263945,,2024-09-07 18:28:33.314212,2011-05-08,2010/2011,Spain - La Liga,Barcelona vs Espanyol
,,,,,,,,,,,,,,,,,2.473229,,,,,,,,,,,,,,2241ccd9-1059-4f8f-958c-f335a2258adf,37,,,"[6.0, 36.0]",69234,1,,True,,,-1.4829007,,Right Foot,,,"[8.3, 9.9]",,Ground Pass,,26.201145,,,,Gerard Piqué Bernabéu,,,,,,Goal Kick,1,From Goal Kick,Víctor Valdés Arribas,20176.0,Goalkeeper,4,Barcelona,217,['f83a4d5e-c89c-4d58-be5d-ffe85af9c57b'],24,,,,,,,,,,,,,,,Barcelona,217,00:01:24.948,Pass,,6.0,36.0,8.3,9.9,0,3,0,0,0.009411,0.006383,-0.0030279999999999994,0.0,,,,,2024-09-07 18:28:33.314212,2011-05-08,2010/2011,Spain - La Liga,Barcelona vs Espanyol
