50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,0.840008,,,,,,,,,,,,,,,6f42e660-4ce1-4c2b-8d80-441d3772d067,5,,"[61.0, 40.1]",69236,0,,True,,,1.815775,,Right Foot,,,"[60.5, 42.1]",,Ground Pass,,2.0615528,,,,Fernando Ezequiel Cavenaghi,,,,,,Kick Off,1,From Kick Off,Gonzalo Castro Irizábal,6740.0,Center Attacking Midfield,2,Mallorca,1043,['808af624-25f8-433a-8dbc-629f3228799b'],1,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:01.525,Pass,,61.0,40.1,60.5,42.1,6,4,5,4,0.016895,0.014846,-0.0020490000000000005,0.0,,,,,2024-09-07 18:28:32.546335,2010-10-03,2010/2011,Spain - La Liga,Barcelona vs Mallorca
,,,,,,,,,,,,,,,,2.334913,,,,,,,,,,,,,,,4bfb36a0-a30e-4320-b4ec-a1ba4e861a1d,7,,"[60.9, 43.0]",69236,0,,,,,2.5913455,,Right Foot,,,"[49.0, 50.3]",,Ground Pass,,13.960659,,,,João Victor de Albuquerque Bruno,,,,,,,1,From Kick Off,Fernando Ezequiel Cavenaghi,26676.0,Center Forward,2,Mallorca,1043,['1437a5d0-b2ec-4901-999b-eb57b2cbefa4'],2,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:02.365,Pass,,60.9,43.0,49.0,50.3,6,4,4,5,0.016895,0.012692,-0.004203,0.0,,,,,2024-09-07 18:28:32.546335,2010-10-03,2010/2011,Spain - La Liga,Barcelona vs Mallorca
,,,,,,,,,,,,,,,,1.046492,,,,,,,,,,,,,,,271a0ec2-b98f-4855-97d4-32bc2cd9418c,11,,"[49.2, 56.6]",69236,0,,,,,0.95215195,,Right Foot,,,"[61.8, 74.3]",,Ground Pass,,21.726711,,,,Emilio Nsue López,,,,,,,1,From Kick Off,João Victor de Albuquerque Bruno,26675.0,Right Center Midfield,2,Mallorca,1043,"['b9146337-caf0-4cb9-9301-8009f8394392', 'e9500cc5-84e1-460b-9475-fb5459a8e697']",5,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:05.516,Pass,True,49.2,56.6,61.8,74.3,4,5,6,7,0.012692,0.014736,0.0020440000000000007,0.0020440000000000007,,,,,2024-09-07 18:28:32.546335,2010-10-03,2010/2011,Spain - La Liga,Barcelona vs Mallorca
,,,,,,,,,,,,,,,,3.767408,,,,,,,,,,,,,,,cfaf77c0-c460-4f96-8ea6-54eac1428b35,15,,"[67.7, 63.1]",69236,0,,,,,-0.7715102,,Right Foot,,,"[104.2, 27.6]",,Low Pass,,50.9166,,Incomplete,,Fernando Ezequiel Cavenaghi,,,,,,,1,From Kick Off,Emilio Nsue López,13581.0,Right Wing,2,Mallorca,1043,"['15d92ced-0a29-419b-9103-bdb06d021034', '6c556d82-af60-4900-8069-dc9e0f048185', 'a9ddce3c-25fb-47b7-aeb8-95f411228360']",9,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:09.236,Pass,True,67.7,63.1,104.2,27.6,6,6,10,2,0.016118,0.054911,0.038793,0.038793,,,,,2024-09-07 18:28:32.546335,2010-10-03,2010/2011,Spain - La Liga,Barcelona vs Mallorca
,,,,,,,,,,,,,,,,2.3114,,,,,,,,,,,,,,,b2e8e854-958e-4530-8874-df74cd7b2c58,19,,"[15.0, 48.3]",69236,0,,,,,-1.4804282,,Keeper Arm,,,"[17.8, 17.4]",,High Pass,,31.026602,,,,Gabriel Alejandro Milito,,,,,,,1,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,3,Barcelona,217,['f64f84ca-767f-4ccc-9757-9b729972fd62'],18,,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.456,Pass,,15.0,48.3,17.8,17.4,1,4,1,1,0.010827,0.008786,-0.0020409999999999994,0.0,,,0.007544623,0.007544623,2024-09-07 18:28:32.546335,2010-10-03,2010/2011,Spain - La Liga,Barcelona vs Mallorca
,,,,,,,,,,,,,,,,0.96,,,,,,,,,,,,,,,601dc2f4-a45d-40f9-afb9-53d3df223c9f,22,,"[35.0, 24.5]",69236,0,,,,,1.3854483,,Left Foot,,,"[37.1, 35.7]",,Ground Pass,,11.395174,,,,Javier Alejandro Mascherano,,,,,,,1,Regular Play,Gabriel Alejandro Milito,25919.0,Left Center Back,3,Barcelona,217,['b0123f69-fca3-4b87-b6c5-b9445068027f'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.367,Pass,,35.0,24.5,37.1,35.7,3,2,3,3,0.011105,0.011324,0.00021900000000000044,0.00021900000000000044,,,0.007544623,0.007544623,2024-09-07 18:28:32.546335,2010-10-03,2010/2011,Spain - La Liga,Barcelona vs Mallorca
,,,,,,,,,,,,,,,,1.84,,,,,,,,,,,,,,,2495104d-c3be-495f-b941-11d520848acd,26,,"[37.3, 36.5]",69236,0,,,,,-1.19029,,Right Foot,,,"[44.7, 18.0]",,Ground Pass,,19.92511,,,,Gabriel Alejandro Milito,,,,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,3,Barcelona,217,"['51f8580c-871c-427b-bc57-bc055cf966c1', 'd1218a16-261a-4fff-8556-ae508c64569a']",30,,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.088,Pass,True,37.3,36.5,44.7,18.0,3,3,4,1,0.011324,0.012147,0.0008229999999999991,0.0008229999999999991,,,0.007544623,0.007544623,2024-09-07 18:28:32.546335,2010-10-03,2010/2011,Spain - La Liga,Barcelona vs Mallorca
,,,,,,,,,,,,,,,,2.906213,,,,,,,,,,,,,,,b63fb2b3-1681-420e-acfe-4db6e96ac356,29,,"[69.9, 25.4]",69236,0,,,,,1.013272,48dece52-7855-4637-a58b-08a0f37cfb28,Left Foot,,,"[101.2, 75.6]",,High Pass,,59.158516,,,,Pedro Eliezer Rodríguez Ledesma,True,,True,,,,1,Regular Play,Gabriel Alejandro Milito,25919.0,Left Center Back,3,Barcelona,217,['6c9fdb0b-63b0-4916-a1ce-976222f5d805'],35,,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.231,Pass,,69.9,25.4,101.2,75.6,6,2,10,7,0.016856,0.034851,0.017995,0.017995,0.007544623,,0.007544623,,2024-09-07 18:28:32.546335,2010-10-03,2010/2011,Spain - La Liga,Barcelona vs Mallorca
,,,,,,,,,,,,,,,,0.75416,,,,,,,,,,,,,,,48dece52-7855-4637-a58b-08a0f37cfb28,32,,"[105.5, 61.7]",69236,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,3,Barcelona,217,['90320edf-8744-47ec-b6f4-bf86ac3f6356'],41,,Left Foot,,"[117.8, 44.9, 1.3]",,"[{'location': [106.3, 61.2], 'player': {'id': 26673, 'name': 'Kevin Martín García Martínez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.9, 52.9], 'player': {'id': 26672, 'name': 'Martí Crespí Pascual'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.0, 41.5], 'player': {'id': 6778, 'name': 'Iván Ramis Barrios'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.5, 35.1], 'player': {'id': 25948, 'name': 'Jose Luis Martí Soler'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [109.7, 31.7], 'player': {'id': 26674, 'name': 'Edson Ramos de Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.0, 42.7], 'player': {'id': 26146, 'name': 'Dudú Aouate'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.9, 51.3], 'player': {'id': 26675, 'name': 'João Victor de Albuquerque Bruno'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [95.0, 59.9], 'player': {'id': 8675, 'name': 'Jonathan de Guzmán'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [92.2, 54.3], 'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [89.1, 67.9], 'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [107.8, 43.1], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [106.7, 28.0], 'player': {'id': 4913, 'name': 'Bojan Krkíc Pérez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [108.5, 34.4], 'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",b63fb2b3-1681-420e-acfe-4db6e96ac356,,Saved,,0.007544623,Normal,Open Play,,,,Barcelona,217,00:00:41.519,Shot,,105.5,61.7,,,10,6,0,0,0.04067,0.006383,-0.034287,0.0,,0.007544623,0.007544623,,2024-09-07 18:28:32.546335,2010-10-03,2010/2011,Spain - La Liga,Barcelona vs Mallorca
,,,,,,,,,,,,,,,,1.879848,,,,,,,,,,,,,,,b6399e5e-25e4-4ed6-876f-de7de911f444,34,,"[2.7, 26.2]",69236,0,,True,,,0.9038344,,Drop Kick,,,"[41.2, 75.1]",,High Pass,,62.237125,,,,Emilio Nsue López,,,True,,,,1,From Keeper,Dudú Aouate,26146.0,Goalkeeper,4,Mallorca,1043,['7b4f1a84-baef-4e3f-a225-9826879a0f84'],48,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:48.691,Pass,,2.7,26.2,41.2,75.1,0,2,3,7,0.00888,0.009777,0.0008969999999999985,0.0008969999999999985,,,,,2024-09-07 18:28:32.546335,2010-10-03,2010/2011,Spain - La Liga,Barcelona vs Mallorca
