50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,0.758334,,,,,,,,,,,,,,,5cdee750-cc05-422e-ba4b-73d271c97b04,5,,"[60.0, 40.0]",69246,0,,,,,1.6278771,,Right Foot,,"[59.8, 43.5]",,Ground Pass,,3.5057096,,,Jeffren Isaac Suárez Bermúdez,,,,,,Kick Off,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['e603cf22-409b-4310-9e01-a2dbd240613e'],0,,,,,,,,,,,,,,Barcelona,217,00:00:00.572,Pass,,60.0,40.0,59.8,43.5,5,3,5,4,0.014846,0.014846,0.0,0.0,,,,,2024-09-07 18:28:19.312191,2011-04-30,2010/2011,Spain - La Liga,Real Sociedad vs Barcelona
,,,,,,,,,,,,,0.7736,,,,,,,,,,,,,,,0296e32e-4269-4d8e-a545-61f9563b2011,8,,"[59.5, 43.8]",69246,0,,,,,-3.0965104,,Right Foot,,"[46.2, 43.2]",,Ground Pass,,13.313527,,,Xavier Hernández Creus,,,,,,,1,From Kick Off,Jeffren Isaac Suárez Bermúdez,26624.0,Right Wing,2,Barcelona,217,['b3e85eb8-2e0c-438a-9c3b-ec0664fea7da'],1,,,,,,,,,,,,,,Barcelona,217,00:00:01.339,Pass,,59.5,43.8,46.2,43.2,5,4,4,4,0.014846,0.012626,-0.0022199999999999998,0.0,,,,,2024-09-07 18:28:19.312191,2011-04-30,2010/2011,Spain - La Liga,Real Sociedad vs Barcelona
,,,,,,,,,,,,,0.986467,,,,,,,,,,,,,,,6d65f27b-c032-40f9-acc5-7245f18f59c7,11,,"[45.0, 40.0]",69246,0,,,,,-1.4871927,,Right Foot,,"[46.5, 22.1]",,Ground Pass,,17.96274,,,Seydou Kéita,,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['82e0abd8-73c7-48fc-bdd8-a19cc6012198'],3,,,,,,,,,,,,,,Barcelona,217,00:00:03.235,Pass,,45.0,40.0,46.5,22.1,4,3,4,2,0.012626,0.012692,6.600000000000009e-05,6.600000000000009e-05,,,,,2024-09-07 18:28:19.312191,2011-04-30,2010/2011,Spain - La Liga,Real Sociedad vs Barcelona
,,,,,,,,,,,,,2.582405,,,,,,,,,,,,,,,bff8c4b8-cc25-4548-a63f-955e6b14762c,13,,"[46.5, 22.5]",69246,0,,True,,,-1.6471503,,Left Foot,,"[45.1, 4.2]",,Ground Pass,,18.353474,,,Thiago Alcântara do Nascimento,,,,,,,1,From Kick Off,Seydou Kéita,20169.0,Center Defensive Midfield,2,Barcelona,217,['ecf008be-4508-4261-83c3-08a83c5007c1'],5,,,,,,,,,,,,,,Barcelona,217,00:00:05.230,Pass,,46.5,22.5,45.1,4.2,4,2,4,0,0.012692,0.011263,-0.0014289999999999997,0.0,,,,,2024-09-07 18:28:19.312191,2011-04-30,2010/2011,Spain - La Liga,Real Sociedad vs Barcelona
,,,,,,,,,,,,,1.3982,,,,,,,,,,,,,,,425384ac-3def-4e81-babe-f3042236fea8,15,,"[35.6, 2.8]",69246,0,,True,,,2.0401418,,Left Foot,,"[28.5, 16.8]",,Ground Pass,,15.697452,,,Gabriel Alejandro Milito,,,,,,,1,From Kick Off,Thiago Alcântara do Nascimento,5208.0,Left Center Midfield,2,Barcelona,217,['12a35454-eee9-4fa7-8ea9-3594fe6674eb'],8,,,,,,,,,,,,,,Barcelona,217,00:00:08.013,Pass,,35.6,2.8,28.5,16.8,3,0,2,1,0.009777,0.009424,-0.00035299999999999915,0.0,,,,,2024-09-07 18:28:19.312191,2011-04-30,2010/2011,Spain - La Liga,Real Sociedad vs Barcelona
,,,,,,,,,,,,,1.455788,,,,,,,,,,,,,,,82c71585-eb25-405d-bd47-edb9b676c041,17,,"[32.3, 17.0]",69246,0,,,,,1.6250907,,Left Foot,,"[30.3, 53.8]",,Ground Pass,,36.85431,,,Gerard Piqué Bernabéu,,,,,,,1,From Kick Off,Gabriel Alejandro Milito,25919.0,Left Center Back,2,Barcelona,217,['ce28252b-1b0f-4dc3-aa45-609bfb4f5a4f'],10,,,,,,,,,,,,,,Barcelona,217,00:00:10.376,Pass,,32.3,17.0,30.3,53.8,3,1,2,5,0.010595,0.010013,-0.0005820000000000009,0.0,,,,,2024-09-07 18:28:19.312191,2011-04-30,2010/2011,Spain - La Liga,Real Sociedad vs Barcelona
,,,,,,,,,,,,,1.13665,,,,,,,,,,,,,,,f3df3664-c26c-4934-b382-67d42eb563eb,20,,"[36.0, 54.2]",69246,0,,,,,1.0006689,,Right Foot,,"[49.4, 75.1]",,Ground Pass,,24.8268,,,Martín Montoya Torralbo,,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['9ef14867-9dc3-45f7-af0f-4904eaaeddf0'],14,,,,,,,,,,,,,,Barcelona,217,00:00:14.681,Pass,,36.0,54.2,49.4,75.1,3,5,4,7,0.011105,0.011263,0.00015800000000000015,0.00015800000000000015,,,,,2024-09-07 18:28:19.312191,2011-04-30,2010/2011,Spain - La Liga,Real Sociedad vs Barcelona
,,,,,,,,,,,,,1.058172,,,,,,,,,,,,,,,aef98c0b-07a2-41d4-914a-ceff8a3fd6da,23,,"[49.1, 75.1]",69246,0,,,,,-1.8073541,,Right Foot,,"[46.4, 63.9]",,Ground Pass,,11.520851,,,Xavier Hernández Creus,,,,,,,1,From Kick Off,Martín Montoya Torralbo,6593.0,Right Back,2,Barcelona,217,['801f357e-bacd-4a34-99d9-c3d12771b4dc'],15,,,,,,,,,,,,,,Barcelona,217,00:00:15.858,Pass,,49.1,75.1,46.4,63.9,4,7,4,6,0.011263,0.012147,0.0008839999999999994,0.0008839999999999994,,,,,2024-09-07 18:28:19.312191,2011-04-30,2010/2011,Spain - La Liga,Real Sociedad vs Barcelona
,,,,,,,,,,,,,2.391006,,,,,,,,,,,,,,,79291b6f-cb67-43af-ab5f-309b96e23695,26,,"[47.1, 61.4]",69246,0,,,,,-1.9189197,,Right Foot,,"[33.6, 24.2]",,Ground Pass,,39.573856,,,Gabriel Alejandro Milito,,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['c8834135-e31a-47de-be0c-9d542a3ec399'],18,,,,,,,,,,,,,,Barcelona,217,00:00:18.761,Pass,,47.1,61.4,33.6,24.2,4,6,3,2,0.012147,0.011105,-0.0010419999999999995,0.0,,,,,2024-09-07 18:28:19.312191,2011-04-30,2010/2011,Spain - La Liga,Real Sociedad vs Barcelona
,,,,,,,,,,,,,1.8192,,,,,,,,,,,,,,,1ab42b27-4500-42c0-a97b-f171f04a1c88,29,,"[32.9, 23.3]",69246,0,,,,,-0.9398469,,Left Foot,,"[47.0, 4.0]",,Ground Pass,,23.901882,,,Andreu Fontàs Prat,,,,,,,1,From Kick Off,Gabriel Alejandro Milito,25919.0,Left Center Back,2,Barcelona,217,['7bb290de-3b6d-4500-9be4-f632aa2b60a4'],21,,,,,,,,,,,,,,Barcelona,217,00:00:21.706,Pass,,32.9,23.3,47.0,4.0,3,2,4,0,0.011105,0.011263,0.00015800000000000015,0.00015800000000000015,,,,,2024-09-07 18:28:19.312191,2011-04-30,2010/2011,Spain - La Liga,Real Sociedad vs Barcelona
