bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,,0.118698,,,,,,,,,,,,,f082af74-dd32-472b-9647-568cf4796916,5,,"[61.0, 40.1]",69248,0,,True,,,1.9922155,,Right Foot,,,,"[59.7, 43.0]",,Ground Pass,,3.1780498,,,,Lionel Andrés Messi Cuccittini,,,,,Kick Off,1,From Kick Off,David Villa Sánchez,12737.0,Left Wing,2,Barcelona,217,['a9d004da-e403-4fa6-991d-b36f397def7e'],0,,,,,,,,,,,,,,,Barcelona,217,00:00:00.771,Pass,,61.0,40.1,59.7,43.0,6,4,5,4,0.016895,0.014846,-0.0020490000000000005,0.0,,,,,2024-09-07 18:28:51.029855,2011-02-12,2010/2011,Spain - La Liga,Sporting Gijón vs Barcelona
,,,,,,,,,,,,,,,,,0.991955,,,,,,,,,,,,,12b7fbd6-923f-4b4b-ba66-6b938b4f833e,7,,"[59.3, 42.5]",69248,0,,,,,-3.0965104,,Right Foot,,,,"[46.0, 41.9]",,Ground Pass,,13.313527,,,,Javier Alejandro Mascherano,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['db14a8e5-15da-4cb2-91c6-85aa97cdd54f'],1,,,,,,,,,,,,,,,Barcelona,217,00:00:01.085,Pass,,59.3,42.5,46.0,41.9,5,4,4,4,0.014846,0.012626,-0.0022199999999999998,0.0,,,,,2024-09-07 18:28:51.029855,2011-02-12,2010/2011,Spain - La Liga,Sporting Gijón vs Barcelona
,,,,,,,,,,,,,,,,,1.705389,,,,,,,,,,,,,207a9106-aa0c-407f-8a7a-28a837c0591b,10,,"[45.0, 44.9]",69248,0,,,,,1.6183795,,Right Foot,,,,"[43.9, 68.0]",,Ground Pass,,23.126175,,,,Daniel Alves da Silva,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,2,Barcelona,217,['5174a218-750d-4e54-9d92-aff3efb5129c'],3,,,,,,,,,,,,,,,Barcelona,217,00:00:03.087,Pass,,45.0,44.9,43.9,68.0,4,4,4,6,0.012626,0.012147,-0.00047900000000000026,0.0,,,,,2024-09-07 18:28:51.029855,2011-02-12,2010/2011,Spain - La Liga,Sporting Gijón vs Barcelona
,,,,,,,,,,,,,,,,,2.185722,,,,,,,,,,,,,edf90819-b69a-4f3f-a1fd-9900c2c4c64f,13,,"[45.0, 65.2]",69248,0,,,,,-2.3336902,,Right Foot,,,,"[29.8, 49.3]",,Ground Pass,,21.996592,,,,Gerard Piqué Bernabéu,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['54fa30cb-ec81-40da-b1f7-dbed6c88fd1a'],5,,,,,,,,,,,,,,,Barcelona,217,00:00:05.886,Pass,,45.0,65.2,29.8,49.3,4,6,2,4,0.012147,0.010165,-0.0019819999999999994,0.0,,,,,2024-09-07 18:28:51.029855,2011-02-12,2010/2011,Spain - La Liga,Sporting Gijón vs Barcelona
,,,,,,,,,,,,,,,,,2.154762,,,,,,,,,,,,,8e1dbed7-69ea-4410-9441-bd38d49e3fc7,16,,"[30.9, 41.3]",69248,0,,,,,-1.334838,,Right Foot,,,,"[35.3, 23.0]",,Ground Pass,,18.82153,,,,Gabriel Alejandro Milito,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['a8178284-2cb0-4faa-94ad-b357705d4a55'],9,,,,,,,,,,,,,,,Barcelona,217,00:00:09.930,Pass,,30.9,41.3,35.3,23.0,2,4,3,2,0.010165,0.011105,0.0009399999999999999,0.0009399999999999999,,,,,2024-09-07 18:28:51.029855,2011-02-12,2010/2011,Spain - La Liga,Sporting Gijón vs Barcelona
,,,,,,,,,,,,,,,,,1.408433,,,,,,,,,,,,,93d67a62-accc-453e-822a-7994dfe9ee50,19,,"[43.9, 15.6]",69248,0,,,,,-0.88880163,,Left Foot,,,,"[53.4, 3.9]",,Ground Pass,,15.071164,,,,Maxwell Scherrer Cabelino Andrade,,,,,,1,From Kick Off,Gabriel Alejandro Milito,25919.0,Left Center Back,2,Barcelona,217,['265d0cf7-bd95-48db-a679-d5b0bb17c0db'],13,,,,,,,,,,,,,,,Barcelona,217,00:00:13.107,Pass,,43.9,15.6,53.4,3.9,4,1,5,0,0.012147,0.012483,0.0003359999999999995,0.0003359999999999995,,,,,2024-09-07 18:28:51.029855,2011-02-12,2010/2011,Spain - La Liga,Sporting Gijón vs Barcelona
,,,,,,,,,,,,,,,,,2.06404,,,,,,,,,,,,,f460a2eb-9639-4a0d-8b26-e94726086570,22,,"[53.4, 3.9]",69248,0,,,,,2.634061,,Left Foot,,,,"[33.8, 14.8]",,Ground Pass,,22.426992,,,,Gabriel Alejandro Milito,,,,,,1,From Kick Off,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,2,Barcelona,217,['5eec7ffe-c309-4458-9d31-1430bd5d2233'],15,,,,,,,,,,,,,,,Barcelona,217,00:00:15.163,Pass,,53.4,3.9,33.8,14.8,5,0,3,1,0.012483,0.010595,-0.001887999999999999,0.0,,,,,2024-09-07 18:28:51.029855,2011-02-12,2010/2011,Spain - La Liga,Sporting Gijón vs Barcelona
,,,,,,,,,,,,,,,,,2.258716,,,,,,,,,,,,,fd1f01fa-fd36-4b75-b36d-39bbec0fcddd,25,,"[34.0, 20.5]",69248,0,,,,,1.5527104,,Left Foot,,,,"[34.7, 59.2]",,Ground Pass,,38.70633,,,,Gerard Piqué Bernabéu,,,,,,1,From Kick Off,Gabriel Alejandro Milito,25919.0,Left Center Back,2,Barcelona,217,['76a57bf6-ad1d-4227-9701-9fbd241c32a3'],18,,,,,,,,,,,,,,,Barcelona,217,00:00:18.020,Pass,,34.0,20.5,34.7,59.2,3,2,3,5,0.011105,0.011105,0.0,0.0,,,,,2024-09-07 18:28:51.029855,2011-02-12,2010/2011,Spain - La Liga,Sporting Gijón vs Barcelona
,,,,,,,,,,,,,,,,,1.37288,,,,,,,,,,,,,e5875644-973c-4d6f-9039-e8f8b83c1d0a,28,,"[39.3, 60.2]",69248,0,,,,,0.024994794,,Right Foot,,,,"[47.3, 60.4]",,Ground Pass,,8.0025,,,,Xavier Hernández Creus,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['ce980581-5fa8-4891-a631-5c8393cfcbb0'],23,,,,,,,,,,,,,,,Barcelona,217,00:00:23.359,Pass,,39.3,60.2,47.3,60.4,3,6,4,6,0.010595,0.012147,0.0015519999999999996,0.0015519999999999996,,,,,2024-09-07 18:28:51.029855,2011-02-12,2010/2011,Spain - La Liga,Sporting Gijón vs Barcelona
,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,be8cd14a-3f0b-4970-8aa6-315725dc2e08,31,,"[46.7, 59.2]",69248,0,,,,,-1.0040671,,Right Foot,,,,"[53.0, 49.3]",,Ground Pass,,11.734565,,,,Javier Alejandro Mascherano,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Left Center Midfield,2,Barcelona,217,"['4c06e0b5-1d75-4b12-b822-f446ed3fcd9c', 'd601add3-a114-4181-ad6d-b03e367a95fe']",24,,,,,,,,,,,,,,,Barcelona,217,00:00:24.516,Pass,True,46.7,59.2,53.0,49.3,4,5,5,4,0.012692,0.014846,0.0021539999999999997,0.0021539999999999997,,,,,2024-09-07 18:28:51.029855,2011-02-12,2010/2011,Spain - La Liga,Sporting Gijón vs Barcelona
