bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,0.2333,,,,,,,,,,,27602f6f-c108-47ab-8eaf-ce0be4c2c588,5,,"[61.0, 41.0]",69260,0,,,,,1.4056476,,Right Foot,,,,"[61.4, 43.4]",,Ground Pass,,2.433105,,,,Lionel Andrés Messi Cuccittini,,,,,,Kick Off,1,From Kick Off,David Villa Sánchez,12737.0,Center Forward,2,Barcelona,217,['b01be347-3438-4bc2-8a91-1ea1b1ab2bf7'],1,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.489,Pass,,61.0,41.0,61.4,43.4,6,4,5,4,0.016895,0.014846,-0.0020490000000000005,0.0,,,,,2024-09-07 18:28:17.634864,2010-10-16,2010/2011,Spain - La Liga,Barcelona vs Valencia
,,,,,,,,,,,,,,,,0.976476,,,,,,,,,,,49d0a0bf-8634-439d-8c4d-8012fd36f6bf,8,,"[60.4, 44.5]",69260,0,,,,,-2.9354713,,Right Foot,,,,"[49.4, 42.2]",,Ground Pass,,11.237883,,,,Sergio Busquets i Burgos,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['ac475b36-5a7d-40cc-9c47-b53d68816710'],1,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.802,Pass,,60.4,44.5,49.4,42.2,5,4,4,4,0.014846,0.012626,-0.0022199999999999998,0.0,,,,,2024-09-07 18:28:17.634864,2010-10-16,2010/2011,Spain - La Liga,Barcelona vs Valencia
,,,,,,,,,,,,,,,,1.342611,,,,,,,,,,,7a1d6c59-accc-4109-8375-60418fa0f222,11,,"[49.4, 42.2]",69260,0,,,,,1.6814536,,Right Foot,,,,"[48.0, 54.8]",,Ground Pass,,12.677539,,,,Xavier Hernández Creus,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['046c0b78-fc49-4bf5-95df-aa5195ebfc85'],3,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.691,Pass,,49.4,42.2,48.0,54.8,4,4,4,5,0.012626,0.012692,6.600000000000009e-05,6.600000000000009e-05,,,,,2024-09-07 18:28:17.634864,2010-10-16,2010/2011,Spain - La Liga,Barcelona vs Valencia
,,,,,,,,,,,,,,,,1.404749,,,,,,,,,,,35663996-dd1d-4fcc-b33a-b6d66a5cfbab,14,,"[46.3, 50.8]",69260,0,,,,,-2.0796804,,Right Foot,,,,"[41.0, 41.3]",,Ground Pass,,10.878419,,,,Sergio Busquets i Burgos,,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['2c12c13c-91ed-4aaa-a32b-4ff4f26e7cdd'],5,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.985,Pass,,46.3,50.8,41.0,41.3,4,5,3,4,0.012692,0.011324,-0.0013679999999999994,0.0,,,,,2024-09-07 18:28:17.634864,2010-10-16,2010/2011,Spain - La Liga,Barcelona vs Valencia
,,,,,,,,,,,,,,,,2.117009,,,,,,,,,,,1f7a3517-bc58-4044-bd38-0c9d2c2448ea,18,,"[42.5, 39.5]",69260,0,,,,,1.8295672,,Right Foot,,,,"[38.9, 53.1]",,Ground Pass,,14.068404,,,,Gerard Piqué Bernabéu,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,"['30b5a385-06cc-492c-a819-89f5f2a936e8', 'f179bd71-fa5e-4751-b6d8-a4a097764856']",9,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.192,Pass,True,42.5,39.5,38.9,53.1,4,3,3,5,0.012626,0.011105,-0.0015209999999999998,0.0,,,,,2024-09-07 18:28:17.634864,2010-10-16,2010/2011,Spain - La Liga,Barcelona vs Valencia
,,,,,,,,,,,,,,,,1.328517,,,,,,,,,,,a8cb323b-9e88-4fef-aee3-5ec3b560fb0f,21,,"[39.4, 53.3]",69260,0,,,,,-1.682907,,Right Foot,,,,"[37.7, 38.2]",,Ground Pass,,15.195394,,,,Sergio Busquets i Burgos,,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['cb14cb2e-32f7-4f42-9c8e-4de5c95ef239'],11,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.349,Pass,,39.4,53.3,37.7,38.2,3,5,3,3,0.011105,0.011324,0.00021900000000000044,0.00021900000000000044,,,,,2024-09-07 18:28:17.634864,2010-10-16,2010/2011,Spain - La Liga,Barcelona vs Valencia
,,,,,,,,,,,,,,,,1.752697,,,,,,,,,,,6f7f5891-f5b1-489c-b640-e1b01b4dc6af,25,,"[40.2, 39.0]",69260,0,,,,,-1.5644066,,Right Foot,,,,"[40.4, 7.7]",,Ground Pass,,31.300638,,,,Carles Puyol i Saforcada,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,"['5f8fb70e-24e5-42fc-acc7-12f5c042dbde', 'd2206d08-501c-416a-b44d-317161b99516']",13,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.531,Pass,True,40.2,39.0,40.4,7.7,3,3,3,0,0.011324,0.009777,-0.0015470000000000015,0.0,,,,,2024-09-07 18:28:17.634864,2010-10-16,2010/2011,Spain - La Liga,Barcelona vs Valencia
,,,,,,,,,,,,,,,,0.8321,,,,,,,,,,,a81dd550-06d9-4bcc-8256-18d0f6b2f778,28,,"[56.6, 13.0]",69260,0,,,,,0.0,,Right Foot,,,,"[74.9, 13.0]",,Ground Pass,,18.3,,,,Seydou Kéita,,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['dc46ad2c-63cf-4e0d-9f97-17d92ea6d6cc'],19,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.495,Pass,,56.6,13.0,74.9,13.0,5,1,7,1,0.013845,0.018703,0.004858000000000001,0.004858000000000001,,,,,2024-09-07 18:28:17.634864,2010-10-16,2010/2011,Spain - La Liga,Barcelona vs Valencia
,,,,,,,,,,,,,,,,1.178428,,,,,,,,,,,163ec889-58de-455b-8b04-aa0eb7f488fa,31,,"[74.9, 13.0]",69260,0,,,,,-1.9079303,,Left Foot,,,,"[71.5, 3.3]",,Low Pass,,10.278619,,,,Maxwell Scherrer Cabelino Andrade,,,,,,,1,From Kick Off,Seydou Kéita,20169.0,Left Center Midfield,2,Barcelona,217,['63e3ccb0-f231-40a8-9fa5-a51034b8f18f'],20,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.368,Pass,,74.9,13.0,71.5,3.3,7,1,6,0,0.018703,0.014736,-0.003967,0.0,,,,,2024-09-07 18:28:17.634864,2010-10-16,2010/2011,Spain - La Liga,Barcelona vs Valencia
,,,,,,,,,,,,,,,,3.417132,,,,,,,,,,,6715de76-0c6d-4fdb-8c63-240b92f16c0f,35,,"[76.3, 4.9]",69260,0,,,,,0.22532126,,Left Foot,,,,"[120.8, 15.1]",,Ground Pass,,45.654026,,Out,,Andrés Iniesta Luján,,,,,,,1,From Kick Off,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,2,Barcelona,217,['4988d44b-1d23-4f40-8832-e5609745418d'],23,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.378,Pass,,76.3,4.9,120.8,15.1,7,0,11,1,0.017451,0.046477,0.029025999999999996,0.029025999999999996,,,,,2024-09-07 18:28:17.634864,2010-10-16,2010/2011,Spain - La Liga,Barcelona vs Valencia
