bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,0.798595,,,,,,,,,,,,,20b349d0-1aa4-4cb3-a14a-04141834a745,5,,"[60.0, 40.0]",69263,0,,,,,3.1145723,,Right Foot,,,,"[48.9, 40.3]",,Ground Pass,,11.1040535,,,,Gabriel Fernández Arenas,,,,,,Kick Off,1,From Kick Off,Braulio Nóbrega Rodríguez,26716.0,Right Center Forward,2,Real Zaragoza,395,['4e7f9c51-1f4c-405b-b6ac-eb8631206b59'],1,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:01.920,Pass,,60.0,40.0,48.9,40.3,5,3,4,4,0.014846,0.012626,-0.0022199999999999998,0.0,,,,,2024-09-07 18:28:45.899860,2010-10-23,2010/2011,Spain - La Liga,Real Zaragoza vs Barcelona
,,,,,,,,,,,,,,,2.0555,,,,,,,,,,,,,a2e77de2-5a70-4a47-a370-b12495134644,8,,"[48.7, 40.3]",69263,0,,,,,1.4736303,,Right Foot,,,,"[51.4, 68.0]",,Ground Pass,,27.831278,,,,Carlos Andrés Diogo Enseñat,,,,,,,1,From Kick Off,Gabriel Fernández Arenas,6384.0,Center Defensive Midfield,2,Real Zaragoza,395,['506982b8-1859-4234-90c9-a3ffa608aa6c'],3,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:03.245,Pass,,48.7,40.3,51.4,68.0,4,4,4,6,0.012626,0.012147,-0.00047900000000000026,0.0,,,,,2024-09-07 18:28:45.899860,2010-10-23,2010/2011,Spain - La Liga,Real Zaragoza vs Barcelona
,,,,,,,,,,,,,,,0.7823,,,,,,,,,,,,,3c41afeb-3192-40c9-8863-f92254905a1d,12,,"[53.5, 69.9]",69263,0,,,,,0.49642277,,Right Foot,,,,"[65.5, 76.4]",,Ground Pass,,13.647344,,,,Ander Herrera Agüera,,,,,,,1,From Kick Off,Carlos Andrés Diogo Enseñat,26022.0,Right Wing Back,2,Real Zaragoza,395,['dfc07b36-c3ff-43d2-be04-83707dbe362f'],8,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:08.241,Pass,,53.5,69.9,65.5,76.4,5,6,6,7,0.013845,0.014736,0.0008910000000000012,0.0008910000000000012,,,,,2024-09-07 18:28:45.899860,2010-10-23,2010/2011,Spain - La Liga,Real Zaragoza vs Barcelona
,,,,,,,,,,,,,,,0.783,,,,,,,,,,,,,c50db2af-28ab-4763-b6ad-fb64666a41ab,15,,"[62.7, 72.4]",69263,0,,,,,-1.4601392,,Right Foot,,,,"[64.0, 60.7]",,Ground Pass,,11.772,,,,Gabriel Fernández Arenas,,,,,,,1,From Kick Off,Ander Herrera Agüera,3606.0,Right Center Midfield,2,Real Zaragoza,395,['ae1a4911-b988-4b35-a454-c53dcbda2edb'],9,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:09.769,Pass,,62.7,72.4,64.0,60.7,6,7,6,6,0.014736,0.016118,0.0013819999999999995,0.0013819999999999995,,,,,2024-09-07 18:28:45.899860,2010-10-23,2010/2011,Spain - La Liga,Real Zaragoza vs Barcelona
,,,,,,,,,,,,,,,0.59,,,,,,,,,,,,,6ff0b7ef-8827-4ab9-9a86-9ec243a65da7,18,,"[63.6, 60.5]",69263,0,,,,,-0.4379298,,Right Foot,,,,"[76.2, 54.6]",,Low Pass,,13.912944,,,,Braulio Nóbrega Rodríguez,,,,,,,1,From Kick Off,Gabriel Fernández Arenas,6384.0,Center Defensive Midfield,2,Real Zaragoza,395,['8197ae3d-95cc-4203-839c-5bf1f2d64bcf'],11,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:11.308,Pass,,63.6,60.5,76.2,54.6,6,6,7,5,0.016118,0.019351,0.0032329999999999998,0.0032329999999999998,,,,,2024-09-07 18:28:45.899860,2010-10-23,2010/2011,Spain - La Liga,Real Zaragoza vs Barcelona
,,,,,,,,,,,,,,,1.5612,,,,,,,,,,,,,d492afbe-4915-4e17-80f8-d054be573457,21,,"[76.2, 54.6]",69263,0,,,,,2.0212433,,Right Foot,,,,"[70.3, 66.8]",,High Pass,,13.551753,,Incomplete,,,,,,,,,1,From Kick Off,Braulio Nóbrega Rodríguez,26716.0,Right Center Forward,2,Real Zaragoza,395,['2e6cece8-5804-4c96-8dae-230bbbf87cdb'],12,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:12.267,Pass,,76.2,54.6,70.3,66.8,7,5,6,6,0.019351,0.016118,-0.0032329999999999998,0.0,,,,,2024-09-07 18:28:45.899860,2010-10-23,2010/2011,Spain - La Liga,Real Zaragoza vs Barcelona
,,,,,,,,,,,,,,,0.855598,,,,,,,,,,,,,2e6cece8-5804-4c96-8dae-230bbbf87cdb,22,,"[49.8, 13.3]",69263,0,,,,,1.9425052,,Right Foot,,,,"[47.5, 19.2]",,Ground Pass,,6.332456,,,,Sergio Busquets i Burgos,,,,,,Recovery,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Wing Back,3,Barcelona,217,"['b644a976-89c5-4885-ac17-99621dbb2fe0', 'd492afbe-4915-4e17-80f8-d054be573457']",13,,,,,,,,,,,,,,,Barcelona,217,00:00:13.828,Pass,,49.8,13.3,47.5,19.2,4,1,4,1,0.012147,0.012147,0.0,0.0,,,,,2024-09-07 18:28:45.899860,2010-10-23,2010/2011,Spain - La Liga,Real Zaragoza vs Barcelona
,,,,,,,,,,,,,,,1.327586,,,,,,,,,,,,,cc2eb0fc-2ec7-4aad-91ec-d22a2eac2b18,25,,"[47.5, 19.2]",69263,0,,,,,-1.0541012,,Right Foot,,,,"[52.5, 10.4]",,Ground Pass,,10.121264,,,,Andrés Iniesta Luján,,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Right Defensive Midfield,3,Barcelona,217,['c01c31e7-971c-4fd8-a33b-a7153ef36296'],14,,,,,,,,,,,,,,,Barcelona,217,00:00:14.804,Pass,,47.5,19.2,52.5,10.4,4,1,5,1,0.012147,0.013845,0.0016979999999999999,0.0016979999999999999,,,,,2024-09-07 18:28:45.899860,2010-10-23,2010/2011,Spain - La Liga,Real Zaragoza vs Barcelona
,,,,,,,,,,,,,,,1.4987,,,,,,,,,,,,,b1a3b941-d718-44bb-816e-0bd27862dcc3,35,,"[52.9, 80.0]",69263,0,,,,,-1.4341075,,,,,,"[56.6, 53.1]",,High Pass,,27.153269,,,,Ángel Lafita Castillo,,,,,,Throw-in,1,From Throw In,Carlos Andrés Diogo Enseñat,26022.0,Right Wing Back,4,Real Zaragoza,395,['d30dc9b7-140b-44a5-90f7-c5e76ec4175d'],24,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:24.196,Pass,,52.9,80.0,56.6,53.1,5,7,5,5,0.012483,0.014291,0.0018080000000000006,0.0018080000000000006,,,,,2024-09-07 18:28:45.899860,2010-10-23,2010/2011,Spain - La Liga,Real Zaragoza vs Barcelona
,,,,,,,,,,,,,,,1.1309,,,,,,,,,,,,,8d6b7e45-8052-4993-a3db-c760c2559220,38,,"[63.4, 52.9]",69263,0,,,,,-2.121472,,Right Foot,,,,"[56.4, 41.5]",,Ground Pass,,13.377593,,,,Gabriel Fernández Arenas,,,,,,,1,From Throw In,Ángel Lafita Castillo,26020.0,Left Center Forward,4,Real Zaragoza,395,['97f99b70-9455-4e00-84ce-af9673d9d5da'],26,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:26.441,Pass,,63.4,52.9,56.4,41.5,6,5,5,4,0.016856,0.014846,-0.0020099999999999996,0.0,,,,,2024-09-07 18:28:45.899860,2010-10-23,2010/2011,Spain - La Liga,Real Zaragoza vs Barcelona
