50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,,,0.6085,,,,,,,,,,,,f708a6ed-090d-4ba1-a2d6-12c17b743d7d,5,,,"[61.0, 41.0]",69269,0,,True,,,1.706324,,Right Foot,,,"[60.7, 43.2]",,Ground Pass,,2.2203603,,,,,Lionel Andrés Messi Cuccittini,,,,,,Kick Off,1,From Kick Off,David Villa Sánchez,12737.0,Left Center Forward,2,Barcelona,217,['4d69a12d-dc55-4c44-9e01-571bd1ce83ee'],0,,,,,,,,,,,,,,,Barcelona,217,00:00:00.083,Pass,,61.0,41.0,60.7,43.2,6,4,5,4,0.016895,0.014846,-0.0020490000000000005,0.0,,,,,2024-09-07 18:28:18.601650,2010-09-19,2010/2011,Spain - La Liga,Atlético Madrid vs Barcelona
,,,,,,,,,,,,,,,,,,1.446489,,,,,,,,,,,,4f3d5866-43b8-419c-ad76-297375177d42,7,,,"[60.5, 43.6]",69269,0,,,,,-2.772259,,Right Foot,,,"[45.0, 37.6]",,Ground Pass,,16.62077,,,,,Sergio Busquets i Burgos,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Attacking Midfield,2,Barcelona,217,['11b7ecf2-6815-4f09-8e8e-2af398c474ac'],1,,,,,,,,,,,,,,,Barcelona,217,00:00:01.329,Pass,,60.5,43.6,45.0,37.6,5,4,4,3,0.014846,0.012626,-0.0022199999999999998,0.0,,,,,2024-09-07 18:28:18.601650,2010-09-19,2010/2011,Spain - La Liga,Atlético Madrid vs Barcelona
,,,,,,,,,,,,,,,,,,1.0704,,,,,,,,,,,,90aadc51-f92e-4060-9fa3-3041b0f42cb6,10,,,"[47.7, 41.2]",69269,0,,,,,0.19083111,,Right Foot,,,"[65.3, 44.6]",,Ground Pass,,17.925402,,,,,Lionel Andrés Messi Cuccittini,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['9c88298e-3426-4856-9a4e-0d8b7ea6abb0'],7,,,,,,,,,,,,,,,Barcelona,217,00:00:07.028,Pass,,47.7,41.2,65.3,44.6,4,4,6,4,0.012626,0.016895,0.004269,0.004269,,,,,2024-09-07 18:28:18.601650,2010-09-19,2010/2011,Spain - La Liga,Atlético Madrid vs Barcelona
,,,,,,,,,,,,,,,,,,1.1445,,,,,,,,,,,,f988a624-2fe1-4d1d-a24e-a26c7d6ab0e2,14,,,"[63.6, 42.9]",69269,0,,,,,-2.6011732,,Left Foot,,,"[49.6, 34.5]",,Ground Pass,,16.326666,,,,,Sergio Busquets i Burgos,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Attacking Midfield,2,Barcelona,217,"['c49452d2-a730-440c-a313-0a5a607c3452', 'c4c6a7ae-9515-4c00-9175-031b6de8f157']",9,,,,,,,,,,,,,,,Barcelona,217,00:00:09.265,Pass,True,63.6,42.9,49.6,34.5,6,4,4,3,0.016895,0.012626,-0.004269,0.0,,,,,2024-09-07 18:28:18.601650,2010-09-19,2010/2011,Spain - La Liga,Atlético Madrid vs Barcelona
,,,,,,,,,,,,,,,,,,1.0142,,,,,,,,,,,,e1efa55b-1009-4d1e-a716-fab370ad4fa8,17,,,"[54.1, 27.3]",69269,0,,,,,-0.7118469,,Right Foot,,,"[69.4, 14.1]",,Ground Pass,,20.207176,,,,,David Villa Sánchez,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['a684cac8-47ac-4454-bd50-129e1f033c86'],12,,,,,,,,,,,,,,,Barcelona,217,00:00:12.399,Pass,,54.1,27.3,69.4,14.1,5,2,6,1,0.014291,0.016118,0.0018270000000000005,0.0018270000000000005,,,,,2024-09-07 18:28:18.601650,2010-09-19,2010/2011,Spain - La Liga,Atlético Madrid vs Barcelona
,,,,,,,,,,,,,,,,,,0.8196,,,,,,,,,,,,b549e83d-e515-4d95-b95d-5f3297fc13af,19,,,"[69.8, 14.1]",69269,0,,,,,-0.8659687,,No Touch,,,"[77.2, 5.4]",,Ground Pass,,11.421471,,True,,,Maxwell Scherrer Cabelino Andrade,,,,,,,1,From Kick Off,David Villa Sánchez,12737.0,Left Center Forward,2,Barcelona,217,['bc334d3d-1b27-4793-8309-c1c2c91f54e4'],13,,,,,,,,,,,,,,,Barcelona,217,00:00:13.413,Pass,,69.8,14.1,77.2,5.4,6,1,7,0,0.016118,0.017451,0.0013330000000000009,0.0013330000000000009,,,,,2024-09-07 18:28:18.601650,2010-09-19,2010/2011,Spain - La Liga,Atlético Madrid vs Barcelona
,,,,,,,,,,,,,,,,,,0.7656,,,,,,,,,,,,dfdf07ed-a6e6-4537-a429-d3a1fa8223a5,21,,,"[79.5, 5.8]",69269,0,,,,,2.6117437,,Left Foot,,,"[72.5, 9.9]",,Ground Pass,,8.112336,,,,,David Villa Sánchez,,,,,,,1,From Kick Off,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,2,Barcelona,217,['bcf97f8a-4153-494e-9bea-62096d52e253'],14,,,,,,,,,,,,,,,Barcelona,217,00:00:14.233,Pass,,79.5,5.8,72.5,9.9,7,0,7,0,0.017451,0.017451,0.0,0.0,,,,,2024-09-07 18:28:18.601650,2010-09-19,2010/2011,Spain - La Liga,Atlético Madrid vs Barcelona
,,,,,,,,,,,,,,,,,,0.696145,,,,,,,,,,,,831e099f-d5ae-43fc-94eb-573d169fedb3,29,,,"[77.6, 10.5]",69269,0,,,,,-3.0297024,,Right Foot,,,"[68.7, 9.5]",,Ground Pass,,8.956003,,,,,Andrés Iniesta Luján,,,,,,,1,From Kick Off,David Villa Sánchez,12737.0,Left Center Forward,2,Barcelona,217,"['5f7cffea-0339-406f-83ac-65c690e24bc2', 'd7f9c5c6-52ae-4c1a-b6b4-583bfa1a3867']",17,,,,,,,,,,,,,,,Barcelona,217,00:00:17.184,Pass,True,77.6,10.5,68.7,9.5,7,0,6,0,0.017451,0.014736,-0.0027150000000000004,0.0,,,,,2024-09-07 18:28:18.601650,2010-09-19,2010/2011,Spain - La Liga,Atlético Madrid vs Barcelona
,,,,,,,,,,,,,,,,,,1.1271,,,,,,,,,,,,fa812d2d-2af6-4294-824b-d9bb92d22cca,32,,,"[64.7, 9.2]",69269,0,,,,,2.3561945,,Right Foot,,,"[54.7, 19.2]",,Ground Pass,,14.142136,,,,,Sergio Busquets i Burgos,,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Center Midfield,2,Barcelona,217,['0f86be3d-2f3b-4b52-b127-87a725fd9d6b'],18,,,,,,,,,,,,,,,Barcelona,217,00:00:18.866,Pass,,64.7,9.2,54.7,19.2,6,0,5,1,0.014736,0.013845,-0.0008910000000000012,0.0,,,,,2024-09-07 18:28:18.601650,2010-09-19,2010/2011,Spain - La Liga,Atlético Madrid vs Barcelona
,,,,,,,,,,,,,,,,,,1.1948,,,,,,,,,,,,3751adb3-cac3-4f23-90bf-ea639f733d83,35,,,"[53.9, 20.7]",69269,0,,,,,0.18664329,,Right Foot,,,"[77.2, 25.1]",,Ground Pass,,23.711811,,,,,David Villa Sánchez,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['fd21435b-b2cd-47da-b135-b6ca6d33c882'],20,,,,,,,,,,,,,,,Barcelona,217,00:00:20.644,Pass,,53.9,20.7,77.2,25.1,5,1,7,2,0.013845,0.019351,0.0055060000000000005,0.0055060000000000005,,,,,2024-09-07 18:28:18.601650,2010-09-19,2010/2011,Spain - La Liga,Atlético Madrid vs Barcelona
