ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,0.3502,,,,,,,,,,,,,,e67a0b7d-bef4-48ac-87b4-06e141c3c9fd,5,,"[61.0, 41.0]",69271,0,,,,,1.9818609,,Right Foot,,,,"[59.3, 44.9]",,Ground Pass,,4.2544093,,,Jeffren Isaac Suárez Bermúdez,,,,,Kick Off,1,From Kick Off,David Villa Sánchez,12737.0,Center Forward,2,Barcelona,217,['3ecdb090-feb3-4942-8b93-b03f69b707f1'],1,,,,,,,,,,,,,Barcelona,217,00:00:01.314,Pass,,61.0,41.0,59.3,44.9,6,4,5,4,0.016895,0.014846,-0.0020490000000000005,0.0,,,,,2024-09-07 18:28:09.866059,2011-04-23,2010/2011,Spain - La Liga,Barcelona vs Osasuna
,,,,,,,,,,,,,,,1.3928,,,,,,,,,,,,,,359d9f78-764a-48cf-9120-a045b231594b,8,,"[59.5, 44.9]",69271,0,,,,,-2.9474866,,Left Foot,,,,"[47.8, 42.6]",,Ground Pass,,11.923925,,,Sergio Busquets i Burgos,,,,,,1,From Kick Off,Jeffren Isaac Suárez Bermúdez,26624.0,Right Wing,2,Barcelona,217,['4353d688-4875-46eb-b29b-3f962cf82119'],1,,,,,,,,,,,,,Barcelona,217,00:00:01.824,Pass,,59.5,44.9,47.8,42.6,5,4,4,4,0.014846,0.012626,-0.0022199999999999998,0.0,,,,,2024-09-07 18:28:09.866059,2011-04-23,2010/2011,Spain - La Liga,Barcelona vs Osasuna
,,,,,,,,,,,,,,,1.4296,,,,,,,,,,,,,,5a980fd4-9080-4528-9e2e-e5a0dc68b0cf,11,,"[45.2, 42.5]",69271,0,,,,,-2.0500677,,Right Foot,,,,"[38.6, 29.8]",,Ground Pass,,14.312582,,,Gabriel Alejandro Milito,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['1ed0498a-bd4f-4c22-bd8d-1fb3ca17c741'],3,,,,,,,,,,,,,Barcelona,217,00:00:03.564,Pass,,45.2,42.5,38.6,29.8,4,4,3,2,0.012626,0.011105,-0.0015209999999999998,0.0,,,,,2024-09-07 18:28:09.866059,2011-04-23,2010/2011,Spain - La Liga,Barcelona vs Osasuna
,,,,,,,,,,,,,,,6.0731,,,,,,,,,,,,,,d46000b4-2a3f-4213-8a13-fd417a8b1029,15,,"[40.2, 25.8]",69271,0,,,,,-0.25052443,,Left Foot,,,,"[120.7, 5.2]",,High Pass,,83.09399,Out,,Ibrahim Afellay,,,,,,1,From Kick Off,Gabriel Alejandro Milito,25919.0,Left Center Back,2,Barcelona,217,"['85973f60-2a49-48b9-8a9a-cae64c83db48', 'f0082f28-d9b4-460e-9fa7-0a42f3b857d9']",6,,,,,,,,,,,,,Barcelona,217,00:00:06.029,Pass,True,40.2,25.8,120.7,5.2,4,2,11,0,0.012692,0.037926,0.025234,0.025234,,,,,2024-09-07 18:28:09.866059,2011-04-23,2010/2011,Spain - La Liga,Barcelona vs Osasuna
,,,,,,,,,,,,,,,4.102,,,,,,,,,,,,,,deda66ad-fe87-4b09-bca2-8ef69bd18fce,17,,"[6.0, 44.0]",69271,0,,,,,0.16733925,,Right Foot,,,,"[65.2, 54.0]",,High Pass,,60.038654,,,Krisztián Vadócz,,,,,Goal Kick,1,From Goal Kick,Ricardo López Felipe,25912.0,Goalkeeper,3,Osasuna,422,['8b1d43b2-6ab8-46bc-b17c-2a17751942dc'],31,,,,,,,,,,,,,Osasuna,422,00:00:31.358,Pass,,6.0,44.0,65.2,54.0,0,4,6,5,0.009411,0.016856,0.007445,0.007445,,,,,2024-09-07 18:28:09.866059,2011-04-23,2010/2011,Spain - La Liga,Barcelona vs Osasuna
,,,,,,,,,,,,,,,1.4039,,,,,,,,,,,,,,0e14871f-21a6-4036-984b-6c0569ff2bea,20,,"[65.2, 54.0]",69271,0,,,,True,-0.0506812,,,,,,"[79.0, 53.3]",,High Pass,,13.817742,Incomplete,,Enrique Sola Clemente,,,,,,1,From Goal Kick,Krisztián Vadócz,26660.0,Right Defensive Midfield,3,Osasuna,422,"['3f29835d-8a98-40cf-9d6d-be708bb7b610', '9911d499-e722-419d-a717-865ecd19b951', 'df6d75ef-4912-4771-a3df-f562c3b03347']",35,,,,,,,,,,,,,Osasuna,422,00:00:35.482,Pass,True,65.2,54.0,79.0,53.3,6,5,7,5,0.016856,0.019351,0.0024950000000000007,0.0024950000000000007,,,,,2024-09-07 18:28:09.866059,2011-04-23,2010/2011,Spain - La Liga,Barcelona vs Osasuna
,,,,,,,,,,,,,,,1.5651,,,,,,,,,,,,,,9911d499-e722-419d-a717-865ecd19b951,22,,"[42.0, 27.7]",69271,0,,,,True,-0.29090735,,,,,,"[58.7, 22.7]",,High Pass,,17.432442,Incomplete,,Seydou Kéita,,,,,Recovery,1,From Goal Kick,Gabriel Alejandro Milito,25919.0,Left Center Back,3,Osasuna,422,"['0e14871f-21a6-4036-984b-6c0569ff2bea', '77733a1b-8a5b-4bbb-a50b-b52748aa99cb', '8aa79f8e-1885-4384-9dd5-252c2121c981', 'ec3bcfab-1c57-4a5c-a773-deaf08b6255c']",36,,,,,,,,,,,,,Barcelona,217,00:00:36.886,Pass,True,42.0,27.7,58.7,22.7,4,2,5,2,0.012692,0.014291,0.0015989999999999997,0.0015989999999999997,,,,,2024-09-07 18:28:09.866059,2011-04-23,2010/2011,Spain - La Liga,Barcelona vs Osasuna
,,,,,,,,,,,,,,,1.2266,,,,,,,,,,,,,,ec3bcfab-1c57-4a5c-a773-deaf08b6255c,26,,"[62.3, 58.3]",69271,0,,,,True,-1.3909428,,,,,,"[64.1, 48.4]",,High Pass,,10.062305,Incomplete,,Álvaro Cejudo Carmona,,,,,Recovery,1,From Goal Kick,Krisztián Vadócz,26660.0,Right Defensive Midfield,3,Osasuna,422,"['0d50e08b-2527-4e6e-9c36-cdd23b424ea8', '3a37acc4-ae25-49e3-ae00-657c40edbc42', '94147d7e-b327-4f42-812c-99df93c77699', '9911d499-e722-419d-a717-865ecd19b951']",38,,,,,,,,,,,,,Osasuna,422,00:00:38.451,Pass,True,62.3,58.3,64.1,48.4,6,5,6,4,0.016856,0.016895,3.900000000000084e-05,3.900000000000084e-05,,,,,2024-09-07 18:28:09.866059,2011-04-23,2010/2011,Spain - La Liga,Barcelona vs Osasuna
,,,,,,,,,,,,,,,1.7774,,,,,,,,,,,,,,20f294e1-ad72-4637-bde8-82b409c48758,33,,"[54.5, 37.9]",69271,0,,,,,1.8340454,,Right Foot,,,,"[50.7, 52.0]",,High Pass,,14.603082,,,Daniel Alves da Silva,,,,,,1,Regular Play,Thiago Alcântara do Nascimento,5208.0,Right Center Midfield,4,Barcelona,217,['c3933cb3-72e3-4e29-a048-0229b1a5b522'],41,,,,,,,,,,,,,Barcelona,217,00:00:41.209,Pass,,54.5,37.9,50.7,52.0,5,3,4,5,0.014846,0.012692,-0.0021539999999999997,0.0,,,,,2024-09-07 18:28:09.866059,2011-04-23,2010/2011,Spain - La Liga,Barcelona vs Osasuna
,,,,,,,,,,,,,,,0.8071,,,,,,,,,,,,,,3eb2c5af-2a02-49ea-b40d-506423c1c4a8,36,,"[51.3, 62.0]",69271,0,,,,,0.6459581,,Right Foot,,,,"[64.3, 71.8]",,Ground Pass,,16.280048,,,Jeffren Isaac Suárez Bermúdez,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,4,Barcelona,217,['0c1dd818-fe36-43d6-ae60-5a0a2e1c1235'],44,,,,,,,,,,,,,Barcelona,217,00:00:44.594,Pass,,51.3,62.0,64.3,71.8,5,6,6,7,0.013845,0.014736,0.0008910000000000012,0.0008910000000000012,,,,,2024-09-07 18:28:09.866059,2011-04-23,2010/2011,Spain - La Liga,Barcelona vs Osasuna
