bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,,0.760344,,,,,,,,,,,,,6872fabb-78b4-40a0-9f42-0c60aa86d3b4,5,,,"[60.0, 40.0]",69274,0,,,,,1.8063413,,Right Foot,,,,"[59.4, 42.5]",,Ground Pass,,2.570992,,,Joaquín Sánchez Rodríguez,,,,,Kick Off,1,From Kick Off,Juan Manuel Mata García,3294.0,Center Forward,2,Valencia,207,['2549f6ec-48af-4d04-b7a2-1bfb5e87879b'],1,,,,,,,,,,,,,,,,Valencia,207,00:00:01.773,Pass,,60.0,40.0,59.4,42.5,5,3,5,4,0.014846,0.014846,0.0,0.0,,,,,2024-09-07 18:28:24.434497,2011-03-02,2010/2011,Spain - La Liga,Valencia vs Barcelona
,,,,,,,,,,,,,,,,,0.685838,,,,,,,,,,,,,4b4c5080-c369-4e59-a9f7-15d5a70be9ec,8,,,"[56.8, 41.9]",69274,0,,,,,-2.860755,,Right Foot,,,,"[51.6, 40.4]",,Ground Pass,,5.4120235,,,Alberto Facundo Costa,,,,,,1,From Kick Off,Joaquín Sánchez Rodríguez,6651.0,Right Wing,2,Valencia,207,['f7747692-4d47-4048-ac6e-e62ebae92ce8'],3,,,,,,,,,,,,,,,,Valencia,207,00:00:03.015,Pass,,56.8,41.9,51.6,40.4,5,4,5,3,0.014846,0.014846,0.0,0.0,,,,,2024-09-07 18:28:24.434497,2011-03-02,2010/2011,Spain - La Liga,Valencia vs Barcelona
,,,,,,,,,,,,,,,,,1.080209,,,,,,,,,,,,,b04f7548-87dd-4266-a1b4-34118e446fa0,11,,,"[52.4, 40.4]",69274,0,,,,,2.3276308,,Left Foot,,,,"[43.9, 49.4]",,Ground Pass,,12.379418,,,Éver Maximiliano David Banega,,,,,,1,From Kick Off,Alberto Facundo Costa,26728.0,Right Center Midfield,2,Valencia,207,['ac01ead7-df3f-4685-bb75-d86853c70256'],3,,,,,,,,,,,,,,,,Valencia,207,00:00:03.986,Pass,,52.4,40.4,43.9,49.4,5,3,4,4,0.014846,0.012626,-0.0022199999999999998,0.0,,,,,2024-09-07 18:28:24.434497,2011-03-02,2010/2011,Spain - La Liga,Valencia vs Barcelona
,,,,,,,,,,,,,,,,,1.942332,,,,,,,,,,,,,a4d74a03-fdf6-480e-a207-57ed6461a31f,14,,,"[42.5, 49.0]",69274,0,,,,,-2.1251037,,Right Foot,,,,"[29.5, 28.0]",,Ground Pass,,24.698177,,,Ángel Dealbert Ibáñez,,,,,,1,From Kick Off,Éver Maximiliano David Banega,5504.0,Left Center Midfield,2,Valencia,207,['11876223-e736-45c8-87fb-a3144fc41b99'],5,,,,,,,,,,,,,,,,Valencia,207,00:00:05.687,Pass,,42.5,49.0,29.5,28.0,4,4,2,2,0.012626,0.010013,-0.0026130000000000007,0.0,,,,,2024-09-07 18:28:24.434497,2011-03-02,2010/2011,Spain - La Liga,Valencia vs Barcelona
,,,,,,,,,,,,,,,,,2.200281,,,,,,,,,,,,,300ed72e-99e8-496d-8001-01cfe9e18244,18,,,"[27.3, 24.4]",69274,0,,,,,2.4006097,,Right Foot,,,,"[8.5, 41.6]",,Ground Pass,,25.480974,,,Vicente Guaita Panadero,,,,,,1,From Kick Off,Ángel Dealbert Ibáñez,26645.0,Left Center Back,2,Valencia,207,"['c81a97cc-2ba6-40a6-9a3f-ab879a7dd52e', 'd4c78189-8c63-4414-8da3-8ba0163919da']",8,,,,,,,,,,,,,,,,Valencia,207,00:00:08.529,Pass,True,27.3,24.4,8.5,41.6,2,2,0,4,0.010013,0.009411,-0.0006020000000000001,0.0,,,,,2024-09-07 18:28:24.434497,2011-03-02,2010/2011,Spain - La Liga,Valencia vs Barcelona
,,,,,,,,,,,,,,,,,3.105456,,,,,,,,,,,,,fe0d994d-a6fb-4acd-95b0-b8fdd0050a27,21,,,"[6.8, 43.9]",69274,0,,,,,0.891251,,Right Foot,,,,"[35.4, 79.3]",,High Pass,,45.50956,Out,,Marius Stankevičius,,,,,,1,From Kick Off,Vicente Guaita Panadero,6625.0,Goalkeeper,2,Valencia,207,"['3d7a52b4-49bd-46e7-bcfd-66af6e9f278a', 'd4c78189-8c63-4414-8da3-8ba0163919da']",11,,,,,,,,,,,,,,,,Valencia,207,00:00:11.914,Pass,True,6.8,43.9,35.4,79.3,0,4,3,7,0.009411,0.009777,0.000366,0.000366,,,,,2024-09-07 18:28:24.434497,2011-03-02,2010/2011,Spain - La Liga,Valencia vs Barcelona
,,,,,,,,,,,,,,,,,1.465036,,,,,,,,,,,,,72a89a8b-bb8f-4b87-b766-9b10201d453d,23,,,"[84.9, 1.0]",69274,0,,,,,1.3930795,,,,,,"[88.6, 21.6]",,Low Pass,,20.929644,,,David Villa Sánchez,,,,,Throw-in,1,From Throw In,Adriano Correia Claro,22102.0,Left Wing Back,3,Barcelona,217,['a35c3a12-6585-4be0-9c13-26ffd6bdbe6b'],21,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.092,Pass,,84.9,1.0,88.6,21.6,8,0,8,2,0.021221,0.024122,0.002901000000000001,0.002901000000000001,,,,,2024-09-07 18:28:24.434497,2011-03-02,2010/2011,Spain - La Liga,Valencia vs Barcelona
,,,,,,,,,,,,,,,,,1.186497,,,,,,,,,,,,,c0b3a10b-694c-4c75-8b13-0d189acd0eba,32,,,"[28.0, 56.4]",69274,0,,,,,0.6602282,,Right Foot,,,,"[36.5, 63.0]",,Ground Pass,,10.761505,,,Marius Stankevičius,,,,,,1,From Throw In,Ángel Dealbert Ibáñez,26645.0,Left Center Back,3,Barcelona,217,"['5c248e2a-bd5c-4cfd-8385-68c89a337825', '6dc0412d-c2dd-4959-80eb-51469768739f']",26,,,,,,,,,,,,,,,,Valencia,207,00:00:26.063,Pass,True,28.0,56.4,36.5,63.0,2,5,3,6,0.010013,0.010595,0.0005820000000000009,0.0005820000000000009,,,,,2024-09-07 18:28:24.434497,2011-03-02,2010/2011,Spain - La Liga,Valencia vs Barcelona
,,,,,,,,,,,,,,,,,4.224043,,,,,,,,,,,,,fbf8c68b-fb66-4131-a992-08688eda3fd6,36,,,"[32.2, 63.5]",69274,0,,,,,0.29968283,,Right Foot,,,,"[85.6, 80.0]",,High Pass,,55.891056,Out,,Juan Manuel Mata García,,,,,,1,From Throw In,Marius Stankevičius,26681.0,Right Back,3,Barcelona,217,"['360284ad-1de2-4227-b2b4-ba10237f83be', '55cb0f27-8b45-4ab3-9e29-eb965dd47dcd']",28,,,,,,,,,,,,,,,,Valencia,207,00:00:28.054,Pass,True,32.2,63.5,85.6,80.0,2,6,8,7,0.009424,0.021221,0.011797,0.011797,,,,,2024-09-07 18:28:24.434497,2011-03-02,2010/2011,Spain - La Liga,Valencia vs Barcelona
,,,,,,,,,,,,,,,,,1.21842,,,,,,,,,,,,,602f752c-da38-4be3-b117-5efe99534d61,38,,,"[35.6, 1.0]",69274,0,,,,,2.4950795,,,,,,"[25.0, 9.0]",,Low Pass,,13.28006,,,Eric-Sylvain Bilal Abidal,,,,,Throw-in,1,From Throw In,Adriano Correia Claro,22102.0,Left Wing Back,4,Barcelona,217,['0eeb088b-05ba-438f-bbbe-245907ddd595'],41,,,,,,,,,,,,,,,,Barcelona,217,00:00:41.273,Pass,,35.6,1.0,25.0,9.0,3,0,2,0,0.009777,0.008449,-0.0013279999999999993,0.0,,,,,2024-09-07 18:28:24.434497,2011-03-02,2010/2011,Spain - La Liga,Valencia vs Barcelona
