50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,,,0.6061,,,,,,,,,,,,,,458658e1-a7cd-411a-97ec-0dba039ad0c0,5,,,"[60.0, 40.0]",69275,0,,,,1.3554386,,Right Foot,,,,"[60.7, 43.2]",,Ground Pass,,3.275668,,,Joan Verdú Fernández,,,,,,Kick Off,1,From Kick Off,Pablo Daniel Osvaldo,26609.0,Center Forward,2,Espanyol,214,['21da0280-054e-4804-a1f5-56fb42f7cd95'],0,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.738,Pass,,60.0,40.0,60.7,43.2,5,3,5,4,0.014846,0.014846,0.0,0.0,,,,,2024-09-07 18:28:12.282664,2010-12-18,2010/2011,Spain - La Liga,Espanyol vs Barcelona
,,,,,,,,,,,,,,,,,,1.776163,,,,,,,,,,,,,,685b24e7-c546-46c4-92b2-e82738d9c6a4,9,,,"[61.8, 42.1]",69275,0,,,,-1.3558406,,Right Foot,,,,"[69.9, 5.0]",,High Pass,,37.973938,,,José María Callejón Bueno,,,,,,,1,From Kick Off,Joan Verdú Fernández,26211.0,Left Wing,2,Espanyol,214,['0fca70b4-a265-43ff-9798-d3cf36062695'],2,,,,,,,,,,,,,,,,Espanyol,214,00:00:02.511,Pass,,61.8,42.1,69.9,5.0,6,4,6,0,0.016895,0.014736,-0.0021589999999999995,0.0,,,,,2024-09-07 18:28:12.282664,2010-12-18,2010/2011,Spain - La Liga,Espanyol vs Barcelona
,,,,,,,,,,,,,,,,,,1.2429,,,,,,,,,,,,,,2662c0d4-5250-4e4d-986a-70f166bccc3f,17,,,"[104.6, 4.2]",69275,0,,,,1.3931127,,Left Foot,True,,,"[109.7, 32.6]",,Low Pass,,28.85429,Incomplete,,Pablo Daniel Osvaldo,,,,,,,1,From Kick Off,José María Callejón Bueno,7029.0,Right Wing,2,Espanyol,214,"['5e63fc3c-fe1d-400e-84bb-71c59ece6e6c', 'a4187488-64aa-4e56-972b-59d3011ae735', 'c37203e8-8883-442e-a1d8-1e0e9cb4d307']",9,,,,,,,,,,,,,,,,Espanyol,214,00:00:09.581,Pass,True,104.6,4.2,109.7,32.6,10,0,10,3,0.034851,0.108051,0.07319999999999999,0.07319999999999999,,,,,2024-09-07 18:28:12.282664,2010-12-18,2010/2011,Spain - La Liga,Espanyol vs Barcelona
,,,,,,,,,,,,,,,,,,1.2985,,,,,,,,,,,,,,83f136b8-1426-4d59-8b98-5be0fe8a996c,21,,,"[78.8, 0.1]",69275,0,,,,1.3900968,,,,,,"[80.7, 10.5]",,Low Pass,,10.572133,,,Javier Márquez Moreno,,,,,,Throw-in,1,From Throw In,Dídac Vilá Rosselló,6886.0,Left Back,3,Espanyol,214,['14eeb0ac-1a2c-47e3-835a-2ba7893e1154'],18,,,,,,,,,,,,,,,,Espanyol,214,00:00:18.784,Pass,,78.8,0.1,80.7,10.5,7,0,8,1,0.017451,0.024015,0.006564,0.006564,,,0.0059521776,0.0059521776,2024-09-07 18:28:12.282664,2010-12-18,2010/2011,Spain - La Liga,Espanyol vs Barcelona
,,,,,,,,,,,,,,,,,,0.950262,,,,,,,,,,,,,,c0e724b6-a105-4a6a-99cf-8c3e5e79e703,25,,,"[79.4, 10.1]",69275,0,,,,-1.8432595,,Left Foot,,,,"[77.5, 3.3]",,Ground Pass,,7.0604534,,,Dídac Vilá Rosselló,,,,,,,1,From Throw In,Javier Márquez Moreno,24783.0,Right Center Midfield,3,Espanyol,214,"['8f4b5170-d99b-47ad-8e54-11d2808a6056', '915a875e-b828-4bce-b9ec-9804c55ca17e']",20,,,,,,,,,,,,,,,,Espanyol,214,00:00:20.122,Pass,True,79.4,10.1,77.5,3.3,7,1,7,0,0.018703,0.017451,-0.0012519999999999996,0.0,,,0.0059521776,0.0059521776,2024-09-07 18:28:12.282664,2010-12-18,2010/2011,Spain - La Liga,Espanyol vs Barcelona
,,,,,,,,,,,,,,,,,,0.7758,,,,,,,,,,,,,,45b19e5b-cdfb-493e-802f-550890f0ef49,29,,,"[78.6, 3.3]",69275,0,,,,0.05384013,,Left Foot,,,,"[95.3, 4.2]",,Ground Pass,,16.724234,,,José María Callejón Bueno,,,,,,,1,From Throw In,Dídac Vilá Rosselló,6886.0,Left Back,3,Espanyol,214,['b538b3fc-96e4-4499-bc1d-0314e0293fe0'],22,,,,,,,,,,,,,,,,Espanyol,214,00:00:22.415,Pass,,78.6,3.3,95.3,4.2,7,0,9,0,0.017451,0.027563,0.010112,0.010112,,,0.0059521776,0.0059521776,2024-09-07 18:28:12.282664,2010-12-18,2010/2011,Spain - La Liga,Espanyol vs Barcelona
,,,,,,,,,,,,,,,,,,0.3219,,,,,,,,,,,,,,6dd77784-a9cc-477b-a503-2b8c5a16eef0,32,,,"[94.4, 9.5]",69275,0,,,,2.2763646,,Right Foot,,,,"[92.1, 12.2]",,Ground Pass,,3.5468295,Incomplete,,Joan Verdú Fernández,,,,,,,1,From Throw In,José María Callejón Bueno,7029.0,Right Wing,3,Espanyol,214,"['73e1d42a-7454-4472-be63-af4c76fa1c31', 'e156c705-8f92-4271-ab11-9264f53397c8']",25,,,,,,,,,,,,,,,,Espanyol,214,00:00:25.619,Pass,,94.4,9.5,92.1,12.2,9,0,9,1,0.027563,0.029533,0.0019699999999999995,0.0019699999999999995,,,0.0059521776,0.0059521776,2024-09-07 18:28:12.282664,2010-12-18,2010/2011,Spain - La Liga,Espanyol vs Barcelona
,,,,,,,,,,,,,,,,,,1.0807,,,,,,,,,,,,,,c72d2496-0111-42fd-8ed7-6ae2f29a1a1b,38,,,"[98.7, 3.3]",69275,0,,,,1.1747149,,Left Foot,,,,"[103.3, 14.3]",,Ground Pass,,11.923087,Incomplete,,Pablo Daniel Osvaldo,,,,,,,1,From Throw In,Dídac Vilá Rosselló,6886.0,Left Back,3,Espanyol,214,"['3fe9bd0b-20b6-497e-a2b0-67c7472ebed9', 'b307b8bc-5cb4-4680-ac6e-5feb4293d7b7']",30,,,,,,,,,,,,,,,,Espanyol,214,00:00:30.203,Pass,,98.7,3.3,103.3,14.3,9,0,10,1,0.027563,0.04067,0.013106999999999997,0.013106999999999997,,,0.0059521776,0.0059521776,2024-09-07 18:28:12.282664,2010-12-18,2010/2011,Spain - La Liga,Espanyol vs Barcelona
,,,,,,,,,,,,,,,,,,2.4509,,,,,,,,,,,,,,743bec5c-ccb3-431c-a916-4657544952d3,41,,,"[11.2, 69.8]",69275,0,,,,0.07751428,,Right Foot,,,,"[52.4, 73.0]",,High Pass,,41.324085,Incomplete,,Pedro Eliezer Rodríguez Ledesma,,,,,,Recovery,1,From Throw In,Carles Puyol i Saforcada,20125.0,Right Center Back,3,Espanyol,214,"['93d5405f-cb4a-4d3d-be4e-1f4d936454d7', 'f17dbb11-41fe-4597-bef2-f87bdcd637aa']",32,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.708,Pass,,11.2,69.8,52.4,73.0,0,6,5,7,0.007501,0.012483,0.0049819999999999994,0.0049819999999999994,,,0.0059521776,0.0059521776,2024-09-07 18:28:12.282664,2010-12-18,2010/2011,Spain - La Liga,Espanyol vs Barcelona
,,,,,,,,,,,,,,,,,,1.6585,,,,,,,,,,,,,,93d5405f-cb4a-4d3d-be4e-1f4d936454d7,43,,,"[67.7, 7.1]",69275,0,,,,0.12994543,,Head,,,,"[85.3, 9.4]",,High Pass,,17.749647,Incomplete,,Joan Verdú Fernández,,,,,,Recovery,1,From Throw In,Víctor Ruíz Torre,6752.0,Left Center Back,3,Espanyol,214,"['518058ff-afa0-4ce2-86e8-6e1d64ad7420', '58f6d549-a7d4-4295-a71b-6498beca1d57', '743bec5c-ccb3-431c-a916-4657544952d3']",35,,,,,,,,,,,,,,,,Espanyol,214,00:00:35.159,Pass,,67.7,7.1,85.3,9.4,6,0,8,0,0.014736,0.021221,0.0064849999999999994,0.0064849999999999994,,,0.0059521776,0.0059521776,2024-09-07 18:28:12.282664,2010-12-18,2010/2011,Spain - La Liga,Espanyol vs Barcelona
