ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,0.4295,,,,,,,,,,,,,eb49627e-e9b2-42a1-ae19-298de68c4bcb,5,,"[61.0, 40.1]",69278,0,True,,,2.2584677,,Right Foot,,,"[58.7, 42.9]",,Ground Pass,,3.6235342,,,,,Lionel Andrés Messi Cuccittini,,,,,Kick Off,1,From Kick Off,David Villa Sánchez,12737.0,Left Wing,2,Barcelona,217,['eb87b9a8-b164-4a3f-af45-210487bb663a'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.442,Pass,,61.0,40.1,58.7,42.9,5,4,5,4,0.014846,0.014846,0.0,0.0,,,,,2024-09-07 18:28:11.533367,2011-01-16,2010/2011,Spain - La Liga,Barcelona vs Málaga
,,,,,,,,,,,,,,,,1.5193,,,,,,,,,,,,,d3384e58-9cca-4548-9a6f-288e6735771d,7,,"[59.1, 43.0]",69278,0,,,,-3.0079849,,Right Foot,,,"[40.5, 40.5]",,Ground Pass,,18.76726,,,,,Sergio Busquets i Burgos,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['bcadb7ad-3606-43f7-9dc3-7e0441678b3b'],1,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.175,Pass,,59.1,43.0,40.5,40.5,5,4,3,4,0.014846,0.011324,-0.003521999999999999,0.0,,,,,2024-09-07 18:28:11.533367,2011-01-16,2010/2011,Spain - La Liga,Barcelona vs Málaga
,,,,,,,,,,,,,,,,0.8245,,,,,,,,,,,,,bf8dec29-0ccd-493d-a9d1-a12f5847b55a,9,,"[41.0, 41.3]",69278,0,,,,1.0608243,,Right Foot,,,"[47.6, 53.1]",,Ground Pass,,13.520355,,,,,Xavier Hernández Creus,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['52b6eb3c-3fc4-427e-ae3a-da312d7ba97b'],2,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.695,Pass,,41.0,41.3,47.6,53.1,3,4,4,5,0.011324,0.012692,0.0013679999999999994,0.0013679999999999994,,,,,2024-09-07 18:28:11.533367,2011-01-16,2010/2011,Spain - La Liga,Barcelona vs Málaga
,,,,,,,,,,,,,,,,1.0704,,,,,,,,,,,,,c4a24106-cbe1-4c2d-b9d4-ea5ed3693302,11,,"[49.3, 54.6]",69278,0,,,,-2.1273956,,Right Foot,,,"[43.7, 45.6]",,Ground Pass,,10.6,,,,,Sergio Busquets i Burgos,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['637537be-c03d-4aab-b762-8fc9d75f6c61'],3,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.519,Pass,,49.3,54.6,43.7,45.6,4,5,4,4,0.012692,0.012626,-6.600000000000009e-05,0.0,,,,,2024-09-07 18:28:11.533367,2011-01-16,2010/2011,Spain - La Liga,Barcelona vs Málaga
,,,,,,,,,,,,,,,,1.6738,,,,,,,,,,,,,396e8906-2b20-4aa6-9db3-507193aaf731,14,,"[43.5, 45.6]",69278,0,,,,1.5533764,,Right Foot,,,"[44.0, 74.3]",,Ground Pass,,28.704355,,,,,Daniel Alves da Silva,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['9c890c28-002c-42b2-bb00-09a06da9acb2'],5,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.930,Pass,,43.5,45.6,44.0,74.3,4,4,4,7,0.012626,0.011263,-0.0013629999999999996,0.0,,,,,2024-09-07 18:28:11.533367,2011-01-16,2010/2011,Spain - La Liga,Barcelona vs Málaga
,,,,,,,,,,,,,,,,1.7133,,,,,,,,,,,,,083c9076-67d8-4d64-9627-4777362ddbeb,17,,"[44.2, 74.8]",69278,0,,,,-2.1785984,,Right Foot,,,"[31.4, 56.4]",,Ground Pass,,22.414282,,,,,Gerard Piqué Bernabéu,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['fd9b5020-8af5-4835-acaa-de0919e6a2f9'],8,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.274,Pass,,44.2,74.8,31.4,56.4,4,7,2,5,0.011263,0.010013,-0.0012500000000000011,0.0,,,,,2024-09-07 18:28:11.533367,2011-01-16,2010/2011,Spain - La Liga,Barcelona vs Málaga
,,,,,,,,,,,,,,,,2.1242,,,,,,,,,,,,,54fc186d-b49b-4b30-88f8-efd29d83d027,20,,"[32.3, 56.4]",69278,0,,,,-1.2810714,,Right Foot,,,"[48.1, 3.4]",,Ground Pass,,55.304974,,,,,Eric-Sylvain Bilal Abidal,,True,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['4cfd07dc-0cb9-420a-917c-3bf2541f5a1e'],12,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.813,Pass,,32.3,56.4,48.1,3.4,3,5,4,0,0.011105,0.011263,0.00015800000000000015,0.00015800000000000015,,,,,2024-09-07 18:28:11.533367,2011-01-16,2010/2011,Spain - La Liga,Barcelona vs Málaga
,,,,,,,,,,,,,,,,1.2553,,,,,,,,,,,,,51d4b661-f35c-4cb1-afc0-df34a7a37a77,24,,"[45.2, 5.3]",69278,0,,,,2.296942,,Left Foot,,,"[34.1, 17.8]",,Ground Pass,,16.717056,,,,,Carles Puyol i Saforcada,,,,,,1,From Kick Off,Eric-Sylvain Bilal Abidal,20177.0,Left Back,2,Barcelona,217,['df8613cb-58e6-4963-ac3c-6fcbb71a6549'],16,,,,,,,,,,,,,,,,Barcelona,217,00:00:16.304,Pass,,45.2,5.3,34.1,17.8,4,0,3,1,0.011263,0.010595,-0.0006680000000000002,0.0,,,,,2024-09-07 18:28:11.533367,2011-01-16,2010/2011,Spain - La Liga,Barcelona vs Málaga
,,,,,,,,,,,,,,,,1.8203,,,,,,,,,,,,,f5032b67-2fac-42b6-abab-1323d845cde1,27,,"[35.2, 18.3]",69278,0,,,,1.5262065,,Left Foot,,,"[36.9, 56.4]",,Ground Pass,,38.13791,,,,,Gerard Piqué Bernabéu,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['471b415d-b8d4-402a-8d38-ccd3ac4dc5f6'],18,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.686,Pass,,35.2,18.3,36.9,56.4,3,1,3,5,0.010595,0.011105,0.00051,0.00051,,,,,2024-09-07 18:28:11.533367,2011-01-16,2010/2011,Spain - La Liga,Barcelona vs Málaga
,,,,,,,,,,,,,,,,1.417,,,,,,,,,,,,,d20aa11c-b6e5-42d2-b600-2a7c2a1d6068,30,,"[50.2, 56.5]",69278,0,,,,-1.796984,,Right Foot,,,"[44.7, 32.6]",,Ground Pass,,24.524681,,,,,Carles Puyol i Saforcada,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['195f306c-9644-4eab-b67a-a146543a11e7'],24,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.226,Pass,,50.2,56.5,44.7,32.6,4,5,4,3,0.012692,0.012626,-6.600000000000009e-05,0.0,,,,,2024-09-07 18:28:11.533367,2011-01-16,2010/2011,Spain - La Liga,Barcelona vs Málaga
