50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,,0.228226,,,,,,,,,,,,,d1b1bf7f-f03d-4fcd-b582-e05b6106ff52,5,,"[61.0, 41.0]",69280,0,,True,,,-1.3120254,,Right Foot,,,,"[61.9, 37.6]",,Ground Pass,,3.517101,,,Juan Domínguez Lamas,,,,,,Kick Off,1,From Kick Off,Adrián López Álvarez,6735.0,Center Forward,2,RC Deportivo La Coruña,219,['21612608-03be-4347-863b-4fc8147fccb5'],0,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.328,Pass,,61.0,41.0,61.9,37.6,5,4,6,3,0.014846,0.016895,0.0020490000000000005,0.0020490000000000005,,,,,2024-09-07 18:28:25.959180,2011-01-08,2010/2011,Spain - La Liga,RC Deportivo La Coruña vs Barcelona
,,,,,,,,,,,,,,,,,1.7316,,,,,,,,,,,,,3297e448-353f-4a20-9f96-f1f18477b3b3,7,,"[61.2, 40.8]",69280,0,,,,,2.8920767,,Right Foot,,,,"[35.3, 47.4]",,Ground Pass,,26.727701,,,Alberto Lopo García,,,,,,,1,From Kick Off,Juan Domínguez Lamas,24234.0,Center Attacking Midfield,2,RC Deportivo La Coruña,219,['1cbaeec7-83a8-46b0-8e11-dda7e20811cc'],0,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.959,Pass,,61.2,40.8,35.3,47.4,5,4,3,4,0.014846,0.011324,-0.003521999999999999,0.0,,,,,2024-09-07 18:28:25.959180,2011-01-08,2010/2011,Spain - La Liga,RC Deportivo La Coruña vs Barcelona
,,,,,,,,,,,,,,,,,5.485355,,,,,,,,,,,,,bd8be711-0a89-4b54-8388-a5074e860e24,10,,"[35.5, 51.5]",69280,0,,,,,0.09186194,,Right Foot,,,,"[118.0, 59.1]",,High Pass,,82.84932,Incomplete,,Saúl Fernández García,,,,,,,1,From Kick Off,Alberto Lopo García,26107.0,Right Center Back,2,RC Deportivo La Coruña,219,"['52463c77-99ab-4de9-866f-564a07188b22', '8f68d287-7c01-4140-91c8-81b2a81b4cfe']",4,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:04.271,Pass,,35.5,51.5,118.0,59.1,3,5,11,5,0.011105,0.064426,0.05332099999999999,0.05332099999999999,,,,,2024-09-07 18:28:25.959180,2011-01-08,2010/2011,Spain - La Liga,RC Deportivo La Coruña vs Barcelona
,,,,,,,,,,,,,,,,,1.694245,,,,,,,,,,,,,62c34bf9-6b2c-489b-9620-71aa8ef7ae8f,14,,"[8.8, 35.6]",69280,0,,,,,0.2181231,,Keeper Arm,,,,"[28.2, 39.9]",,Ground Pass,,19.870832,,,Javier Alejandro Mascherano,,,,,,,1,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,3,Barcelona,217,['fba1a01c-e343-4b50-83b9-41ca2d859498'],16,,,,,,,,,,,,,Barcelona,217,00:00:16.678,Pass,,8.8,35.6,28.2,39.9,0,3,2,3,0.009411,0.010165,0.0007540000000000012,0.0007540000000000012,,,,,2024-09-07 18:28:25.959180,2011-01-08,2010/2011,Spain - La Liga,RC Deportivo La Coruña vs Barcelona
,,,,,,,,,,,,,,,,,1.960841,,,,,,,,,,,,,16f0cbf2-d171-4384-98c6-ebf5d4e9ab8d,18,,"[27.3, 45.4]",69280,0,,,,,2.010639,,Right Foot,,,,"[19.3, 62.4]",,Ground Pass,,18.788294,,,Gerard Piqué Bernabéu,,,,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,3,Barcelona,217,"['3e06e28e-af01-423d-80ad-ab52e5b23fe7', '84a672f7-11cc-4f4d-a6d5-1d0fb6774045']",20,,,,,,,,,,,,,Barcelona,217,00:00:20.253,Pass,True,27.3,45.4,19.3,62.4,2,4,1,6,0.010165,0.008786,-0.001379,0.0,,,,,2024-09-07 18:28:25.959180,2011-01-08,2010/2011,Spain - La Liga,RC Deportivo La Coruña vs Barcelona
,,,,,,,,,,,,,,,,,1.955989,,,,,,,,,,,,,020e8221-3567-4bfb-97b3-537be9776299,21,,"[21.7, 54.3]",69280,0,,,,,-1.8495744,,Right Foot,,,,"[13.8, 26.7]",,Ground Pass,,28.70836,,,Carles Puyol i Saforcada,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['06643617-7695-4421-8d6f-28ae7205babb'],23,,,,,,,,,,,,,Barcelona,217,00:00:23.719,Pass,,21.7,54.3,13.8,26.7,1,5,1,2,0.009777,0.009777,0.0,0.0,,,,,2024-09-07 18:28:25.959180,2011-01-08,2010/2011,Spain - La Liga,RC Deportivo La Coruña vs Barcelona
,,,,,,,,,,,,,,,,,1.500653,,,,,,,,,,,,,8c22be29-6191-4dd1-b357-0063bab65790,24,,"[29.1, 15.3]",69280,0,,,,,-0.83844566,,Right Foot,,,,"[39.8, 3.4]",,Ground Pass,,16.003124,,,Eric-Sylvain Bilal Abidal,,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Left Center Back,3,Barcelona,217,['9e7661ab-3103-4e68-aa55-b2edcd88ef75'],29,,,,,,,,,,,,,Barcelona,217,00:00:29.045,Pass,,29.1,15.3,39.8,3.4,2,1,3,0,0.009424,0.009777,0.00035299999999999915,0.00035299999999999915,,,,,2024-09-07 18:28:25.959180,2011-01-08,2010/2011,Spain - La Liga,RC Deportivo La Coruña vs Barcelona
,,,,,,,,,,,,,,,,,1.310711,,,,,,,,,,,,,b405d43f-24e7-4f42-a419-cfdcac91327a,27,,"[39.8, 3.4]",69280,0,,,,,2.4195244,,Left Foot,,,,"[28.9, 13.0]",,Ground Pass,,14.524806,,,Carles Puyol i Saforcada,,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,3,Barcelona,217,['4056c942-1e61-47e2-96ae-049fa6b272ff'],30,,,,,,,,,,,,,Barcelona,217,00:00:30.586,Pass,,39.8,3.4,28.9,13.0,3,0,2,1,0.009777,0.009424,-0.00035299999999999915,0.0,,,,,2024-09-07 18:28:25.959180,2011-01-08,2010/2011,Spain - La Liga,RC Deportivo La Coruña vs Barcelona
,,,,,,,,,,,,,,,,,1.48586,,,,,,,,,,,,,d09f60d5-a61a-44e6-87e2-d549a0494351,30,,"[43.7, 18.2]",69280,0,,,,,-1.0021235,,Right Foot,,,,"[52.2, 4.9]",,Ground Pass,,15.784169,,,Eric-Sylvain Bilal Abidal,,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Left Center Back,3,Barcelona,217,['11958cee-12e6-4290-9fa1-3a9291ca3525'],36,,,,,,,,,,,,,Barcelona,217,00:00:36.917,Pass,,43.7,18.2,52.2,4.9,4,1,5,0,0.012147,0.012483,0.0003359999999999995,0.0003359999999999995,,,,,2024-09-07 18:28:25.959180,2011-01-08,2010/2011,Spain - La Liga,RC Deportivo La Coruña vs Barcelona
,,,,,,,,,,,,,,,,,1.26907,,,,,,,,,,,,,3cc25f4d-8239-4b55-bf1c-0ee5f8fc17fa,33,,"[52.2, 4.9]",69280,0,,,,,1.357858,,Left Foot,,,,"[55.4, 19.7]",,Ground Pass,,15.141994,,,Seydou Kéita,,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,3,Barcelona,217,['4a256dcf-4484-4a45-ae25-b4b74ac32075'],38,,,,,,,,,,,,,Barcelona,217,00:00:38.562,Pass,,52.2,4.9,55.4,19.7,5,0,5,1,0.012483,0.013845,0.0013620000000000004,0.0013620000000000004,,,,,2024-09-07 18:28:25.959180,2011-01-08,2010/2011,Spain - La Liga,RC Deportivo La Coruña vs Barcelona
