ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,0.949,,,,,,,,,,,,,,,3ec772b0-5a81-45b9-9f77-f357a87a8441,5,,"[60.0, 40.0]",69282,0,True,,,1.2277724,,Right Foot,,,"[61.0, 42.8]",,Ground Pass,,2.9732137,,,,,Lionel Andrés Messi Cuccittini,,,,,,Kick Off,1,From Kick Off,David Villa Sánchez,12737.0,Center Forward,2,Barcelona,217,['c9d5b136-0f2f-43b4-ab1c-0cbce8d5a810'],0,,,,,,,,,,,,,,,Barcelona,217,00:00:00.121,Pass,,60.0,40.0,61.0,42.8,5,3,6,4,0.014846,0.016895,0.0020490000000000005,0.0020490000000000005,,,,,2024-09-07 18:28:23.668406,2011-02-20,2010/2011,Spain - La Liga,Barcelona vs Athletic Club
,,,,,,,,,,,,,,,1.28552,,,,,,,,,,,,,,,82f8ce19-26ca-4d33-922a-0fe25319cea6,7,,"[59.6, 42.0]",69282,0,,,,-2.9721797,,Right Foot,,,"[44.4, 39.4]",,Ground Pass,,15.420765,,,,,Javier Alejandro Mascherano,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['93cd4641-531a-4fd3-a30b-d9ead2f42659'],1,,,,,,,,,,,,,,,Barcelona,217,00:00:01.070,Pass,,59.6,42.0,44.4,39.4,5,4,4,3,0.014846,0.012626,-0.0022199999999999998,0.0,,,,,2024-09-07 18:28:23.668406,2011-02-20,2010/2011,Spain - La Liga,Barcelona vs Athletic Club
,,,,,,,,,,,,,,,0.783834,,,,,,,,,,,,,,,0acea233-953d-4811-9d8d-7d038a5d3121,10,,"[44.4, 39.4]",69282,0,,,,-1.0516502,,Right Foot,,,"[51.6, 26.8]",,Ground Pass,,14.512064,,,,,Andrés Iniesta Luján,,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,2,Barcelona,217,['d7b2bc6a-c639-4268-9d2d-2bb03e5272d6'],3,,,,,,,,,,,,,,,Barcelona,217,00:00:03.159,Pass,,44.4,39.4,51.6,26.8,4,3,5,2,0.012626,0.014291,0.0016649999999999998,0.0016649999999999998,,,,,2024-09-07 18:28:23.668406,2011-02-20,2010/2011,Spain - La Liga,Barcelona vs Athletic Club
,,,,,,,,,,,,,,,0.79106,,,,,,,,,,,,,,,48633e85-991e-40e1-8827-0d945eae421f,13,,"[51.6, 26.8]",69282,0,,,,2.0724003,,Right Foot,,,"[46.5, 36.1]",,Ground Pass,,10.606602,,,,,Javier Alejandro Mascherano,,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Center Midfield,2,Barcelona,217,['a1b99468-2320-4735-8eea-bd8effb5e3e7'],3,,,,,,,,,,,,,,,Barcelona,217,00:00:03.983,Pass,,51.6,26.8,46.5,36.1,5,2,4,3,0.014291,0.012626,-0.0016649999999999998,0.0,,,,,2024-09-07 18:28:23.668406,2011-02-20,2010/2011,Spain - La Liga,Barcelona vs Athletic Club
,,,,,,,,,,,,,,,1.7412,,,,,,,,,,,,,,,fd0c0613-6f87-4a9e-a821-2b892fd04268,16,,"[46.3, 36.5]",69282,0,,,,-1.5451609,,Right Foot,,,"[47.0, 9.2]",,Ground Pass,,27.308973,,,,,Eric-Sylvain Bilal Abidal,,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,2,Barcelona,217,['1b8bff6a-23f6-45cd-8aca-c5991718d25e'],5,,,,,,,,,,,,,,,Barcelona,217,00:00:05.067,Pass,,46.3,36.5,47.0,9.2,4,3,4,0,0.012626,0.011263,-0.0013629999999999996,0.0,,,,,2024-09-07 18:28:23.668406,2011-02-20,2010/2011,Spain - La Liga,Barcelona vs Athletic Club
,,,,,,,,,,,,,,,1.1092,,,,,,,,,,,,,,,3cf407e3-90f2-46e7-b826-6a7aae079334,19,,"[60.2, 9.6]",69282,0,,,,-0.6267429,,Right Foot,,,"[71.8, 1.2]",,Ground Pass,,14.322011,,,,,Pedro Eliezer Rodríguez Ledesma,,,,,,,1,From Kick Off,Eric-Sylvain Bilal Abidal,20177.0,Left Back,2,Barcelona,217,['ff998dcd-3c92-4cf4-bc89-6079a284b3af'],9,,,,,,,,,,,,,,,Barcelona,217,00:00:09.102,Pass,,60.2,9.6,71.8,1.2,5,0,7,0,0.012483,0.017451,0.004968000000000002,0.004968000000000002,,,,,2024-09-07 18:28:23.668406,2011-02-20,2010/2011,Spain - La Liga,Barcelona vs Athletic Club
,,,,,,,,,,,,,,,1.5419,,,,,,,,,,,,,,,76034ed1-9771-4133-baaa-32860aad8411,21,,"[72.4, 1.4]",69282,0,,,,2.894872,,Right Foot,,,"[58.9, 4.8]",,Ground Pass,,13.921566,,,,,Eric-Sylvain Bilal Abidal,,,,,,,1,From Kick Off,Pedro Eliezer Rodríguez Ledesma,3958.0,Left Wing,2,Barcelona,217,['4dad479a-3efc-4aee-8951-c86d549d5eeb'],10,,,,,,,,,,,,,,,Barcelona,217,00:00:10.211,Pass,,72.4,1.4,58.9,4.8,7,0,5,0,0.017451,0.012483,-0.004968000000000002,0.0,,,,,2024-09-07 18:28:23.668406,2011-02-20,2010/2011,Spain - La Liga,Barcelona vs Athletic Club
,,,,,,,,,,,,,,,1.285305,,,,,,,,,,,,,,,e2d806f0-c922-413f-807c-6d7db2693ce6,25,,"[52.9, 10.9]",69282,0,,,,2.438846,,Left Foot,,,"[34.6, 26.4]",,Ground Pass,,23.982077,,,,,Sergio Busquets i Burgos,,,,,,,1,From Kick Off,Eric-Sylvain Bilal Abidal,20177.0,Left Back,2,Barcelona,217,['566c06c2-ce01-41b8-b73a-c8afd41e9871'],14,,,,,,,,,,,,,,,Barcelona,217,00:00:14.260,Pass,,52.9,10.9,34.6,26.4,5,1,3,2,0.013845,0.011105,-0.0027399999999999994,0.0,,,,,2024-09-07 18:28:23.668406,2011-02-20,2010/2011,Spain - La Liga,Barcelona vs Athletic Club
,,,,,,,,,,,,,,,2.1398,,,,,,,,,,,,,,,5cc75ca0-0b7c-4d97-a19e-05bdc61f7fbb,29,,"[51.2, 32.5]",69282,0,,,,1.7551857,,Right Foot,,,"[46.5, 57.7]",,Ground Pass,,25.634546,,,,,Gerard Piqué Bernabéu,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Left Center Back,2,Barcelona,217,['386a48f6-3976-4284-bd3d-9b213381a6ce'],21,,,,,,,,,,,,,,,Barcelona,217,00:00:21.677,Pass,,51.2,32.5,46.5,57.7,5,3,4,5,0.014846,0.012692,-0.0021539999999999997,0.0,,,,,2024-09-07 18:28:23.668406,2011-02-20,2010/2011,Spain - La Liga,Barcelona vs Athletic Club
,,,,,,,,,,,,,,,1.853477,,,,,,,,,,,,,,,310693e9-1df6-4246-ae5f-78e4e8d803c3,33,,"[53.3, 64.5]",69282,0,,,,-1.8642906,,Right Foot,,,"[46.5, 42.0]",,Ground Pass,,23.505106,,,,,Sergio Busquets i Burgos,,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,"['4c35235a-dadb-4fcf-8bf9-68cd3c0bbd98', 'd80fd21f-c418-4242-b1c0-843aa72ac6eb']",26,,,,,,,,,,,,,,,Barcelona,217,00:00:26.930,Pass,True,53.3,64.5,46.5,42.0,5,6,4,4,0.013845,0.012626,-0.0012189999999999996,0.0,,,,,2024-09-07 18:28:23.668406,2011-02-20,2010/2011,Spain - La Liga,Barcelona vs Athletic Club
