bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,,0.723877,,,,,,,,,,,,,3ca31ed9-522c-45e3-a60c-a4e7c7cfef52,5,,"[60.0, 40.0]",69283,0,,,,,1.4940244,,Right Foot,,,,"[60.2, 42.6]",,Ground Pass,,2.607681,,,,Jonathan de Guzmán,,,,,,Kick Off,1,From Kick Off,Pierre Achille Webó Kouamo,25876.0,Center Forward,2,Mallorca,1043,['50e5492b-a170-484b-a006-eda8a88ff6e1'],0,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:00.615,Pass,,60.0,40.0,60.2,42.6,5,3,6,4,0.014846,0.016895,0.0020490000000000005,0.0020490000000000005,,,,,2024-09-07 18:28:25.189359,2011-02-26,2010/2011,Spain - La Liga,Mallorca vs Barcelona
,,,,,,,,,,,,,,,,,2.540556,,,,,,,,,,,,,141d3a35-ee19-40c8-a38a-d7eae6497dd6,8,,"[59.0, 43.0]",69283,0,,,,,3.068552,,Left Foot,,,,"[30.3, 45.1]",,Ground Pass,,28.776726,,,,José Carlos de Araújo Nunes,,,,,,,1,From Kick Off,Jonathan de Guzmán,8675.0,Center Attacking Midfield,2,Mallorca,1043,['c27c0dee-f5c7-44e5-a3d7-dff6c784c576'],1,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:01.379,Pass,,59.0,43.0,30.3,45.1,5,4,2,4,0.014846,0.010165,-0.004680999999999999,0.0,,,,,2024-09-07 18:28:25.189359,2011-02-26,2010/2011,Spain - La Liga,Mallorca vs Barcelona
,,,,,,,,,,,,,,,,,1.791707,,,,,,,,,,,,,cbd01c32-562b-4940-a8e6-d250f0fde2f0,12,,"[32.0, 43.5]",69283,0,,,,,1.4809766,,Right Foot,,,,"[34.9, 75.7]",,Ground Pass,,32.330326,,,,Pablo Cendrós López,,,,,,,1,From Kick Off,José Carlos de Araújo Nunes,25992.0,Left Center Back,2,Mallorca,1043,"['70dbaec3-7a40-4495-a9a2-faa978627441', 'e0235a5a-29ff-49b7-bb9f-6bf4de06ae34']",6,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:06.659,Pass,True,32.0,43.5,34.9,75.7,3,4,3,7,0.011324,0.009777,-0.0015470000000000015,0.0,,,,,2024-09-07 18:28:25.189359,2011-02-26,2010/2011,Spain - La Liga,Mallorca vs Barcelona
,,,,,,,,,,,,,,,,,2.697657,,,,,,,,,,,,,78216356-466b-4bd3-853f-0345ae59f5e7,16,,"[39.0, 73.4]",69283,0,,,,,0.19739556,,Right Foot,,,,"[71.5, 79.9]",,High Pass,,33.143627,,Out,,,,,,,,,1,From Kick Off,Pablo Cendrós López,26737.0,Right Back,2,Mallorca,1043,,9,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:09.280,Pass,,39.0,73.4,71.5,79.9,3,7,7,7,0.009777,0.017451,0.007674000000000002,0.007674000000000002,,,,,2024-09-07 18:28:25.189359,2011-02-26,2010/2011,Spain - La Liga,Mallorca vs Barcelona
,,,,,,,,,,,,,,,,,1.0026,,,,,,,,,,,,,24efd9ce-b588-4625-8781-95d7d281bf90,17,,"[62.9, 0.1]",69283,0,,,,,0.87605804,,,,,,"[69.9, 8.5]",,Low Pass,,10.93435,,,,David Villa Sánchez,,,,,,Throw-in,1,From Throw In,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,3,Barcelona,217,['a7f11a86-99a9-4dc7-99d4-c63a1c8ad57b'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.399,Pass,,62.9,0.1,69.9,8.5,6,0,6,0,0.014736,0.014736,0.0,0.0,,,,,2024-09-07 18:28:25.189359,2011-02-26,2010/2011,Spain - La Liga,Mallorca vs Barcelona
,,,,,,,,,,,,,,,,,0.4772,,,,,,,,,,,,,3c493c43-c99d-4767-8de9-6f0aaa70da43,20,,"[69.9, 8.5]",69283,0,,,,,-1.1571071,,Right Foot,,,,"[71.7, 4.4]",,Low Pass,,4.4777226,,Incomplete,,Maxwell Scherrer Cabelino Andrade,,,,,,,1,From Throw In,David Villa Sánchez,12737.0,Left Wing,3,Barcelona,217,"['596ccf4b-9af6-4690-90ba-99ac569d57b2', '9bb7d0ad-df7a-4eb8-a70f-76de4e81f5b0']",28,,,,,,,,,,,,,,,,,Barcelona,217,00:00:28.441,Pass,,69.9,8.5,71.7,4.4,6,0,7,0,0.014736,0.017451,0.0027150000000000004,0.0027150000000000004,,,,,2024-09-07 18:28:25.189359,2011-02-26,2010/2011,Spain - La Liga,Mallorca vs Barcelona
,,,,,,,,,,,,,,,,,1.947382,,,,,,,,,,,,,9bb7d0ad-df7a-4eb8-a70f-76de4e81f5b0,22,,"[48.4, 75.7]",69283,0,,,,,-0.34332994,,Right Foot,,,,"[69.1, 68.3]",,High Pass,,21.982948,,,,Pierre Achille Webó Kouamo,,,,,,Recovery,1,Regular Play,Emilio Nsue López,13581.0,Right Wing,4,Mallorca,1043,"['3c493c43-c99d-4767-8de9-6f0aaa70da43', 'ef6b5569-6e79-4525-8189-ef33cdacfb66']",28,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:28.919,Pass,,48.4,75.7,69.1,68.3,4,7,6,6,0.011263,0.016118,0.004855,0.004855,,,,,2024-09-07 18:28:25.189359,2011-02-26,2010/2011,Spain - La Liga,Mallorca vs Barcelona
,,,,,,,,,,,,,,,,,1.193088,,,,,,,,,,,,,6aef36d4-feae-4ca3-a227-126184719b34,25,,"[67.5, 75.4]",69283,0,,,,,3.0852008,,Right Foot,,,,"[55.1, 76.1]",,Ground Pass,,12.419743,,,,Pablo Cendrós López,,,,,,,1,Regular Play,Pierre Achille Webó Kouamo,25876.0,Center Forward,4,Mallorca,1043,['0ba6f3f9-78f0-4b0f-b937-493ea9e63d0e'],34,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:34.411,Pass,,67.5,75.4,55.1,76.1,6,7,5,7,0.014736,0.012483,-0.0022530000000000015,0.0,,,,,2024-09-07 18:28:25.189359,2011-02-26,2010/2011,Spain - La Liga,Mallorca vs Barcelona
,,,,,,,,,,,,,,,,,1.565377,,,,,,,,,,,,,5e8208e8-ecce-459e-96f9-c0e349a51231,28,,"[55.1, 76.1]",69283,0,,,,,-2.0854015,,Right Foot,,,,"[43.0, 54.7]",,Ground Pass,,24.583939,,,,José Carlos de Araújo Nunes,,,,,,,1,Regular Play,Pablo Cendrós López,26737.0,Right Back,4,Mallorca,1043,['d6e2a234-d17e-4480-9e5b-852b00867b91'],36,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:36.035,Pass,,55.1,76.1,43.0,54.7,5,7,4,5,0.012483,0.012692,0.00020900000000000085,0.00020900000000000085,,,,,2024-09-07 18:28:25.189359,2011-02-26,2010/2011,Spain - La Liga,Mallorca vs Barcelona
,,,,,,,,,,,,,,,,,1.144158,,,,,,,,,,,,,94691d98-fbec-4f43-8f33-d88fcd8dfa17,31,,"[43.0, 54.7]",69283,0,,,,,-1.7481581,,Right Foot,,,,"[39.2, 33.5]",,Ground Pass,,21.537874,,,,Rubén González Rocha,,,,,,,1,Regular Play,José Carlos de Araújo Nunes,25992.0,Left Center Back,4,Mallorca,1043,['b4a3d3b6-0277-42b0-beb1-a67d32221906'],38,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:38.632,Pass,,43.0,54.7,39.2,33.5,4,5,3,3,0.012692,0.011324,-0.0013679999999999994,0.0,,,,,2024-09-07 18:28:25.189359,2011-02-26,2010/2011,Spain - La Liga,Mallorca vs Barcelona
