50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,0.354829,,,,,,,,,,,,,1d68a004-0d33-4022-8997-d65e1fccc9fa,5,,,"[60.0, 40.0]",69287,0,,True,,,-2.7492526,,Right Foot,,,,"[57.1, 38.8]",,Ground Pass,,3.138471,,,Lionel Andrés Messi Cuccittini,,,,,Kick Off,1,From Kick Off,David Villa Sánchez,12737.0,Center Forward,2,Barcelona,217,['b8316357-f51e-4558-a381-f500eabf5f77'],0,,,,,,,,,,,,,,,Barcelona,217,00:00:00.197,Pass,,60.0,40.0,57.1,38.8,5,3,5,3,0.014846,0.014846,0.0,0.0,,,,,2024-09-07 18:28:16.058602,2010-09-11,2010/2011,Spain - La Liga,Barcelona vs Hércules
,,,,,,,,,,,,,,,,1.008244,,,,,,,,,,,,,c7b11d0d-c535-4bae-9d4b-9cc3184b2f1f,7,,,"[56.0, 38.2]",69287,0,,,,,-3.0688734,,Left Foot,,,,"[40.9, 37.1]",,Ground Pass,,15.140013,,,Javier Alejandro Mascherano,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['2b5d90c0-7d1d-41bc-8ba5-579d4c39772c'],1,,,,,,,,,,,,,,,Barcelona,217,00:00:01.456,Pass,,56.0,38.2,40.9,37.1,5,3,3,3,0.014846,0.011324,-0.003521999999999999,0.0,,,,,2024-09-07 18:28:16.058602,2010-09-11,2010/2011,Spain - La Liga,Barcelona vs Hércules
,,,,,,,,,,,,,,,,1.998343,,,,,,,,,,,,,7066721c-f9b6-48d1-b3b4-0dd52ad7e157,10,,,"[42.8, 36.5]",69287,0,,,,,-1.3865737,,Right Foot,,,,"[48.8, 4.3]",,Ground Pass,,32.75424,,,Maxwell Scherrer Cabelino Andrade,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,2,Barcelona,217,['cbea8c39-4da4-4978-8601-a9583cc2120d'],5,,,,,,,,,,,,,,,Barcelona,217,00:00:05.069,Pass,,42.8,36.5,48.8,4.3,4,3,4,0,0.012626,0.011263,-0.0013629999999999996,0.0,,,,,2024-09-07 18:28:16.058602,2010-09-11,2010/2011,Spain - La Liga,Barcelona vs Hércules
,,,,,,,,,,,,,,,,1.064929,,,,,,,,,,,,,c7f9ec45-8428-45ee-87b0-5c94b41e8bfd,13,,,"[50.1, 3.9]",69287,0,,,,,1.5707964,,Left Foot,,,,"[50.1, 11.3]",,Ground Pass,,7.4,,,Seydou Kéita,,,,,,1,From Kick Off,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,2,Barcelona,217,['90940066-5f85-4a2d-b988-a40c6f9d2ddb'],8,,,,,,,,,,,,,,,Barcelona,217,00:00:08.818,Pass,,50.1,3.9,50.1,11.3,4,0,4,1,0.011263,0.012147,0.0008839999999999994,0.0008839999999999994,,,,,2024-09-07 18:28:16.058602,2010-09-11,2010/2011,Spain - La Liga,Barcelona vs Hércules
,,,,,,,,,,,,,,,,1.071921,,,,,,,,,,,,,c61fb41f-bfe8-47ae-8ceb-4485e321d6b5,16,,,"[50.1, 11.4]",69287,0,,,,,-1.3968952,,Left Foot,,,,"[51.4, 4.0]",,Ground Pass,,7.5133214,,,Maxwell Scherrer Cabelino Andrade,,,,,,1,From Kick Off,Seydou Kéita,20169.0,Right Center Midfield,2,Barcelona,217,['3e4c9e43-0bcb-4fae-9e76-5fad209be3bd'],9,,,,,,,,,,,,,,,Barcelona,217,00:00:09.934,Pass,,50.1,11.4,51.4,4.0,4,1,4,0,0.012147,0.011263,-0.0008839999999999994,0.0,,,,,2024-09-07 18:28:16.058602,2010-09-11,2010/2011,Spain - La Liga,Barcelona vs Hércules
,,,,,,,,,,,,,,,,1.2314,,,,,,,,,,,,,2de780dc-8c08-4221-803e-6b8579e577cc,19,,,"[53.4, 3.5]",69287,0,,,,,0.31383514,,Left Foot,,,,"[76.2, 10.9]",,Ground Pass,,23.970816,Incomplete,,Seydou Kéita,,,,,,1,From Kick Off,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,2,Barcelona,217,"['3cb16ab4-df6c-42fd-953d-243ab4f05100', 'c38235c0-3c53-43e0-a33c-3ee58007aa06']",12,,,,,,,,,,,,,,,Barcelona,217,00:00:12.078,Pass,,53.4,3.5,76.2,10.9,5,0,7,1,0.012483,0.018703,0.006220000000000002,0.006220000000000002,,,,,2024-09-07 18:28:16.058602,2010-09-11,2010/2011,Spain - La Liga,Barcelona vs Hércules
,,,,,,,,,,,,,,,,1.0345,,,,,,,,,,,,,2a00e243-b73d-40d1-9249-7e43c5a53fea,24,,,"[42.9, 80.0]",69287,0,,,,,-0.34793872,,,,,,"[62.2, 73.0]",,High Pass,,20.530222,,,David Sergio Trézéguet,,,,,Throw-in,1,From Throw In,David Cortés Caballero,25994.0,Right Back,3,Hércules,1218,['341257fd-e785-4998-b1fe-310b7d472fa4'],27,,,,,,,,,,,,,,,Hércules,1218,00:00:27.322,Pass,,42.9,80.0,62.2,73.0,4,7,5,7,0.011263,0.012483,0.0012199999999999989,0.0012199999999999989,,,,,2024-09-07 18:28:16.058602,2010-09-11,2010/2011,Spain - La Liga,Barcelona vs Hércules
,,,,,,,,,,,,,,,,1.5188,,,,,,,,,,,,,d710b33a-7cbc-4244-a600-f2ff2c7c40be,26,,,"[64.8, 72.3]",69287,0,,,,,-1.5707964,,Head,,,,"[64.8, 64.6]",,High Pass,,7.7,,,Abel Enrique Aguilar Tapia,,,,,,1,From Throw In,David Sergio Trézéguet,19311.0,Center Forward,3,Hércules,1218,['9ddc3fa1-3563-4a9e-b40a-3879d1f0ee7a'],28,,,,,,,,,,,,,,,Hércules,1218,00:00:28.356,Pass,,64.8,72.3,64.8,64.6,6,7,6,6,0.014736,0.016118,0.0013819999999999995,0.0013819999999999995,,,,,2024-09-07 18:28:16.058602,2010-09-11,2010/2011,Spain - La Liga,Barcelona vs Hércules
,,,,,,,,,,,,,,,,1.1812,,,,,,,,,,,,,26654ed7-8583-47e1-9a21-a764729e947b,34,,,"[66.2, 67.5]",69287,0,,,,,2.2640195,,Right Foot,,,,"[60.8, 74.0]",,Ground Pass,,8.450444,,,David Cortés Caballero,,,,,,1,From Throw In,Abel Enrique Aguilar Tapia,6192.0,Right Center Midfield,3,Hércules,1218,['f230190d-009b-4890-be23-dc77f6c33b1d'],32,,,,,,,,,,,,,,,Hércules,1218,00:00:32.959,Pass,,66.2,67.5,60.8,74.0,6,6,5,7,0.016118,0.012483,-0.003635000000000001,0.0,,,,,2024-09-07 18:28:16.058602,2010-09-11,2010/2011,Spain - La Liga,Barcelona vs Hércules
,,,,,,,,,,,,,,,,1.978356,,,,,,,,,,,,,b15610f6-c251-4d6d-9114-83efd70b18f2,36,,,"[60.8, 74.0]",69287,0,,,,,-0.71995264,,Right Foot,,,,"[86.0, 51.9]",,High Pass,,33.517906,Incomplete,,David Sergio Trézéguet,,,,,,1,From Throw In,David Cortés Caballero,25994.0,Right Back,3,Hércules,1218,"['21dee30a-2214-41ac-beba-3d06070d3bc0', 'f17de355-2aa6-46b1-8208-e67b0670115e']",34,,,,,,,,,,,,,,,Hércules,1218,00:00:34.141,Pass,,60.8,74.0,86.0,51.9,6,7,8,5,0.014736,0.024122,0.009386,0.009386,,,,,2024-09-07 18:28:16.058602,2010-09-11,2010/2011,Spain - La Liga,Barcelona vs Hércules
