bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,,,,,0.6603,,,,,,,,,,,,,3dc60340-b7a2-4ab2-ae20-b8661ea97ad4,5,,"[60.0, 40.0]",69289,0,,,,,-1.7098923,,Right Foot,,,,"[59.3, 35.0]",,Ground Pass,,5.0487623,,,,Lionel Andrés Messi Cuccittini,,,,,Kick Off,1,From Kick Off,David Villa Sánchez,12737.0,Center Forward,2,Barcelona,217,['83fc3948-faa3-4cf0-82bb-562e2390b866'],0,,,,,,,,,,,,,,Barcelona,217,00:00:00.950,Pass,,60.0,40.0,59.3,35.0,5,3,5,3,0.014846,0.014846,0.0,0.0,,,0.04577896,0.04577896,2024-09-07 18:28:42.667837,2010-10-30,2010/2011,Spain - La Liga,Barcelona vs Sevilla
,,,,,,,,,,,,,,,,,,,,1.27701,,,,,,,,,,,,,417e2cb9-ef1f-497e-9e6a-889438e0bd1d,8,,"[58.5, 35.0]",69289,0,,,,,2.9039803,,Left Foot,,,,"[45.7, 38.1]",,Ground Pass,,13.170042,,,,Sergio Busquets i Burgos,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['fa138a08-2e91-4b39-8d90-87946c5a4e11'],1,,,,,,,,,,,,,,Barcelona,217,00:00:01.651,Pass,,58.5,35.0,45.7,38.1,5,3,4,3,0.014846,0.012626,-0.0022199999999999998,0.0,,,0.04577896,0.04577896,2024-09-07 18:28:42.667837,2010-10-30,2010/2011,Spain - La Liga,Barcelona vs Sevilla
,,,,,,,,,,,,,,,,,,,,1.565978,,,,,,,,,,,,,2cc9aff7-91f1-4074-a28a-c792ddb0f428,11,,"[45.0, 38.3]",69289,0,,,,,2.4656456,,Right Foot,,,,"[34.9, 46.4]",,Ground Pass,,12.946815,,,,Gerard Piqué Bernabéu,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['8d535695-8bec-421b-870d-01975a802ec6'],4,,,,,,,,,,,,,,Barcelona,217,00:00:04.076,Pass,,45.0,38.3,34.9,46.4,4,3,3,4,0.012626,0.011324,-0.0013019999999999993,0.0,,,0.04577896,0.04577896,2024-09-07 18:28:42.667837,2010-10-30,2010/2011,Spain - La Liga,Barcelona vs Sevilla
,,,,,,,,,,,,,,,,,,,,1.775753,,,,,,,,,,,,,61e131ca-e363-43dd-9646-c21a42122eb4,14,,"[35.9, 46.0]",69289,0,,,,,-1.7890049,,Right Foot,,,,"[30.8, 23.0]",,Ground Pass,,23.558651,,,,Carles Puyol i Saforcada,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['fe4c35ab-d330-466c-909d-02a2d3fbfc05'],6,,,,,,,,,,,,,,Barcelona,217,00:00:06.358,Pass,,35.9,46.0,30.8,23.0,3,4,2,2,0.011324,0.010013,-0.0013110000000000014,0.0,,,0.04577896,0.04577896,2024-09-07 18:28:42.667837,2010-10-30,2010/2011,Spain - La Liga,Barcelona vs Sevilla
,,,,,,,,,,,,,,,,,,,,2.560979,,,,,,,,,,,,,6d13c28e-dd83-4fa2-873d-a9caa7d3ceaf,17,,"[32.5, 22.7]",69289,0,,,,,1.385165,,Left Foot,,,,"[40.5, 65.3]",,Ground Pass,,43.344666,,,,Gerard Piqué Bernabéu,,True,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['0c8016b5-0a65-43ed-a536-cbb259d77cdf'],10,,,,,,,,,,,,,,Barcelona,217,00:00:10.537,Pass,,32.5,22.7,40.5,65.3,3,2,3,6,0.011105,0.010595,-0.00051,0.0,,,0.04577896,0.04577896,2024-09-07 18:28:42.667837,2010-10-30,2010/2011,Spain - La Liga,Barcelona vs Sevilla
,,,,,,,,,,,,,,,,,,,,1.759044,,,,,,,,,,,,,d20eb30c-b120-4729-8fc3-f24d1c80bd40,20,,"[39.9, 64.8]",69289,0,,,,,-1.7414285,,Right Foot,,,,"[34.3, 32.3]",,Ground Pass,,32.97893,,,,Carles Puyol i Saforcada,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['7d65df04-db82-4df8-8eba-4df639320eb5'],14,,,,,,,,,,,,,,Barcelona,217,00:00:14.317,Pass,,39.9,64.8,34.3,32.3,3,6,3,3,0.010595,0.011324,0.0007290000000000005,0.0007290000000000005,,,0.04577896,0.04577896,2024-09-07 18:28:42.667837,2010-10-30,2010/2011,Spain - La Liga,Barcelona vs Sevilla
,,,,,,,,,,,,,,,,,,,,1.839789,,,,,,,,,,,,,7c701381-e69a-4875-ba3b-913d9265da85,23,,"[39.9, 40.7]",69289,0,,,,,1.0620666,,Right Foot,,,,"[57.3, 71.9]",,Ground Pass,,35.72394,,,,Gerard Piqué Bernabéu,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['8125c869-4d24-4b54-90da-5a63e0749d16'],18,,,,,,,,,,,,,,Barcelona,217,00:00:18.720,Pass,,39.9,40.7,57.3,71.9,3,4,5,7,0.011324,0.012483,0.0011589999999999986,0.0011589999999999986,,,0.04577896,0.04577896,2024-09-07 18:28:42.667837,2010-10-30,2010/2011,Spain - La Liga,Barcelona vs Sevilla
,,,,,,,,,,,,,,,,,,,,1.576879,,,,,,,,,,,,,04eb997b-8ffa-4a80-a2dc-98163a85a9dd,30,,"[76.7, 74.5]",69289,0,,,,,-2.6204545,,Left Foot,,,,"[65.9, 68.3]",,Ground Pass,,12.453112,,,,Xavier Hernández Creus,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['0fd641be-f5e9-4e32-b367-efc589f754c4'],25,,,,,,,,,,,,,,Barcelona,217,00:00:25.586,Pass,,76.7,74.5,65.9,68.3,7,7,6,6,0.017451,0.016118,-0.0013330000000000009,0.0,,,0.04577896,0.04577896,2024-09-07 18:28:42.667837,2010-10-30,2010/2011,Spain - La Liga,Barcelona vs Sevilla
,,,,,,,,,,,,,,,,,,,,1.626053,,,,,,,,,,,,,48461229-aaaa-4971-85c9-384f2a6b0363,33,,"[57.5, 67.9]",69289,0,,,,,-1.6542838,,Right Foot,,,,"[55.5, 44.0]",,Low Pass,,23.983536,,,,Sergio Busquets i Burgos,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['7531ac95-f239-4dca-b26c-506956c6eef2'],29,,,,,,,,,,,,,,Barcelona,217,00:00:29.582,Pass,,57.5,67.9,55.5,44.0,5,6,5,4,0.013845,0.014846,0.0010010000000000002,0.0010010000000000002,,,0.04577896,0.04577896,2024-09-07 18:28:42.667837,2010-10-30,2010/2011,Spain - La Liga,Barcelona vs Sevilla
,,,,,,,,,,,,,,,,,,,,1.160973,,,,,,,,,,,,,b35ec2a0-5a23-4d21-be57-c56d6cb59d7f,36,,"[68.9, 41.7]",69289,0,,,,,1.1717354,,Right Foot,,,,"[72.4, 50.0]",,Ground Pass,,9.007774,,,,Xavier Hernández Creus,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['e184e792-a748-4d15-8e5b-5e3043a06691'],34,,,,,,,,,,,,,,Barcelona,217,00:00:34.209,Pass,,68.9,41.7,72.4,50.0,6,4,7,4,0.016895,0.019971,0.003075999999999999,0.003075999999999999,,,0.04577896,0.04577896,2024-09-07 18:28:42.667837,2010-10-30,2010/2011,Spain - La Liga,Barcelona vs Sevilla
