50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,,,,,0.509786,,,,,,,,,,,,9361ef15-e956-4f18-ba9a-20d6d0b54102,5,,"[61.0, 41.0]",69291,0,,True,,,-1.5232133,,Right Foot,,,,"[61.1, 38.9]",,Ground Pass,,2.1023796,,,,Lionel Andrés Messi Cuccittini,,,,,Kick Off,1,From Kick Off,David Villa Sánchez,12737.0,Center Forward,2,Barcelona,217,['b66100ba-1a91-4dba-ac5e-cd033339b5d1'],1,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.411,Pass,,61.0,41.0,61.1,38.9,5,4,5,3,0.014846,0.014846,0.0,0.0,,,,,2024-09-07 18:28:27.474535,2011-03-13,2010/2011,Spain - La Liga,Sevilla vs Barcelona
,,,,,,,,,,,,,,,,,,,,1.2831,,,,,,,,,,,,6dc7702d-dae1-407c-9b58-e65a7a3f3082,7,,"[61.8, 39.3]",69291,0,,,,,2.998951,,Left Foot,,,,"[43.0, 42.0]",,Ground Pass,,18.992893,,,,Sergio Busquets i Burgos,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['4e1033ea-e329-49a9-be3b-567c658c6bb5'],2,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.174,Pass,,61.8,39.3,43.0,42.0,6,3,4,4,0.016895,0.012626,-0.004269,0.0,,,,,2024-09-07 18:28:27.474535,2011-03-13,2010/2011,Spain - La Liga,Sevilla vs Barcelona
,,,,,,,,,,,,,,,,,,,,0.8033,,,,,,,,,,,,c966ae8f-c8a0-4173-a019-bee1e6727d9c,10,,"[43.2, 41.7]",69291,0,,,,,-1.0598468,,Right Foot,,,,"[50.6, 28.5]",,Ground Pass,,15.132746,,,,Andrés Iniesta Luján,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['2c90f8d4-070a-431a-ab5c-eddb02c911f0'],3,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.538,Pass,,43.2,41.7,50.6,28.5,4,4,4,2,0.012626,0.012692,6.600000000000009e-05,6.600000000000009e-05,,,,,2024-09-07 18:28:27.474535,2011-03-13,2010/2011,Spain - La Liga,Sevilla vs Barcelona
,,,,,,,,,,,,,,,,,,,,1.0665,,,,,,,,,,,,66d85d3d-65f6-465a-9486-ff4973e777e9,13,,"[50.6, 28.5]",69291,0,,,,,2.1808002,,Right Foot,,,,"[44.1, 37.8]",,Ground Pass,,11.346365,,,,Sergio Busquets i Burgos,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Center Midfield,2,Barcelona,217,['77afac13-8b26-4bf4-b7ec-c36901d1904a'],4,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.381,Pass,,50.6,28.5,44.1,37.8,4,2,4,3,0.012692,0.012626,-6.600000000000009e-05,0.0,,,,,2024-09-07 18:28:27.474535,2011-03-13,2010/2011,Spain - La Liga,Sevilla vs Barcelona
,,,,,,,,,,,,,,,,,,,,1.3787,,,,,,,,,,,,663faa62-5779-4d1a-8741-21bda0c4195f,16,,"[44.3, 37.6]",69291,0,,,,,1.1553042,,Right Foot,,,,"[51.8, 54.6]",,Ground Pass,,18.580904,,,,Xavier Hernández Creus,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['9ba3f704-7b43-4e21-9b97-292458e68875'],5,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.953,Pass,,44.3,37.6,51.8,54.6,4,3,4,5,0.012626,0.012692,6.600000000000009e-05,6.600000000000009e-05,,,,,2024-09-07 18:28:27.474535,2011-03-13,2010/2011,Spain - La Liga,Sevilla vs Barcelona
,,,,,,,,,,,,,,,,,,,,1.5685,,,,,,,,,,,,c9ec947b-221b-4b2a-b8f0-6142aec2550a,19,,"[56.8, 56.9]",69291,0,,,,,1.2807094,,Right Foot,,,,"[62.8, 77.0]",,Ground Pass,,20.976416,,,,Daniel Alves da Silva,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['2315e2dd-36a6-4dd6-9437-f35d1ae4f7c1'],9,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.180,Pass,,56.8,56.9,62.8,77.0,5,5,6,7,0.014291,0.014736,0.00044500000000000095,0.00044500000000000095,,,,,2024-09-07 18:28:27.474535,2011-03-13,2010/2011,Spain - La Liga,Sevilla vs Barcelona
,,,,,,,,,,,,,,,,,,,,0.5893,,,,,,,,,,,,179b3f52-42b0-4330-9df2-537d99ea96bd,22,,"[59.0, 77.0]",69291,0,,,,,-1.5392278,,Right Foot,,,,"[59.3, 67.5]",,Ground Pass,,9.504736,,,,Xavier Hernández Creus,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['9fb2cc82-8c9b-45aa-8150-60c1a353a669'],11,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.571,Pass,,59.0,77.0,59.3,67.5,5,7,5,6,0.012483,0.013845,0.0013620000000000004,0.0013620000000000004,,,,,2024-09-07 18:28:27.474535,2011-03-13,2010/2011,Spain - La Liga,Sevilla vs Barcelona
,,,,,,,,,,,,,,,,,,,,1.1152,,,,,,,,,,,,cdc893f7-b512-4b4f-9876-3fd1275b6409,25,,"[59.0, 67.3]",69291,0,,,,,2.2725909,,Right Foot,,,,"[50.8, 77.0]",,Ground Pass,,12.701574,,,,Daniel Alves da Silva,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['284af80d-a0cc-497d-8944-9d0619cc9d04'],12,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.200,Pass,,59.0,67.3,50.8,77.0,5,6,4,7,0.013845,0.011263,-0.0025819999999999992,0.0,,,,,2024-09-07 18:28:27.474535,2011-03-13,2010/2011,Spain - La Liga,Sevilla vs Barcelona
,,,,,,,,,,,,,,,,,,,,2.2088,,,,,,,,,,,,2ed44184-7c5d-4db8-9937-2a40e5660073,28,,"[50.8, 77.0]",69291,0,,,,,-2.532197,,Right Foot,,,,"[30.6, 62.9]",,Ground Pass,,24.634325,,,,Gerard Piqué Bernabéu,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['660d956d-8eac-4d50-b7ef-47641d55ea01'],13,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.356,Pass,,50.8,77.0,30.6,62.9,4,7,2,6,0.011263,0.009424,-0.0018390000000000004,0.0,,,,,2024-09-07 18:28:27.474535,2011-03-13,2010/2011,Spain - La Liga,Sevilla vs Barcelona
,,,,,,,,,,,,,,,,,,,,2.0269,,,,,,,,,,,,1f31cdca-b5f6-4fe4-8e3f-a07558ff45e0,31,,"[35.6, 60.5]",69291,0,,,,,-1.4549736,,Right Foot,,,,"[39.8, 24.4]",,Ground Pass,,36.3435,,,,Eric-Sylvain Bilal Abidal,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['94d7a889-fe65-4d9f-a865-7385d1b38878'],18,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.634,Pass,,35.6,60.5,39.8,24.4,3,6,3,2,0.010595,0.011105,0.00051,0.00051,,,,,2024-09-07 18:28:27.474535,2011-03-13,2010/2011,Spain - La Liga,Sevilla vs Barcelona
