50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,0.5083,,,,,,,,,,,,,cd3725da-45a3-4ac8-884f-db8625622b6b,5,,,"[61.0, 41.0]",69296,0,,,,1.3932002,,Right Foot,,,"[61.7, 44.9]",,Ground Pass,,3.9623225,,,,,David Sergio Trézéguet,,,,,,Kick Off,1,From Kick Off,Nelson Antonio Haedo Valdez,26748.0,Center Attacking Midfield,2,Hércules,1218,['2aa97186-07f6-4bd2-8bbe-c2527188d18c'],0,,,,,,,,,,,,,,,Hércules,1218,00:00:00.040,Pass,,61.0,41.0,61.7,44.9,6,4,5,4,0.016895,0.014846,-0.0020490000000000005,0.0,,,,,2024-09-07 18:28:16.839459,2011-01-29,2010/2011,Spain - La Liga,Hércules vs Barcelona
,,,,,,,,,,,,,,,,1.219006,,,,,,,,,,,,,95bf54f0-1548-4f89-a2d1-c245e905c6bd,8,,,"[60.3, 44.9]",69296,0,,,,-2.6611197,,Right Foot,,,"[43.8, 36.3]",,Ground Pass,,18.60672,,,,,Matías Lionel Fritzler,,,,,,,1,From Kick Off,David Sergio Trézéguet,19311.0,Center Forward,2,Hércules,1218,['ef33fc39-089b-49d4-aa3f-84ce10f60796'],0,,,,,,,,,,,,,,,Hércules,1218,00:00:00.588,Pass,,60.3,44.9,43.8,36.3,5,4,4,3,0.014846,0.012626,-0.0022199999999999998,0.0,,,,,2024-09-07 18:28:16.839459,2011-01-29,2010/2011,Spain - La Liga,Hércules vs Barcelona
,,,,,,,,,,,,,,,,2.2128,,,,,,,,,,,,,a2b2620d-d5d6-423d-8e62-ea331870218d,12,,,"[40.9, 35.0]",69296,0,,,,1.6189178,,Right Foot,,,"[39.2, 70.3]",,Ground Pass,,35.34091,,,,,David Cortés Caballero,,,,,,,1,From Kick Off,Matías Lionel Fritzler,26751.0,Right Defensive Midfield,2,Hércules,1218,"['15d16b7e-2e3a-4aff-811b-6f0d520a24b1', 'e4287572-4482-4f49-a9fc-f45d9549289a']",2,,,,,,,,,,,,,,,Hércules,1218,00:00:02.192,Pass,True,40.9,35.0,39.2,70.3,3,3,3,7,0.011324,0.009777,-0.0015470000000000015,0.0,,,,,2024-09-07 18:28:16.839459,2011-01-29,2010/2011,Spain - La Liga,Hércules vs Barcelona
,,,,,,,,,,,,,,,,0.6603,,,,,,,,,,,,,3c4cdca5-98de-4856-a8f6-4c925c4082e6,20,,,"[90.5, 15.0]",69296,0,,,,2.243275,,Right Foot,,,"[86.2, 20.4]",,Ground Pass,,6.902898,,,,,Lionel Andrés Messi Cuccittini,,,,,,,1,Regular Play,David Villa Sánchez,12737.0,Left Wing,3,Barcelona,217,['82bec8ff-0cb5-4377-bf19-383a9134a0b7'],8,,,,,,,,,,,,,,,Barcelona,217,00:00:08.781,Pass,,90.5,15.0,86.2,20.4,9,1,8,1,0.029533,0.024015,-0.005517999999999999,0.0,,,,,2024-09-07 18:28:16.839459,2011-01-29,2010/2011,Spain - La Liga,Hércules vs Barcelona
,,,,,,,,,,,,,,,,0.8977,,,,,,,,,,,,,f0a26bdd-da0f-4c39-b51b-31d53ae554b1,23,,,"[87.2, 21.5]",69296,0,,,,-3.056691,,Right Foot,,,"[77.8, 20.7]",,Ground Pass,,9.433981,,,,,Andrés Iniesta Luján,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,3,Barcelona,217,['fb5ebdbc-bfb8-4931-9a74-42a325248f6e'],9,,,,,,,,,,,,,,,Barcelona,217,00:00:09.441,Pass,,87.2,21.5,77.8,20.7,8,2,7,2,0.024122,0.019351,-0.004771000000000001,0.0,,,,,2024-09-07 18:28:16.839459,2011-01-29,2010/2011,Spain - La Liga,Hércules vs Barcelona
,,,,,,,,,,,,,,,,2.0782,,,,,,,,,,,,,579addab-dfe4-45cf-9a7e-c4c3b8c0bf01,25,,,"[77.2, 20.8]",69296,0,,,,0.90975314,,Right Foot,,,"[84.9, 30.7]",,Ground Pass,,12.541929,,,Incomplete,,Xavier Hernández Creus,,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,3,Barcelona,217,"['5db41094-6233-4e14-a85f-a820c2b507fe', 'b6879d3d-d445-406b-b0dd-b0314a51fce5']",10,,,,,,,,,,,,,,,Barcelona,217,00:00:10.339,Pass,,77.2,20.8,84.9,30.7,7,2,8,3,0.019351,0.023851,0.0045000000000000005,0.0045000000000000005,,,,,2024-09-07 18:28:16.839459,2011-01-29,2010/2011,Spain - La Liga,Hércules vs Barcelona
,,,,,,,,,,,,,,,,1.344282,,,,,,,,,,,,,5db41094-6233-4e14-a85f-a820c2b507fe,27,,,"[36.1, 50.3]",69296,0,,,,-1.4539837,,Right Foot,,,"[38.4, 30.7]",,Ground Pass,,19.734488,,,,,Nelson Antonio Haedo Valdez,,,,,,Recovery,1,Regular Play,Matías Lionel Fritzler,26751.0,Right Defensive Midfield,4,Hércules,1218,"['579addab-dfe4-45cf-9a7e-c4c3b8c0bf01', 'd056d282-bae2-4fa3-9bb7-4a7bc36e285a']",12,,,,,,,,,,,,,,,Hércules,1218,00:00:12.417,Pass,,36.1,50.3,38.4,30.7,3,4,3,3,0.011324,0.011324,0.0,0.0,,,,,2024-09-07 18:28:16.839459,2011-01-29,2010/2011,Spain - La Liga,Hércules vs Barcelona
,,,,,,,,,,,,,,,,1.185332,,,,,,,,,,,,,77e889fd-820d-4c86-ae18-82c69d9ddeaf,31,,,"[44.3, 20.1]",69296,0,,,,-1.6131952,,Right Foot,,,"[43.6, 3.6]",,Ground Pass,,16.514841,,,,,Francisco Peña Romero,,,,,,,1,Regular Play,Nelson Antonio Haedo Valdez,26748.0,Center Attacking Midfield,4,Hércules,1218,['8c2b00cf-8e08-4e25-beec-f0ef0976942c'],17,,,,,,,,,,,,,,,Hércules,1218,00:00:17.023,Pass,,44.3,20.1,43.6,3.6,4,1,4,0,0.012147,0.011263,-0.0008839999999999994,0.0,,,,,2024-09-07 18:28:16.839459,2011-01-29,2010/2011,Spain - La Liga,Hércules vs Barcelona
,,,,,,,,,,,,,,,,4.0436,,,,,,,,,,,,,8d28f110-d993-470c-82ed-e207e3fd7ee5,35,,,"[50.3, 4.8]",69296,0,,,,0.23240949,,Left Foot,,,"[101.0, 16.8]",,High Pass,,52.10077,,,Incomplete,,Nelson Antonio Haedo Valdez,,,,,,,1,Regular Play,Francisco Peña Romero,25900.0,Left Back,4,Hércules,1218,"['9a9f4f53-4332-46a7-8820-b7f0ed5500fe', '9d43d09f-8611-43d2-a777-406e466692c8', 'fda53736-9245-4a97-87b1-46988b73bfae']",18,,,,,,,,,,,,,,,Hércules,1218,00:00:18.806,Pass,True,50.3,4.8,101.0,16.8,4,0,10,1,0.011263,0.04067,0.029406999999999996,0.029406999999999996,,,,,2024-09-07 18:28:16.839459,2011-01-29,2010/2011,Spain - La Liga,Hércules vs Barcelona
,,,,,,,,,,,,,,,,1.087925,,,,,,,,,,,,,97892099-6172-4963-a420-ddb39f351c5f,39,,,"[51.0, 75.4]",69296,0,,,,-1.5635501,,Left Foot,,,"[51.1, 61.6]",,Ground Pass,,13.800363,,,,,Xavier Hernández Creus,,,,,,Recovery,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,5,Barcelona,217,"['432e8e1f-cf4f-4dd9-8d7a-95bde949272d', 'bca3e37f-7265-4bfa-8551-1db2268514e5']",27,,,,,,,,,,,,,,,Barcelona,217,00:00:27.740,Pass,True,51.0,75.4,51.1,61.6,5,7,4,6,0.012483,0.012147,-0.0003359999999999995,0.0,,,,,2024-09-07 18:28:16.839459,2011-01-29,2010/2011,Spain - La Liga,Hércules vs Barcelona
