ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,,0.3171,,,,,,,,,,,,,bb870fd6-a371-4e12-83f1-3f380e8c2832,5,,"[61.0, 40.1]",69300,0,,,,,1.6506263,,Right Foot,,,,"[60.8, 42.6]",Ground Pass,,2.5079873,,,,Nicolás Santiago Bertolo,,,,,Kick Off,1,From Kick Off,Florent Sinama-Pongolle,26083.0,Left Center Forward,2,Real Zaragoza,395,['002efeb1-2c8b-439a-9110-a335e510f55f'],1,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:01.299,Pass,,61.0,40.1,60.8,42.6,5,4,5,4,0.014846,0.014846,0.0,0.0,,,,,2024-09-07 18:28:42.000596,2011-03-05,2010/2011,Spain - La Liga,Barcelona vs Real Zaragoza
,,,,,,,,,,,,,,,,,1.2495,,,,,,,,,,,,,5e8003de-7070-45e9-8ed3-c4e03af330c0,8,,"[61.2, 42.5]",69300,0,,,,,3.0256107,,Right Foot,,,,"[50.9, 43.7]",Ground Pass,,10.369667,,,,Ander Herrera Agüera,,,,,,1,From Kick Off,Nicolás Santiago Bertolo,26762.0,Right Center Forward,2,Real Zaragoza,395,['02c5021b-b97b-4fda-a52f-7c5bf0713e91'],1,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:01.696,Pass,,61.2,42.5,50.9,43.7,5,4,4,4,0.014846,0.012626,-0.0022199999999999998,0.0,,,,,2024-09-07 18:28:42.000596,2011-03-05,2010/2011,Spain - La Liga,Barcelona vs Real Zaragoza
,,,,,,,,,,,,,,,,,1.6222,,,,,,,,,,,,,beea2bca-1758-4ad2-b998-5aba9285b353,11,,"[50.9, 42.9]",69300,0,,,,,-0.8414724,,Right Foot,,,,"[73.6, 17.5]",High Pass,,34.06538,,Incomplete,,,,,,,,1,From Kick Off,Ander Herrera Agüera,3606.0,Center Attacking Midfield,2,Real Zaragoza,395,['8c3a4141-8b63-4b32-9eb3-c02399ff827e'],2,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:02.985,Pass,,50.9,42.9,73.6,17.5,4,4,7,1,0.012626,0.018703,0.006077000000000001,0.006077000000000001,,,,,2024-09-07 18:28:42.000596,2011-03-05,2010/2011,Spain - La Liga,Barcelona vs Real Zaragoza
,,,,,,,,,,,,,,,,,0.7839,,,,,,,,,,,,,8c3a4141-8b63-4b32-9eb3-c02399ff827e,12,,"[46.5, 62.6]",69300,0,,,,,-0.088007376,,Right Foot,,,,"[53.3, 62.0]",Ground Pass,,6.8264194,,,,Lionel Andrés Messi Cuccittini,,,,,Recovery,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,"['450317a9-fd11-468e-b3d0-0db1cf24f6c3', 'beea2bca-1758-4ad2-b998-5aba9285b353']",4,,,,,,,,,,,,,,,Barcelona,217,00:00:04.608,Pass,,46.5,62.6,53.3,62.0,4,6,5,6,0.012147,0.013845,0.0016979999999999999,0.0016979999999999999,,,,,2024-09-07 18:28:42.000596,2011-03-05,2010/2011,Spain - La Liga,Barcelona vs Real Zaragoza
,,,,,,,,,,,,,,,,,2.8992,,,,,,,,,,,,,bfdb29ed-94b4-46cb-81db-55f13669b4d9,16,,"[45.7, 72.4]",69300,0,,,,,-2.3767939,,Left Foot,,,,"[13.5, 41.5]",Ground Pass,,44.627907,,,,Víctor Valdés Arribas,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,3,Barcelona,217,['030fe648-8c8a-4b68-9a9f-395348445f74'],9,,,,,,,,,,,,,,,Barcelona,217,00:00:09.228,Pass,,45.7,72.4,13.5,41.5,4,7,0,4,0.011263,0.009411,-0.0018520000000000012,0.0,,,,,2024-09-07 18:28:42.000596,2011-03-05,2010/2011,Spain - La Liga,Barcelona vs Real Zaragoza
,,,,,,,,,,,,,,,,,2.4141,,,,,,,,,,,,,4afc5cd1-1673-4c0a-b07d-c8a409dec6bc,19,,"[13.5, 41.4]",69300,0,,,,,-0.9359739,,Right Foot,,,,"[25.8, 24.7]",Ground Pass,,20.740782,,,,Gabriel Alejandro Milito,,,,,,1,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,3,Barcelona,217,['fb7176c8-cbbb-44e9-ac96-797b3bf2de8c'],12,,,,,,,,,,,,,,,Barcelona,217,00:00:12.293,Pass,,13.5,41.4,25.8,24.7,1,4,2,2,0.010827,0.010013,-0.0008140000000000005,0.0,,,,,2024-09-07 18:28:42.000596,2011-03-05,2010/2011,Spain - La Liga,Barcelona vs Real Zaragoza
,,,,,,,,,,,,,,,,,0.8499,,,,,,,,,,,,,c5b46e9a-81d6-496b-9ce4-534ebb29ae60,22,,"[40.5, 22.7]",69300,0,,,,,0.45215386,,Left Foot,,,,"[51.0, 27.8]",Ground Pass,,11.673046,,,,Seydou Kéita,,,,,,1,Regular Play,Gabriel Alejandro Milito,25919.0,Left Center Back,3,Barcelona,217,['f13c23d1-272d-4ff9-942b-aaa7f36dfbe3'],16,,,,,,,,,,,,,,,Barcelona,217,00:00:16.647,Pass,,40.5,22.7,51.0,27.8,3,2,4,2,0.011105,0.012692,0.0015869999999999999,0.0015869999999999999,,,,,2024-09-07 18:28:42.000596,2011-03-05,2010/2011,Spain - La Liga,Barcelona vs Real Zaragoza
,,,,,,,,,,,,,,,,,2.1163,,,,,,,,,,,,,2111458b-3d1c-4922-ba0b-ce27f6d97d11,25,,"[61.9, 18.1]",69300,0,,,,,-0.9291802,,Left Foot,,,,"[74.6, 1.1]",Ground Pass,,21.220037,,Out,,Pedro Eliezer Rodríguez Ledesma,,,,,,1,Regular Play,Seydou Kéita,20169.0,Right Center Midfield,3,Barcelona,217,['48f77ebd-0ba0-48b6-813b-ef1fda6a1ef8'],20,,,,,,,,,,,,,,,Barcelona,217,00:00:20.704,Pass,,61.9,18.1,74.6,1.1,6,1,7,0,0.016118,0.017451,0.0013330000000000009,0.0013330000000000009,,,,,2024-09-07 18:28:42.000596,2011-03-05,2010/2011,Spain - La Liga,Barcelona vs Real Zaragoza
,,,,,,,,,,,,,,,,,2.273,,,,,,,,,,,,,8534b841-e17b-4a71-a94e-842c831a8bed,27,,"[33.6, 80.0]",69300,0,,,,,-0.3425046,,,,,,"[58.0, 71.3]",High Pass,,25.904633,,Incomplete,,Florent Sinama-Pongolle,,,,,Throw-in,1,From Throw In,Carlos Andrés Diogo Enseñat,26022.0,Right Wing Back,4,Real Zaragoza,395,"['148f3ba6-9423-43cc-b0fd-06d517ef365f', 'e04e27fe-3ad7-4e76-8cf9-c9bced6651bd']",42,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:42.782,Pass,,33.6,80.0,58.0,71.3,3,7,5,7,0.009777,0.012483,0.002706,0.002706,,,,,2024-09-07 18:28:42.000596,2011-03-05,2010/2011,Spain - La Liga,Barcelona vs Real Zaragoza
,,,,,,,,,,,,,,,,,2.019,,,,,,,,,,,,,0bf55fa6-e06a-4d43-bfb0-ef5bd6e034c7,31,,"[62.1, 11.3]",69300,0,,,,,2.8070633,,Left Foot,,,,"[43.4, 17.8]",Ground Pass,,19.797474,,,,Gerard Piqué Bernabéu,,,,,,1,Regular Play,Gabriel Alejandro Milito,25919.0,Left Center Back,5,Barcelona,217,['b8520629-58fe-4ca0-b3e3-377bc640c7fa'],46,,,,,,,,,,,,,,,Barcelona,217,00:00:46.444,Pass,,62.1,11.3,43.4,17.8,6,1,4,1,0.016118,0.012147,-0.003971000000000001,0.0,,,,,2024-09-07 18:28:42.000596,2011-03-05,2010/2011,Spain - La Liga,Barcelona vs Real Zaragoza
