ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,0.836724,,,,,,,,,,,,ce778c89-4a98-4adf-8a65-8d809ea644f8,5,,"[61.0, 41.0]",69302,0,,,,-0.7140907,,Right Foot,,,,"[62.5, 39.7]",,Ground Pass,,1.9849433,,,,Gorka Elustondo Urkola,,,,,,Kick Off,1,From Kick Off,Joseba Llorente Etxarri,26191.0,Center Forward,2,Real Sociedad,210,['1556db18-f545-4fdd-8af8-311fc8091af0'],0,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.247,Pass,,61.0,41.0,62.5,39.7,5,4,6,3,0.014846,0.016895,0.0020490000000000005,0.0020490000000000005,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,1.492782,,,,,,,,,,,,c0b09a1d-3b2b-4866-b773-2d6f2155c042,8,,"[61.6, 39.7]",69302,0,,,,-2.5895975,,Right Foot,,,,"[45.2, 29.6]",,Ground Pass,,19.260582,,,,Alberto De La Bella Madureño,,,,,,,1,From Kick Off,Gorka Elustondo Urkola,12191.0,Right Center Midfield,2,Real Sociedad,210,['980663b9-bb4a-4d51-adfb-50d97adfd771'],1,,,,,,,,,,,,,,,Real Sociedad,210,00:00:01.164,Pass,,61.6,39.7,45.2,29.6,5,3,4,2,0.014846,0.012692,-0.0021539999999999997,0.0,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,2.8378,,,,,,,,,,,,6b925ece-94b4-4821-82ce-fc95d87b12c0,11,,"[45.0, 31.0]",69302,0,,,,0.7853982,,Left Foot,,,,"[86.4, 72.4]",,High Pass,,58.548443,,,,Xabier Prieto Argarate,,,True,,,,1,From Kick Off,Alberto De La Bella Madureño,6674.0,Left Back,2,Real Sociedad,210,['3256e44a-56b8-4be2-9e58-dabc8777e6ab'],3,,,,,,,,,,,,,,,Real Sociedad,210,00:00:03.734,Pass,,45.0,31.0,86.4,72.4,4,3,8,7,0.012626,0.021221,0.008595,0.008595,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,1.5107,,,,,,,,,,,,6333d6e7-3e47-401f-a95c-567907f5dfb6,13,,"[86.4, 72.4]",69302,0,,,True,-1.0888581,,,,,,"[93.2, 59.4]",,High Pass,,14.67106,,Incomplete,,Gorka Elustondo Urkola,,,,,,,1,From Kick Off,Xabier Prieto Argarate,6690.0,Right Midfield,2,Real Sociedad,210,"['13647faf-d053-4384-89b4-56b26581ad31', '348546da-be24-4fab-803a-ada1442d4bb5', 'ece303ea-d918-4a68-9101-7ce8f1844e29']",6,,,,,,,,,,,,,,,Real Sociedad,210,00:00:06.571,Pass,True,86.4,72.4,93.2,59.4,8,7,9,5,0.021221,0.028552,0.007331000000000001,0.007331000000000001,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,0.6991,,,,,,,,,,,,ece303ea-d918-4a68-9101-7ce8f1844e29,16,,"[27.8, 21.6]",69302,0,,,,-1.4835186,,Head,,,,"[28.5, 13.6]",,High Pass,,8.030566,,,,Maxwell Scherrer Cabelino Andrade,,,,,,Recovery,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,2,Real Sociedad,210,"['34e13a90-2a91-4869-adec-39306378e4e4', '6333d6e7-3e47-401f-a95c-567907f5dfb6']",8,,,,,,,,,,,,,,,Barcelona,217,00:00:08.082,Pass,,27.8,21.6,28.5,13.6,2,2,2,1,0.010013,0.009424,-0.0005889999999999992,0.0,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,0.666099,,,,,,,,,,,,c8b2fbf9-cd95-4124-97e0-a41fa4866256,18,,"[28.5, 12.5]",69302,0,,,,0.14955974,,Head,,,,"[35.8, 13.6]",,High Pass,,7.3824115,,Incomplete,,Andrés Iniesta Luján,,,,,,,1,From Kick Off,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,2,Real Sociedad,210,"['147c8f53-930a-464f-9903-c0a9ed4365ef', '1ee0c316-8ae6-4b84-b866-e5d6d4953014']",8,,,,,,,,,,,,,,,Barcelona,217,00:00:08.781,Pass,,28.5,12.5,35.8,13.6,2,1,3,1,0.009424,0.010595,0.0011710000000000002,0.0011710000000000002,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,0.945301,,,,,,,,,,,,147c8f53-930a-464f-9903-c0a9ed4365ef,20,,"[85.2, 67.4]",69302,0,,,,0.6000502,,Head,,,,"[87.1, 68.7]",,High Pass,,2.302173,,,,Gorka Elustondo Urkola,,,,,,Recovery,1,From Kick Off,Xabier Prieto Argarate,6690.0,Right Midfield,2,Real Sociedad,210,"['672380d5-3bba-48b2-b499-571dce563b7e', 'c8b2fbf9-cd95-4124-97e0-a41fa4866256']",9,,,,,,,,,,,,,,,Real Sociedad,210,00:00:09.447,Pass,,85.2,67.4,87.1,68.7,8,6,8,6,0.024015,0.024015,0.0,0.0,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,0.6154,,,,,,,,,,,,07ad9855-3355-4c0e-928f-39e7a8150dcc,22,,"[87.1, 68.7]",69302,0,,,,-1.5707964,,Head,,,,"[87.1, 61.9]",,High Pass,,6.8,,,,Xabier Prieto Argarate,,,,,,,1,From Kick Off,Gorka Elustondo Urkola,12191.0,Right Center Midfield,2,Real Sociedad,210,['013c19c8-73ea-4da8-a935-a899cfb79d0d'],10,,,,,,,,,,,,,,,Real Sociedad,210,00:00:10.393,Pass,,87.1,68.7,87.1,61.9,8,6,8,6,0.024015,0.024015,0.0,0.0,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,0.773,,,,,,,,,,,,395bc2ad-fc24-47d4-8e1b-38d17da3f8ba,24,,"[87.1, 61.9]",69302,0,,,,-0.094951704,,Head,,,,"[97.6, 60.9]",,High Pass,,10.547511,,Incomplete,,Joseba Llorente Etxarri,,,,,,,1,From Kick Off,Xabier Prieto Argarate,6690.0,Right Midfield,2,Real Sociedad,210,"['4c11f2eb-cf7b-492e-8dd1-e0898f13da39', '70450d25-5ae8-4a0d-9407-0af680462629']",11,,,,,,,,,,,,,,,Real Sociedad,210,00:00:11.008,Pass,,87.1,61.9,97.6,60.9,8,6,9,6,0.024015,0.029533,0.005517999999999999,0.005517999999999999,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,1.3737,,,,,,,,,,,,0e14b5d1-ed57-4b17-b8fe-b7008e50df5c,28,,"[79.7, 58.4]",69302,0,,,,-1.1516538,,Right Foot,,,,"[93.2, 28.1]",,High Pass,,33.17137,,Incomplete,,Antoine Griezmann,,,,,,Recovery,1,From Kick Off,Diego Rivas Gutiérrez,26060.0,Center Defensive Midfield,2,Real Sociedad,210,"['53165cef-78d1-45e1-9a47-566770529c3d', '818e16d0-2858-4d08-ab0f-7922c2c58263']",14,,,,,,,,,,,,,,,Real Sociedad,210,00:00:14.128,Pass,,79.7,58.4,93.2,28.1,7,5,9,2,0.019351,0.028552,0.009201,0.009201,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,0.721833,,,,,,,,,,,,a6cc8436-3ec0-45e8-9d95-4116303d468e,32,,"[32.9, 55.2]",69302,0,,,,-0.6572696,,Right Foot,,,,"[42.1, 48.1]",,Ground Pass,,11.621101,,,,Xavier Hernández Creus,,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,['f8adce68-c9e9-4ab7-b582-338aa3beaee5'],17,,,,,,,,,,,,,,,Barcelona,217,00:00:17.504,Pass,,32.9,55.2,42.1,48.1,2,5,3,4,0.010013,0.011324,0.0013110000000000014,0.0013110000000000014,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,1.5911,,,,,,,,,,,,45109c89-f1df-49ac-bc52-c9d8f92b5add,35,,"[42.1, 52.5]",69302,0,,,,2.0891006,,Right Foot,,,,"[34.8, 65.3]",,Ground Pass,,14.735332,,,,Daniel Alves da Silva,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Left Center Midfield,3,Barcelona,217,['ac14bb5c-361c-4164-9a92-d6054cd5fe0c'],19,,,,,,,,,,,,,,,Barcelona,217,00:00:19.489,Pass,,42.1,52.5,34.8,65.3,3,5,3,6,0.011105,0.010595,-0.00051,0.0,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,2.2387,,,,,,,,,,,,7e8a2f25-41ed-46bf-8234-b31db747b103,38,,"[35.4, 66.3]",69302,0,,,,-1.0005828,,Right Foot,,,,"[55.6, 34.8]",,High Pass,,37.42045,,Incomplete,,Andrés Iniesta Luján,,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,"['6fe18e99-4e88-4ff5-a57c-ed4858c5b3f5', 'a9bd7ddc-66ff-4c3f-8dbf-40e5f6d5b91e']",22,,,,,,,,,,,,,,,Barcelona,217,00:00:22.640,Pass,,35.4,66.3,55.6,34.8,3,6,5,3,0.010595,0.014846,0.004251,0.004251,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,2.208483,,,,,,,,,,,,a9bd7ddc-66ff-4c3f-8dbf-40e5f6d5b91e,40,,"[65.4, 46.2]",69302,0,,,,2.8103487,,Head,,,,"[46.5, 52.7]",,High Pass,,19.986496,,,,Mikel González de Martín Martínez,,,,,,Recovery,1,Regular Play,Xabier Prieto Argarate,6690.0,Right Midfield,4,Real Sociedad,210,"['7e8a2f25-41ed-46bf-8234-b31db747b103', 'a543e16a-9698-4c54-b8a6-bf81080d3f93']",24,,,,,,,,,,,,,,,Real Sociedad,210,00:00:24.879,Pass,,65.4,46.2,46.5,52.7,6,4,4,5,0.016895,0.012692,-0.004203,0.0,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,0.956203,,,,,,,,,,,,42b8d624-755e-483c-89a7-a966b8e5f11c,43,,"[46.5, 52.7]",69302,0,,,,-0.5224034,,Right Foot,,,,"[56.4, 47.0]",,Ground Pass,,11.423659,,,,Gorka Elustondo Urkola,,,,,,,1,Regular Play,Mikel González de Martín Martínez,16622.0,Left Center Back,4,Real Sociedad,210,['5ed6ebc1-a195-4f55-943d-56e90edcd3c6'],28,,,,,,,,,,,,,,,Real Sociedad,210,00:00:28.091,Pass,,46.5,52.7,56.4,47.0,4,5,5,4,0.012692,0.014846,0.0021539999999999997,0.0021539999999999997,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,1.9948,,,,,,,,,,,,0d352765-e8bd-41b3-abe3-64ac872503ac,46,,"[56.4, 47.0]",69302,0,,,,2.7610862,,Right Foot,,,,"[46.9, 50.8]",,Ground Pass,,10.231813,,,,Jon Ansotegi Gorostola,,,,,,,1,Regular Play,Gorka Elustondo Urkola,12191.0,Right Center Midfield,4,Real Sociedad,210,['5eaf7d53-e711-4bb5-8973-8ca4ce2b364d'],29,,,,,,,,,,,,,,,Real Sociedad,210,00:00:29.084,Pass,,56.4,47.0,46.9,50.8,5,4,4,5,0.014846,0.012692,-0.0021539999999999997,0.0,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,4.7391,,,,,,,,,,,,b6b1af60-aa14-4ff0-a990-e1155e3734a4,49,,"[46.3, 51.0]",69302,0,,,,-0.2669489,,Left Foot,,,,"[107.0, 34.4]",,High Pass,,62.92893,,Incomplete,,Joseba Llorente Etxarri,,,,,,,1,Regular Play,Jon Ansotegi Gorostola,26764.0,Right Center Back,4,Real Sociedad,210,"['6362b37d-be7e-4418-afde-a1c7866a2c06', '7b4ed184-6544-4b91-b620-da4fc7d31ea7']",31,,,,,,,,,,,,,,,Real Sociedad,210,00:00:31.159,Pass,,46.3,51.0,107.0,34.4,4,5,10,3,0.012692,0.108051,0.095359,0.095359,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,1.682353,,,,,,,,,,,,0ff6f208-11db-4c93-a68a-7ca566df72af,53,,"[14.0, 45.7]",69302,0,,,,0.65499485,,Right Foot,,,,"[27.8, 56.3]",,Ground Pass,,17.40115,,,,Carles Puyol i Saforcada,,,,,,,1,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,5,Barcelona,217,['af3c6e87-4010-43af-9e7a-a326541f7239'],38,,,,,,,,,,,,,,,Barcelona,217,00:00:38.836,Pass,,14.0,45.7,27.8,56.3,1,4,2,5,0.010827,0.010013,-0.0008140000000000005,0.0,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,1.787719,,,,,,,,,,,,0fe8dc10-fd61-43e5-9016-9d96f46e746c,56,,"[27.8, 56.3]",69302,0,,,,-2.4928832,,Right Foot,,,,"[12.5, 44.7]",,Ground Pass,,19.20026,,,,Víctor Valdés Arribas,,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Right Center Back,5,Barcelona,217,['a7677362-54d5-40e1-8b32-b5ce84a0db11'],40,,,,,,,,,,,,,,,Barcelona,217,00:00:40.993,Pass,,27.8,56.3,12.5,44.7,2,5,0,4,0.010013,0.009411,-0.0006020000000000001,0.0,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
