bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,,,0.527466,,,,,,,,,,,,,cb676b56-43f6-4a1f-b790-90e04845e07f,5,,"[60.0, 40.0]",69303,0,,True,,,1.4056476,,Right Foot,,,,"[60.3, 41.8]",,Ground Pass,,1.8248287,,,,David Villa Sánchez,,,,,Kick Off,1,From Kick Off,Bojan Krkíc Pérez,4913.0,Left Wing,2,Barcelona,217,['5e177ad8-ce0f-4531-8b56-62e7fbc3f3eb'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.650,Pass,,60.0,40.0,60.3,41.8,5,3,5,4,0.014846,0.014846,0.0,0.0,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,0.864076,,,,,,,,,,,,,37afd2fe-1244-461e-98ab-a3c2ad3e9b99,7,,"[59.2, 41.8]",69303,0,,,,,-2.9933379,,Right Foot,,,,"[43.8, 39.5]",,Ground Pass,,15.570806,,,,Javier Alejandro Mascherano,,,,,,1,From Kick Off,David Villa Sánchez,12737.0,Center Forward,2,Barcelona,217,['f2577a59-1085-4615-af70-f8ffd4ae6e60'],1,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.341,Pass,,59.2,41.8,43.8,39.5,5,4,4,3,0.014846,0.012626,-0.0022199999999999998,0.0,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.742054,,,,,,,,,,,,,f43c81b3-d46d-4c69-a365-904c96ee1766,10,,"[43.8, 39.5]",69303,0,,,,,-1.4086522,,Right Foot,,,,"[49.1, 7.1]",,Ground Pass,,32.830627,,,,Adriano Correia Claro,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,2,Barcelona,217,['195b01ba-8004-40ab-b53d-66ae70e0b0db'],3,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.065,Pass,,43.8,39.5,49.1,7.1,4,3,4,0,0.012626,0.011263,-0.0013629999999999996,0.0,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.314379,,,,,,,,,,,,,e3604962-162f-4a70-b366-f434b57f8d34,13,,"[46.9, 9.3]",69303,0,,,,,2.0947156,,Left Foot,,,,"[39.1, 22.8]",,Ground Pass,,15.591344,,,,Gabriel Alejandro Milito,,,,,,1,From Kick Off,Adriano Correia Claro,22102.0,Left Back,2,Barcelona,217,['ab5336f1-b147-4867-b388-a36aa20adebd'],5,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.611,Pass,,46.9,9.3,39.1,22.8,4,0,3,2,0.011263,0.011105,-0.00015800000000000015,0.0,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.662883,,,,,,,,,,,,,eb92511d-958d-4bb5-b2c0-49225c28ac5c,16,,"[39.2, 22.6]",69303,0,,,,,1.6148853,,Left Foot,,,,"[37.7, 56.6]",,Ground Pass,,34.033073,,,,Gerard Piqué Bernabéu,,,,,,1,From Kick Off,Gabriel Alejandro Milito,25919.0,Left Center Back,2,Barcelona,217,['1f18c0cd-46ae-47f7-9331-94e1a117d14f'],8,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.256,Pass,,39.2,22.6,37.7,56.6,3,2,3,5,0.011105,0.011105,0.0,0.0,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.053841,,,,,,,,,,,,,0eb8245b-2296-4512-be44-5d2cbc442a63,19,,"[42.0, 57.6]",69303,0,,,,,-1.3609157,,Right Foot,,,,"[45.6, 40.7]",,Ground Pass,,17.279179,,,,Javier Alejandro Mascherano,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['7cf37dbe-2008-429e-b980-63dce50b5af0'],13,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.355,Pass,,42.0,57.6,45.6,40.7,4,5,4,4,0.012692,0.012626,-6.600000000000009e-05,0.0,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.859862,,,,,,,,,,,,,d049a533-526b-4bc3-ac2f-fd83787aec41,22,,"[45.6, 40.7]",69303,0,,,,,1.5222235,,Right Foot,,,,"[46.3, 55.1]",,Ground Pass,,14.417004,,,,Gerard Piqué Bernabéu,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,2,Barcelona,217,['10470aaa-60d7-49f5-8fe9-d2cbbafd8992'],14,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.698,Pass,,45.6,40.7,46.3,55.1,4,4,4,5,0.012626,0.012692,6.600000000000009e-05,6.600000000000009e-05,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,0.623528,,,,,,,,,,,,,d8ad85e2-5ffc-44f1-b730-af3a4d8d0c30,26,,"[70.1, 48.1]",69303,0,,,,,-1.3618894,,Right Foot,,,,"[75.4, 23.1]",,Ground Pass,,25.555626,,,,Andrés Iniesta Luján,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,"['37779171-fb84-436e-98a4-a80866fc9104', '57171a1a-31f7-4eac-93e5-2f66775b4ff1']",20,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.940,Pass,True,70.1,48.1,75.4,23.1,6,4,7,2,0.016895,0.019351,0.002456,0.002456,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.115564,,,,,,,,,,,,,162341c6-9fef-451c-83d8-f0de5df50490,32,,"[77.0, 2.7]",69303,0,,,,,2.0920722,,Right Foot,,,,"[71.2, 12.8]",,Ground Pass,,11.646888,,,,Andrés Iniesta Luján,,,,,,1,From Kick Off,David Villa Sánchez,12737.0,Center Forward,2,Barcelona,217,['37b1a589-4750-40e1-829d-4ede34ff706a'],25,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.031,Pass,,77.0,2.7,71.2,12.8,7,0,7,1,0.017451,0.018703,0.0012519999999999996,0.0012519999999999996,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,0.963312,,,,,,,,,,,,,329c71de-6b04-4657-b929-dd6d0bf395d4,35,,"[71.2, 12.8]",69303,0,,,,,-2.176341,,Left Foot,,,,"[64.9, 3.7]",,Ground Pass,,11.067972,,,,Adriano Correia Claro,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Right Center Midfield,2,Barcelona,217,['0eb041f9-e960-48e7-82ab-c2898421bf37'],26,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.266,Pass,,71.2,12.8,64.9,3.7,7,1,6,0,0.018703,0.014736,-0.003967,0.0,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.204379,,,,,,,,,,,,,8ecde558-01ac-46a7-b58e-9b929389827e,38,,"[58.0, 4.7]",69303,0,,,,,2.143386,,Right Foot,,,,"[50.2, 16.8]",,Ground Pass,,14.39618,,,,Gabriel Alejandro Milito,,,,,,1,From Kick Off,Adriano Correia Claro,22102.0,Left Back,2,Barcelona,217,['947a53af-cc3d-46b3-b316-4cac01fdb6fe'],28,,,,,,,,,,,,,,,,Barcelona,217,00:00:28.527,Pass,,58.0,4.7,50.2,16.8,5,0,4,1,0.012483,0.012147,-0.0003359999999999995,0.0,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,2.131411,,,,,,,,,,,,,40f49098-3921-4181-8221-0dc989cbb914,41,,"[51.9, 23.8]",69303,0,,,,,1.5473893,,Left Foot,,,,"[52.6, 53.7]",,Ground Pass,,29.908194,,,,Gerard Piqué Bernabéu,,,,,,1,From Kick Off,Gabriel Alejandro Milito,25919.0,Left Center Back,2,Barcelona,217,['98862c94-d814-413e-99f2-d05dc0f44a1f'],31,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.438,Pass,,51.9,23.8,52.6,53.7,5,2,5,5,0.014291,0.014291,0.0,0.0,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.636908,,,,,,,,,,,,,cc5ea1eb-b4c0-4e2a-a368-e42a671f8bbd,44,,"[55.0, 54.2]",69303,0,,,,,-1.6074291,,Right Foot,,,,"[54.3, 35.1]",,Ground Pass,,19.112823,,,,Gabriel Alejandro Milito,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['c17ae1bd-f2d9-45b5-80f8-de50b44e4e6d'],35,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.406,Pass,,55.0,54.2,54.3,35.1,5,5,5,3,0.014291,0.014846,0.0005549999999999999,0.0005549999999999999,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.638585,,,,,,,,,,,,,be096083-e12d-42f1-a5f3-aea824163041,47,,"[56.6, 32.3]",69303,0,,,,,-1.1522521,,Left Foot,,,,"[69.5, 3.3]",,Ground Pass,,31.739723,,,,Adriano Correia Claro,,,,,,1,From Kick Off,Gabriel Alejandro Milito,25919.0,Left Center Back,2,Barcelona,217,['14573ffd-dd17-4b5b-8363-3d2cf9254fb0'],39,,,,,,,,,,,,,,,,Barcelona,217,00:00:39.239,Pass,,56.6,32.3,69.5,3.3,5,3,6,0,0.014846,0.014736,-0.00010999999999999899,0.0,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,0.924489,,,,,,,,,,,,,1acf974e-5cea-403a-85cf-d2bd0a22fc2b,50,,"[69.5, 3.3]",69303,0,,,,,1.5478119,,Left Foot,,,,"[69.7, 12.0]",,Ground Pass,,8.702298,,,,Andrés Iniesta Luján,,,,,,1,From Kick Off,Adriano Correia Claro,22102.0,Left Back,2,Barcelona,217,['a1a00908-b5aa-4c12-afa0-c97c80ef3ba4'],41,,,,,,,,,,,,,,,,Barcelona,217,00:00:41.942,Pass,,69.5,3.3,69.7,12.0,6,0,6,1,0.014736,0.016118,0.0013819999999999995,0.0013819999999999995,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
