bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_out,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,0.849575,,,,,,,,,,,,,,f8507cc5-cf37-42e6-b999-5318dbf3fd0e,5,,"[60.0, 40.0]",69304,0,,,,,-1.1856388,,Right Foot,,,"[61.5, 36.3]",Ground Pass,,3.992493,,,,,Andrés Iniesta Luján,,,,,,Kick Off,1,From Kick Off,David Villa Sánchez,12737.0,Center Forward,2,Barcelona,217,['44db405d-9cca-4761-9927-8d4e3517e9e5'],0,,,,,,,,,,,,,,,Barcelona,217,00:00:00.714,Pass,,60.0,40.0,61.5,36.3,5,3,5,3,0.014846,0.014846,0.0,0.0,,,,,2024-09-07 18:28:08.318991,2011-04-02,2010/2011,Spain - La Liga,Villarreal vs Barcelona
,,,,,,,,,,,,,,,,0.913155,,,,,,,,,,,,,,95cc298f-47ab-437b-98ac-0d7c0a82146a,8,,"[60.1, 35.6]",69304,0,,,,,2.7763913,,Left Foot,,,"[43.1, 42.1]",Ground Pass,,18.200275,,,,,Thiago Alcântara do Nascimento,,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Right Wing,2,Barcelona,217,['4cd74912-17df-4e11-8060-c8c39fe54760'],1,,,,,,,,,,,,,,,Barcelona,217,00:00:01.780,Pass,,60.1,35.6,43.1,42.1,5,3,4,4,0.014846,0.012626,-0.0022199999999999998,0.0,,,,,2024-09-07 18:28:08.318991,2011-04-02,2010/2011,Spain - La Liga,Villarreal vs Barcelona
,,,,,,,,,,,,,,,,1.6522,,,,,,,,,,,,,,66efb933-e3fd-4d22-8062-07734cd3e4f6,11,,"[42.8, 43.9]",69304,0,,,,,1.6069251,,Right Foot,,,"[41.9, 68.8]",Ground Pass,,24.91626,,,,,Daniel Alves da Silva,,,,,,,1,From Kick Off,Thiago Alcântara do Nascimento,5208.0,Right Center Midfield,2,Barcelona,217,['85600a34-e5e4-466d-a773-aa8412119a2d'],3,,,,,,,,,,,,,,,Barcelona,217,00:00:03.502,Pass,,42.8,43.9,41.9,68.8,4,4,3,6,0.012626,0.010595,-0.002031,0.0,,,,,2024-09-07 18:28:08.318991,2011-04-02,2010/2011,Spain - La Liga,Villarreal vs Barcelona
,,,,,,,,,,,,,,,,1.5934,,,,,,,,,,,,,,3c4d7c66-91f8-44db-b5f8-0dcf1cde4177,14,,"[41.7, 62.2]",69304,0,,,,,-2.5718362,,Right Foot,,,"[28.9, 54.0]",Ground Pass,,15.201316,,,,,Gerard Piqué Bernabéu,,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['83ed0d73-0ff6-497d-bea2-c0f16d51a20a'],6,,,,,,,,,,,,,,,Barcelona,217,00:00:06.888,Pass,,41.7,62.2,28.9,54.0,4,6,2,5,0.012147,0.010013,-0.0021340000000000005,0.0,,,,,2024-09-07 18:28:08.318991,2011-04-02,2010/2011,Spain - La Liga,Villarreal vs Barcelona
,,,,,,,,,,,,,,,,1.6384,,,,,,,,,,,,,,48b8d6c2-5c11-4c2d-9299-259e7c7a1c0f,17,,"[28.9, 54.0]",69304,0,,,,,-1.5776455,,Right Foot,,,"[28.7, 24.8]",Ground Pass,,29.200686,,,,,Sergio Busquets i Burgos,,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Left Center Back,2,Barcelona,217,['cf0fd447-7681-4b56-ae67-dea1e4231b85'],9,,,,,,,,,,,,,,,Barcelona,217,00:00:09.751,Pass,,28.9,54.0,28.7,24.8,2,5,2,2,0.010013,0.010013,0.0,0.0,,,,,2024-09-07 18:28:08.318991,2011-04-02,2010/2011,Spain - La Liga,Villarreal vs Barcelona
,,,,,,,,,,,,,,,,1.7375,,,,,,,,,,,,,,5bfe8792-379c-4949-9579-ca07ed6709f3,23,,"[28.6, 25.3]",69304,0,,,,,1.4977558,,Right Foot,,,"[31.0, 58.1]",Ground Pass,,32.887688,,,,,Gerard Piqué Bernabéu,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Right Center Back,2,Barcelona,217,['6e5d6f36-db26-493e-a36a-dfa0e408a88e'],15,,,,,,,,,,,,,,,Barcelona,217,00:00:15.426,Pass,,28.6,25.3,31.0,58.1,2,2,2,5,0.010013,0.010013,0.0,0.0,,,,,2024-09-07 18:28:08.318991,2011-04-02,2010/2011,Spain - La Liga,Villarreal vs Barcelona
,,,,,,,,,,,,,,,,1.9957,,,,,,,,,,,,,,f41a7464-341a-4c36-9463-65116cf02435,26,,"[44.3, 60.3]",69304,0,,,,,-2.5628102,,Right Foot,,,"[16.6, 42.2]",Ground Pass,,33.08927,,,,,Víctor Valdés Arribas,,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Left Center Back,2,Barcelona,217,['ac3ba76f-b3ff-42fe-bf13-056d346383fc'],22,,,,,,,,,,,,,,,Barcelona,217,00:00:22.654,Pass,,44.3,60.3,16.6,42.2,4,6,1,4,0.012147,0.010827,-0.00132,0.0,,,,,2024-09-07 18:28:08.318991,2011-04-02,2010/2011,Spain - La Liga,Villarreal vs Barcelona
,,,,,,,,,,,,,,,,1.5864,,,,,,,,,,,,,,cc081e79-8a12-41e4-aea1-7a21175b9369,29,,"[20.2, 42.9]",69304,0,,,,,1.1071488,,Right Foot,,,"[29.4, 61.3]",Ground Pass,,20.571825,,,,,Gerard Piqué Bernabéu,,,,,,,1,From Kick Off,Víctor Valdés Arribas,20176.0,Goalkeeper,2,Barcelona,217,['28eadc47-1f6d-4d67-806b-ed4140e5d5d3'],26,,,,,,,,,,,,,,,Barcelona,217,00:00:26.182,Pass,,20.2,42.9,29.4,61.3,1,4,2,6,0.010827,0.009424,-0.0014029999999999997,0.0,,,,,2024-09-07 18:28:08.318991,2011-04-02,2010/2011,Spain - La Liga,Villarreal vs Barcelona
,,,,,,,,,,,,,,,,1.6175,,,,,,,,,,,,,,b73815db-a7e9-4615-9d69-e2e7fd35dff8,32,,"[29.4, 61.3]",69304,0,,,,,-0.48740125,,Right Foot,,,"[47.7, 51.6]",Ground Pass,,20.711832,,,,,Thiago Alcântara do Nascimento,,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Left Center Back,2,Barcelona,217,['27f43ae5-857d-4543-ba46-33413f3822be'],28,,,,,,,,,,,,,,,Barcelona,217,00:00:28.679,Pass,,29.4,61.3,47.7,51.6,2,6,4,5,0.009424,0.012692,0.003268,0.003268,,,,,2024-09-07 18:28:08.318991,2011-04-02,2010/2011,Spain - La Liga,Villarreal vs Barcelona
,,,,,,,,,,,,,,,,1.6031,,,,,,,,,,,,,,21984299-a9d0-4a7c-89e7-adb89be4368f,38,,"[55.2, 39.8]",69304,0,,,,,-2.228685,,Right Foot,,,"[45.0, 26.6]",Ground Pass,,16.681726,,,,,Sergio Busquets i Burgos,,,,,,,1,From Kick Off,Thiago Alcântara do Nascimento,5208.0,Right Center Midfield,2,Barcelona,217,"['0e6b8940-68f1-4c5c-9425-23ac9ca7d7f3', '8db81c96-76cf-4c62-a25e-e9796b5d8831']",33,,,,,,,,,,,,,,,Barcelona,217,00:00:33.836,Pass,True,55.2,39.8,45.0,26.6,5,3,4,2,0.014846,0.012692,-0.0021539999999999997,0.0,,,,,2024-09-07 18:28:08.318991,2011-04-02,2010/2011,Spain - La Liga,Villarreal vs Barcelona
,,,,,,,,,,,,,,,,0.8248,,,,,,,,,,,,,,8522bc60-23e2-41ac-a9cf-3e1e7b47ed62,41,,"[44.8, 26.6]",69304,0,,,,,-0.44698247,,Right Foot,,,"[56.9, 20.8]",Ground Pass,,13.418271,,,,,Seydou Kéita,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Right Center Back,2,Barcelona,217,['1a247005-3d8f-4512-a401-a167ec61ef96'],35,,,,,,,,,,,,,,,Barcelona,217,00:00:35.559,Pass,,44.8,26.6,56.9,20.8,4,2,5,2,0.012692,0.014291,0.0015989999999999997,0.0015989999999999997,,,,,2024-09-07 18:28:08.318991,2011-04-02,2010/2011,Spain - La Liga,Villarreal vs Barcelona
,,,,,,,,,,,,,,,,1.1541,,,,,,,,,,,,,,670a7e54-8785-425b-a25b-01bf584f4d6a,44,,"[67.2, 14.2]",69304,0,,,,,-0.65900373,,Left Foot,,,"[77.4, 6.3]",Ground Pass,,12.90155,,,,,Ibrahim Afellay,,,,,,,1,From Kick Off,Seydou Kéita,20169.0,Left Center Midfield,2,Barcelona,217,['46db080c-6bb4-4b54-9250-9cbaffa8f9d5'],38,,,,,,,,,,,,,,,Barcelona,217,00:00:38.413,Pass,,67.2,14.2,77.4,6.3,6,1,7,0,0.016118,0.017451,0.0013330000000000009,0.0013330000000000009,,,,,2024-09-07 18:28:08.318991,2011-04-02,2010/2011,Spain - La Liga,Villarreal vs Barcelona
,,,,,,,,,,,,,,,,0.8959,,,,,,,,,,,,,,6d7f839d-7c80-48b6-9703-ab7957ad5eab,47,,"[77.4, 6.3]",69304,0,,,,,-0.25777113,,Right Foot,,,"[88.4, 3.4]",Ground Pass,,11.375852,,,,,Adriano Correia Claro,,,,,,,1,From Kick Off,Ibrahim Afellay,4891.0,Left Wing,2,Barcelona,217,['fcfd0af1-d016-4ad1-83cd-0ef09099c62e'],40,,,,,,,,,,,,,,,Barcelona,217,00:00:40.156,Pass,,77.4,6.3,88.4,3.4,7,0,8,0,0.017451,0.021221,0.003769999999999999,0.003769999999999999,,,,,2024-09-07 18:28:08.318991,2011-04-02,2010/2011,Spain - La Liga,Villarreal vs Barcelona
,,,,,,,,,,,,,,,,0.999961,,,,,,,,,,,,,,30febecf-7cab-4143-aa80-2191efedd083,50,,"[88.4, 3.4]",69304,0,,,,,2.8119683,,Right Foot,,,"[80.8, 6.0]",Ground Pass,,8.032434,,,,,Ibrahim Afellay,,,,,,,1,From Kick Off,Adriano Correia Claro,22102.0,Left Back,2,Barcelona,217,['8d8072ce-ff4b-4215-8692-dedee652527b'],41,,,,,,,,,,,,,,,Barcelona,217,00:00:41.615,Pass,,88.4,3.4,80.8,6.0,8,0,7,0,0.021221,0.017451,-0.003769999999999999,0.0,,,,,2024-09-07 18:28:08.318991,2011-04-02,2010/2011,Spain - La Liga,Villarreal vs Barcelona
