50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,,0.6387,,,,,,,,,,,,,,,e6e95fb6-6443-4859-bea3-472435e0a70f,5,,"[61.0, 41.0]",69305,0,,True,,,-1.943784,,Right Foot,,,,"[60.1, 38.7]",,Ground Pass,,2.4698179,,,,Pablo Daniel Piatti,,,,,Kick Off,1,From Kick Off,Miguel Ángel García Pérez Roldán,26432.0,Center Attacking Midfield,2,Almería,403,['50e99d46-7e55-4e57-8ae2-32d10db016dd'],1,,,,,,,,,,,,,,,Almería,403,00:00:01.668,Pass,,61.0,41.0,60.1,38.7,5,4,5,3,0.014846,0.014846,0.0,0.0,,,,,2024-09-07 18:28:10.718550,2011-04-09,2010/2011,Spain - La Liga,Barcelona vs Almería
,,,,,,,,,,,,,,,,,1.196857,,,,,,,,,,,,,,,ad811c41-99c7-4831-8de4-fed89e54c5ac,7,,"[61.2, 39.1]",69305,0,,,,,2.8816035,,Right Foot,,,,"[40.9, 44.5]",,Ground Pass,,21.00595,,,,Hernán Darío Bernardello,,,,,,1,From Kick Off,Pablo Daniel Piatti,6763.0,Center Forward,2,Almería,403,['ab43db52-67b3-43ef-90a2-5acfa478a2dc'],2,,,,,,,,,,,,,,,Almería,403,00:00:02.315,Pass,,61.2,39.1,40.9,44.5,5,3,3,4,0.014846,0.011324,-0.003521999999999999,0.0,,,,,2024-09-07 18:28:10.718550,2011-04-09,2010/2011,Spain - La Liga,Barcelona vs Almería
,,,,,,,,,,,,,,,,,0.9451,,,,,,,,,,,,,,,b9544d20-f05e-43f8-848e-380d01172bda,10,,"[44.6, 48.7]",69305,0,,,,,0.48928303,,Right Foot,,,,"[67.7, 61.0]",,Ground Pass,,26.170593,,,,Albert Crusat Domene,,,,,,1,From Kick Off,Hernán Darío Bernardello,26651.0,Right Defensive Midfield,2,Almería,403,['82bc1ac9-b684-46ff-8a27-f62241054816'],5,,,,,,,,,,,,,,,Almería,403,00:00:05.369,Pass,,44.6,48.7,67.7,61.0,4,4,6,6,0.012626,0.016118,0.0034920000000000003,0.0034920000000000003,,,,,2024-09-07 18:28:10.718550,2011-04-09,2010/2011,Spain - La Liga,Barcelona vs Almería
,,,,,,,,,,,,,,,,,1.075545,,,,,,,,,,,,,,,a9a0c8f5-f5db-4335-b7ce-c53c0c621204,14,,"[36.0, 1.0]",69305,0,,,,,0.33974347,,,,,,"[47.6, 5.1]",,High Pass,,12.303251,,,,Bojan Krkíc Pérez,,,,,Throw-in,1,From Throw In,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,3,Barcelona,217,['18165e44-6af6-4739-b589-d51c06c9a2e3'],19,,,,,,,,,,,,,,,Barcelona,217,00:00:19.624,Pass,,36.0,1.0,47.6,5.1,3,0,4,0,0.009777,0.011263,0.0014860000000000012,0.0014860000000000012,,,,,2024-09-07 18:28:10.718550,2011-04-09,2010/2011,Spain - La Liga,Barcelona vs Almería
,,,,,,,,,,,,,,,,,2.1034,,,,,,,,,,,,,,,e8a6f47e-14b1-45d9-9685-0a4d994648d3,16,,"[47.6, 5.1]",69305,0,,,,,1.812868,,Head,,,,"[45.6, 13.2]",,High Pass,,8.343261,,Incomplete,,,,,,,,1,From Throw In,Bojan Krkíc Pérez,4913.0,Right Wing,3,Barcelona,217,['d5b62290-52e8-4e31-a2bd-4c8eabf56e35'],20,,,,,,,,,,,,,,,Barcelona,217,00:00:20.860,Pass,,47.6,5.1,45.6,13.2,4,0,4,1,0.011263,0.012147,0.0008839999999999994,0.0008839999999999994,,,,,2024-09-07 18:28:10.718550,2011-04-09,2010/2011,Spain - La Liga,Barcelona vs Almería
,,,,,,,,,,,,,,,,,1.7781,,,,,,,,,,,,,,,d5b62290-52e8-4e31-a2bd-4c8eabf56e35,17,,"[75.4, 67.8]",69305,0,,,,,-0.027020449,,Head,,,,"[82.8, 67.6]",,High Pass,,7.4027023,,Incomplete,,,,,,,Recovery,1,From Throw In,Juan Jesús Gutiérrez Robles,25883.0,Left Defensive Midfield,3,Barcelona,217,"['1a47de4e-43ad-497b-8ef1-c329f9e29710', 'e8a6f47e-14b1-45d9-9685-0a4d994648d3']",22,,,,,,,,,,,,,,,Almería,403,00:00:22.964,Pass,,75.4,67.8,82.8,67.6,7,6,8,6,0.018703,0.024015,0.005312000000000001,0.005312000000000001,,,,,2024-09-07 18:28:10.718550,2011-04-09,2010/2011,Spain - La Liga,Barcelona vs Almería
,,,,,,,,,,,,,,,,,2.040961,,,,,,,,,,,,,,,8246f4b6-d5ab-4157-a53e-0935afaec092,22,,"[85.0, 72.4]",69305,0,,,,,-0.05071789,,Left Foot,,,,"[104.7, 71.4]",,Ground Pass,,19.725365,,,,Pablo Daniel Piatti,,,,,,1,Regular Play,Juan Manuel Ortiz Palazón,26440.0,Right Wing,4,Almería,403,['2616df21-6b13-44b3-95e1-ef04c619806b'],26,,,,,,,,,,,,,,,Almería,403,00:00:26.463,Pass,,85.0,72.4,104.7,71.4,8,7,10,7,0.021221,0.034851,0.01363,0.01363,,,,,2024-09-07 18:28:10.718550,2011-04-09,2010/2011,Spain - La Liga,Barcelona vs Almería
,,,,,,,,,,,,,,,,,0.5683,,,,,,,,,,,,,,,0fe2c562-dc85-4b25-9667-86506ded43dd,25,,"[105.3, 72.5]",69305,0,,,,,-2.0174,,Left Foot,,,,"[101.9, 65.4]",,Low Pass,,7.8721027,,Incomplete,,,,,,,,1,Regular Play,Pablo Daniel Piatti,6763.0,Center Forward,4,Almería,403,['2e1f1cda-1afc-44cd-8eb4-960c4f368c3b'],30,,,,,,,,,,,,,,,Almería,403,00:00:30.105,Pass,,105.3,72.5,101.9,65.4,10,7,10,6,0.034851,0.04067,0.005818999999999998,0.005818999999999998,,,,,2024-09-07 18:28:10.718550,2011-04-09,2010/2011,Spain - La Liga,Barcelona vs Almería
,,,,,,,,,,,,,,,,,1.060051,,,,,,,,,,,,,,,9600c035-98a3-411d-937e-340711c7c318,31,,"[83.6, 65.6]",69305,0,,,,,0.36035797,,Right Foot,,,,"[90.5, 68.2]",,Low Pass,,7.3736014,,Incomplete,,Juan Manuel Ortiz Palazón,,,,,,1,Regular Play,Juan Jesús Gutiérrez Robles,25883.0,Left Defensive Midfield,4,Almería,403,"['05fb9e13-dbfe-4b82-b83b-730d2ad02992', '62c55e41-1e66-4686-b63e-909462f6fc87', 'fcac86bb-b1ee-47e0-b986-b35182ffea53']",34,,,,,,,,,,,,,,,Almería,403,00:00:34.583,Pass,True,83.6,65.6,90.5,68.2,8,6,8,6,0.024015,0.024015,0.0,0.0,,,,,2024-09-07 18:28:10.718550,2011-04-09,2010/2011,Spain - La Liga,Barcelona vs Almería
,,,,,,,,,,,,,,,,,2.867758,,,,,,,,,,,,,,,f4404997-6e2c-4ccf-bc15-cefa44f43dc6,37,,"[45.8, 15.8]",69305,0,,True,,,1.7602764,,Right Foot,,,,"[38.8, 52.3]",,Ground Pass,,37.165173,,,,Gerard Piqué Bernabéu,,,,,Free Kick,1,From Free Kick,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,6,Barcelona,217,['fc9f8c44-8c6c-4c82-a189-562dee5a3c02'],44,,,,,,,,,,,,,,,Barcelona,217,00:00:44.347,Pass,,45.8,15.8,38.8,52.3,4,1,3,5,0.012147,0.011105,-0.0010419999999999995,0.0,,,,,2024-09-07 18:28:10.718550,2011-04-09,2010/2011,Spain - La Liga,Barcelona vs Almería
