50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,,0.520823,,,,,,,,,,,,,,,,4ce2c358-7799-4039-8b56-893c87b7cb9b,5,,"[60.0, 40.0]",69307,0,,,,,-2.0344439,,Left Foot,,,"[58.4, 36.8]",,Ground Pass,,3.5777087,,,,,Javier Camuñas Gallego,,,,,Kick Off,1,From Kick Off,Fernando Soriano Marco,26435.0,Center Attacking Midfield,2,Osasuna,422,['c0dc1a2c-8aad-48a9-8fd5-ff2fa7f74247'],0,,,,,,,,,,,,,,,Osasuna,422,00:00:00.357,Pass,,60.0,40.0,58.4,36.8,5,3,5,3,0.014846,0.014846,0.0,0.0,,,,,2024-09-07 18:28:09.101222,2010-12-04,2010/2011,Spain - La Liga,Osasuna vs Barcelona
,,,,,,,,,,,,,,,,,0.917452,,,,,,,,,,,,,,,,cdf3bc29-787f-4ca0-9577-5ee0e76dd605,8,,"[58.1, 36.5]",69307,0,,,,,2.612643,,Left Foot,,,"[43.9, 44.8]",,Ground Pass,,16.447796,,,,,Francisco Puñal Martínez,,,,,,1,From Kick Off,Javier Camuñas Gallego,26169.0,Center Forward,2,Osasuna,422,['b9a64aca-fb16-4127-9175-ba2e73af81ad'],0,,,,,,,,,,,,,,,Osasuna,422,00:00:00.918,Pass,,58.1,36.5,43.9,44.8,5,3,4,4,0.014846,0.012626,-0.0022199999999999998,0.0,,,,,2024-09-07 18:28:09.101222,2010-12-04,2010/2011,Spain - La Liga,Osasuna vs Barcelona
,,,,,,,,,,,,,,,,,2.846074,,,,,,,,,,,,,,,,3de4c799-382c-4a9d-87f1-1f0614b2aa32,11,,"[48.7, 45.7]",69307,0,,,,,-0.60218203,,Right Foot,,,"[89.0, 18.0]",,High Pass,,48.901737,,,,,Masoud Shojaei Soleimani,,,,,,1,From Kick Off,Francisco Puñal Martínez,25874.0,Left Defensive Midfield,2,Osasuna,422,['2d2e885d-ad7c-4962-a7ba-82563dd83690'],3,,,,,,,,,,,,,,,Osasuna,422,00:00:03.977,Pass,,48.7,45.7,89.0,18.0,4,4,8,1,0.012626,0.024015,0.011389000000000002,0.011389000000000002,,,,,2024-09-07 18:28:09.101222,2010-12-04,2010/2011,Spain - La Liga,Osasuna vs Barcelona
,,,,,,,,,,,,,,,,,0.8544,,,,,,,,,,,,,,,,c53b18fb-811e-44b5-8a47-3e19e4f3f676,18,,"[50.8, 71.2]",69307,0,,,,,-1.9631364,,Right Foot,,,"[44.8, 56.7]",,Ground Pass,,15.692355,,,,,Sergio Busquets i Burgos,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,['58c0bca0-53ca-4b44-a60b-eea280d1378f'],13,,,,,,,,,,,,,,,Barcelona,217,00:00:13.356,Pass,,50.8,71.2,44.8,56.7,4,7,4,5,0.011263,0.012692,0.0014289999999999997,0.0014289999999999997,,,,,2024-09-07 18:28:09.101222,2010-12-04,2010/2011,Spain - La Liga,Osasuna vs Barcelona
,,,,,,,,,,,,,,,,,1.34729,,,,,,,,,,,,,,,,ba1d0a89-6078-4ba4-97fc-86cd04334e10,27,,"[51.4, 54.2]",69307,0,,True,,,2.4407382,,Right Foot,,,"[38.6, 65.0]",,Ground Pass,,16.747538,,,,,Gerard Piqué Bernabéu,,,,,Free Kick,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,4,Barcelona,217,['180ef5fc-8cf0-4c20-9dcf-cc37d0e6e6b1'],26,,,,,,,,,,,,,,,Barcelona,217,00:00:26.747,Pass,,51.4,54.2,38.6,65.0,4,5,3,6,0.012692,0.010595,-0.002097,0.0,,,,,2024-09-07 18:28:09.101222,2010-12-04,2010/2011,Spain - La Liga,Osasuna vs Barcelona
,,,,,,,,,,,,,,,,,2.547564,,,,,,,,,,,,,,,,19a60a69-424c-467e-af3f-521276f47d1e,29,,"[38.6, 65.0]",69307,0,,,,,-2.6232884,,Right Foot,,,"[13.0, 50.4]",,Ground Pass,,29.470663,,,,,Víctor Valdés Arribas,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,4,Barcelona,217,['c236946d-1f5d-4843-bb2c-dc9f7abf235a'],28,,,,,,,,,,,,,,,Barcelona,217,00:00:28.971,Pass,,38.6,65.0,13.0,50.4,3,6,0,5,0.010595,0.00888,-0.0017149999999999995,0.0,,,,,2024-09-07 18:28:09.101222,2010-12-04,2010/2011,Spain - La Liga,Osasuna vs Barcelona
,,,,,,,,,,,,,,,,,2.205712,,,,,,,,,,,,,,,,f2cd603b-2e92-410e-9ed2-8d71bdbc960e,32,,"[12.1, 45.0]",69307,0,,,,,-1.4888687,,Right Foot,,,"[14.9, 10.9]",,Ground Pass,,34.214764,,,,,Eric-Sylvain Bilal Abidal,,,,,,1,From Free Kick,Víctor Valdés Arribas,20176.0,Goalkeeper,4,Barcelona,217,['4835452e-24f2-4878-b52c-6bfb79d3c219'],33,,,,,,,,,,,,,,,Barcelona,217,00:00:33.702,Pass,,12.1,45.0,14.9,10.9,0,4,1,1,0.009411,0.008786,-0.0006249999999999988,0.0,,,,,2024-09-07 18:28:09.101222,2010-12-04,2010/2011,Spain - La Liga,Osasuna vs Barcelona
,,,,,,,,,,,,,,,,,1.764658,,,,,,,,,,,,,,,,73457cbc-3429-4565-86d4-400d0e11332d,36,,"[16.9, 10.8]",69307,0,,,,,2.0576956,,Left Foot,,,"[5.2, 32.9]",,Ground Pass,,25.005999,,,,,Víctor Valdés Arribas,,,,,,1,From Free Kick,Eric-Sylvain Bilal Abidal,20177.0,Left Back,4,Barcelona,217,"['2b648496-dab3-490e-ad1c-1c2c040398e7', '8128ae7f-33f7-4d9c-84db-7ecb26301a63']",38,,,,,,,,,,,,,,,Barcelona,217,00:00:38.577,Pass,True,16.9,10.8,5.2,32.9,1,1,0,3,0.008786,0.009411,0.0006249999999999988,0.0006249999999999988,,,,,2024-09-07 18:28:09.101222,2010-12-04,2010/2011,Spain - La Liga,Osasuna vs Barcelona
,,,,,,,,,,,,,,,,,4.434712,,,,,,,,,,,,,,,,e16aee6f-4c84-4d25-9ead-98e317117e05,38,,"[5.3, 33.9]",69307,0,,,,,-0.1761953,,Right Foot,,,"[72.7, 21.9]",,High Pass,,68.459915,,,Incomplete,,Pedro Eliezer Rodríguez Ledesma,,,,,,1,From Free Kick,Víctor Valdés Arribas,20176.0,Goalkeeper,4,Barcelona,217,"['59538caa-92d3-4a5f-bba3-868b4e1f58b0', 'bf59d751-d45f-49d2-8b98-204f7ca31126']",40,,,,,,,,,,,,,,,Barcelona,217,00:00:40.341,Pass,,5.3,33.9,72.7,21.9,0,3,7,2,0.009411,0.019351,0.009940000000000001,0.009940000000000001,,,,,2024-09-07 18:28:09.101222,2010-12-04,2010/2011,Spain - La Liga,Osasuna vs Barcelona
,,,,,,,,,,,,,,,,,2.8455,,,,,,,,,,,,,,,,34736720-5cdd-4fe6-8e62-feedd6c0e088,43,,"[46.8, 63.6]",69307,0,,,,,-2.7944667,,Right Foot,,,"[17.5, 53.0]",,Low Pass,,31.158466,,,,,Ricardo López Felipe,,,,,,1,Regular Play,Sergio Fernández González,25969.0,Right Center Back,5,Osasuna,422,['8b2f8db3-9d1a-463c-aad4-ec0b06b4e920'],45,,,,,,,,,,,,,,,Osasuna,422,00:00:45.909,Pass,,46.8,63.6,17.5,53.0,4,6,1,5,0.012147,0.009777,-0.0023700000000000006,0.0,,,,,2024-09-07 18:28:09.101222,2010-12-04,2010/2011,Spain - La Liga,Osasuna vs Barcelona
