50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,,,0.3618,,,,,,,,,,,,,,55323b7b-a149-4af0-8e14-92595dd53302,5,,"[61.0, 41.0]",69308,0,,,,,-1.5707964,,Right Foot,,,,"[61.0, 40.3]",,Ground Pass,,0.7,,,,Giuseppe Rossi,,,,,Kick Off,1,From Kick Off,Nilmar Honorato da Silva,26698.0,Right Center Forward,2,Villarreal,222,['5fdca422-86f1-4e84-895d-3f21c3b71801'],0,,,,,,,,,,,,,,,Villarreal,222,00:00:00.752,Pass,,61.0,41.0,61.0,40.3,5,4,6,3,0.014846,0.016895,0.0020490000000000005,0.0020490000000000005,,,,,2024-09-07 18:28:34.847674,2010-11-13,2010/2011,Spain - La Liga,Barcelona vs Villarreal
,,,,,,,,,,,,,,,,,,1.3529,,,,,,,,,,,,,,dcbf0745-2829-47df-9ad8-36eac7b207ac,8,,"[61.0, 40.5]",69308,0,,,,,-3.119374,,Left Foot,,,,"[52.0, 40.3]",,Ground Pass,,9.002222,,,,Bruno Soriano Llido,,,,,,1,From Kick Off,Giuseppe Rossi,7141.0,Left Center Forward,2,Villarreal,222,['e60abf4c-8c6c-4bda-b58c-37b5d20541a4'],1,,,,,,,,,,,,,,,Villarreal,222,00:00:01.130,Pass,,61.0,40.5,52.0,40.3,5,4,5,3,0.014846,0.014846,0.0,0.0,,,,,2024-09-07 18:28:34.847674,2010-11-13,2010/2011,Spain - La Liga,Barcelona vs Villarreal
,,,,,,,,,,,,,,,,,,1.769754,,,,,,,,,,,,,,4998025b-8b41-4011-acfc-9d9e4a54179b,11,,"[51.8, 40.3]",69308,0,,,,,1.8724154,,Left Foot,,,,"[43.4, 67.3]",,Ground Pass,,28.276491,,,,Ángel Domingo López Ruano,,,,,,1,From Kick Off,Bruno Soriano Llido,22819.0,Left Defensive Midfield,2,Villarreal,222,['789a499b-8905-43aa-b89f-f1b623847111'],2,,,,,,,,,,,,,,,Villarreal,222,00:00:02.869,Pass,,51.8,40.3,43.4,67.3,4,3,4,6,0.012626,0.012147,-0.00047900000000000026,0.0,,,,,2024-09-07 18:28:34.847674,2010-11-13,2010/2011,Spain - La Liga,Barcelona vs Villarreal
,,,,,,,,,,,,,,,,,,0.851,,,,,,,,,,,,,,292852e6-1504-4698-90e9-a52d19393b0f,15,,"[42.8, 65.6]",69308,0,,,,,0.5070985,,Right Foot,,,,"[49.1, 69.1]",,Ground Pass,,7.206941,,,,Santiago Cazorla González,,,,,,1,From Kick Off,Ángel Domingo López Ruano,25984.0,Right Back,2,Villarreal,222,"['1f053874-6090-4e44-a2d1-64d49cf1c897', 'd2712507-dba6-4d07-9474-c1dbd522e6af']",5,,,,,,,,,,,,,,,Villarreal,222,00:00:05.165,Pass,True,42.8,65.6,49.1,69.1,4,6,4,6,0.012147,0.012147,0.0,0.0,,,,,2024-09-07 18:28:34.847674,2010-11-13,2010/2011,Spain - La Liga,Barcelona vs Villarreal
,,,,,,,,,,,,,,,,,,3.5479,,,,,,,,,,,,,,4839c236-c7b2-4d51-b053-5d71ee1285a0,18,,"[48.7, 71.0]",69308,0,,,,,-2.5924115,,Left Foot,,,,"[10.3, 47.5]",,Low Pass,,45.020107,,,,Diego López Rodríguez,,,,,,1,From Kick Off,Santiago Cazorla González,11386.0,Right Midfield,2,Villarreal,222,['ee2c8285-82b6-4b70-893d-12cdcb94e7fa'],7,,,,,,,,,,,,,,,Villarreal,222,00:00:07.216,Pass,,48.7,71.0,10.3,47.5,4,7,0,4,0.011263,0.009411,-0.0018520000000000012,0.0,,,,,2024-09-07 18:28:34.847674,2010-11-13,2010/2011,Spain - La Liga,Barcelona vs Villarreal
,,,,,,,,,,,,,,,,,,1.727,,,,,,,,,,,,,,7972bf5b-2708-41b6-b63d-2222acfc5745,20,,"[10.7, 48.1]",69308,0,,,,,1.2998495,,Right Foot,,,,"[16.7, 69.7]",,Ground Pass,,22.41785,,,,Carlos Marchena López,,,,,,1,From Kick Off,Diego López Rodríguez,6768.0,Goalkeeper,2,Villarreal,222,['5c36ba4e-3bf1-40d4-9968-5a55973c3cfd'],10,,,,,,,,,,,,,,,Villarreal,222,00:00:10.764,Pass,,10.7,48.1,16.7,69.7,0,4,1,6,0.009411,0.008786,-0.0006249999999999988,0.0,,,,,2024-09-07 18:28:34.847674,2010-11-13,2010/2011,Spain - La Liga,Barcelona vs Villarreal
,,,,,,,,,,,,,,,,,,1.031073,,,,,,,,,,,,,,0065ddac-3b22-4044-a0ce-875c5e2c73eb,24,,"[33.6, 77.5]",69308,0,,,,,-0.18732034,,Right Foot,,,,"[48.9, 74.6]",,Ground Pass,,15.572412,,Incomplete,,Santiago Cazorla González,,,,,,1,From Kick Off,Carlos Marchena López,20127.0,Right Center Back,2,Villarreal,222,"['05b608f0-dc8f-4138-9fce-d287768932f2', '53c2f56d-6da8-4c74-a886-68dbf9237842']",16,,,,,,,,,,,,,,,Villarreal,222,00:00:16.036,Pass,,33.6,77.5,48.9,74.6,3,7,4,7,0.009777,0.011263,0.0014860000000000012,0.0014860000000000012,,,,,2024-09-07 18:28:34.847674,2010-11-13,2010/2011,Spain - La Liga,Barcelona vs Villarreal
,,,,,,,,,,,,,,,,,,0.957135,,,,,,,,,,,,,,53314e05-23f5-47d7-9a30-9bfa2d97ddcc,29,,"[74.5, 4.9]",69308,0,,,,,-0.036680788,,Right Foot,,,,"[85.4, 4.5]",,Low Pass,,10.907337,,,,Lionel Andrés Messi Cuccittini,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,3,Barcelona,217,"['41139ec4-110d-4341-aa24-e17b95643c88', '9d50e4ed-e2fc-423f-bfa3-cb7a73c92c38']",17,,,,,,,,,,,,,,,Barcelona,217,00:00:17.805,Pass,True,74.5,4.9,85.4,4.5,7,0,8,0,0.017451,0.021221,0.003769999999999999,0.003769999999999999,,,,,2024-09-07 18:28:34.847674,2010-11-13,2010/2011,Spain - La Liga,Barcelona vs Villarreal
,,,,,,,,,,,,,,,,,,0.783498,,,,,,,,,,,,,,7fcc67c2-9678-4dba-8f9a-25f0dcd692a4,33,,"[83.7, 4.5]",69308,0,,,,,-0.61466295,,Left Foot,,,,"[88.8, 0.9]",,Ground Pass,,6.2425957,,,,David Villa Sánchez,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,3,Barcelona,217,"['4af6692e-fbfc-4eca-8ba4-9d609f368def', '5f3ebb33-ca22-4c4a-8e3b-e32577c059aa']",19,,,,,,,,,,,,,,,Barcelona,217,00:00:19.335,Pass,True,83.7,4.5,88.8,0.9,8,0,8,0,0.021221,0.021221,0.0,0.0,,,,,2024-09-07 18:28:34.847674,2010-11-13,2010/2011,Spain - La Liga,Barcelona vs Villarreal
,,,,,,,,,,,,,,,,,,1.038566,,,,,,,,,,,,,,9e4f590c-8f38-4057-934c-3e4e5a214e97,40,,"[87.2, 1.0]",69308,0,,,,,1.592532,,,,,,"[87.0, 10.2]",,High Pass,,9.202173,,,,Lionel Andrés Messi Cuccittini,,,,,Throw-in,1,From Throw In,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,4,Barcelona,217,['ff543fe1-c74f-4038-8cc3-dfe9ce229273'],32,,,,,,,,,,,,,,,Barcelona,217,00:00:32.492,Pass,,87.2,1.0,87.0,10.2,8,0,8,0,0.021221,0.021221,0.0,0.0,,,,,2024-09-07 18:28:34.847674,2010-11-13,2010/2011,Spain - La Liga,Barcelona vs Villarreal
